player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0030506,Travis Kelce,18,1776.0,98.666664,4.8873277,20.387337
00-0033288,George Kittle,8,634.0,79.25,4.103195,19.355158
00-0031610,Darren Waller,16,1196.0,74.75,4.2908673,17.242636
00-0035644,Noah Fant,14,673.0,48.07143,3.4553323,16.84421
00-0034753,Mark Andrews,16,770.0,48.125,3.0982277,15.625432
00-0034351,Dallas Goedert,11,524.0,47.636364,3.397651,13.731018
00-0031260,Logan Thomas,17,744.0,43.764706,3.680882,12.382576
00-0033881,Evan Engram,16,654.0,40.875,3.5030658,12.224386
00-0031384,Richard Rodgers,8,345.0,43.125,3.6006997,11.929032
00-0034829,Mike Gesicki,15,703.0,46.866665,3.9665787,11.130456
00-0033090,Hunter Henry,14,613.0,43.785713,4.05353,11.082059
00-0035229,T.J. Hockenson,16,723.0,45.1875,4.4859014,10.219274
00-0034383,Dalton Schultz,16,615.0,38.4375,4.007549,10.21569
00-0032392,Austin Hooper,15,497.0,33.133335,3.5292099,9.483314
00-0031387,Eric Ebron,16,620.0,38.75,4.070745,9.389606
00-0030061,Zach Ertz,11,335.0,30.454546,3.446492,9.344514
00-0033757,Robert Tonyan,17,668.0,39.294117,4.4598365,9.059608
00-0036423,Albert Okwuegbunam,4,121.0,30.25,3.812858,8.97372
00-0034011,Dan Arnold,14,438.0,31.285715,3.7444084,8.842446
00-0027061,Jared Cook,17,572.0,33.64706,3.8033085,8.768743
00-0033858,Jonnu Smith,15,457.0,30.466667,3.5639868,8.590951
00-0034830,Hayden Hurst,16,571.0,35.6875,4.3120637,8.521891
00-0033110,Tyler Higbee,17,530.0,31.17647,3.8209753,8.383827
00-0027656,Rob Gronkowski,20,733.0,36.65,4.671808,8.286308
00-0033879,O.J. Howard,4,146.0,36.5,4.372495,8.136219
00-0034970,Irv Smith,12,365.0,30.416666,4.2624154,7.6678567
00-0034766,Christopher Herndon,11,287.0,26.09091,3.2679727,7.4277616
00-0033217,Mo Alie-Cox,15,426.0,28.4,4.116239,7.4263663
00-0035624,N'Keal Harry,13,309.0,23.76923,3.203887,7.309072
00-0027696,Jimmy Graham,17,481.0,28.294117,3.7926362,7.24258
00-0034270,Tyler Conklin,7,194.0,27.714285,4.2444863,6.7764344
00-0033455,Anthony Firkser,16,431.0,26.9375,3.6326284,6.7044253
00-0035631,Drew Sample,16,349.0,21.8125,3.5630236,6.410939
00-0030549,Tyler Eifert,14,349.0,24.928572,4.0014133,6.3461375
00-0027981,Kyle Rudolph,12,334.0,27.833334,4.1427054,6.2531457
00-0033895,Gerald Everett,17,417.0,24.529411,3.7716491,6.081756
00-0034364,Jordan Akins,13,403.0,31.0,5.1985755,5.9923096
00-0031273,Cameron Brate,17,457.0,26.882353,4.7173157,5.9444194
00-0033885,David Njoku,13,279.0,21.461538,3.9116304,5.9398108
00-0030472,Jordan Reed,10,231.0,23.1,4.140567,5.8305774
00-0034439,Ryan Izzo,10,199.0,19.9,3.300837,5.658244
00-0030181,Jack Doyle,14,321.0,22.928572,4.173457,5.5131173
00-0034073,Ross Dwelley,10,245.0,24.5,4.293381,5.447812
00-0030710,Trey Burton,12,284.0,23.666666,4.234422,5.365106
00-0035689,Dawson Knox,14,353.0,25.214285,4.8363843,5.2860312
00-0029738,Darren Fells,12,312.0,26.0,5.019028,5.201968
00-0036290,Cole Kmet,14,259.0,18.5,3.6900427,4.915718
00-0034798,Durham Smythe,13,208.0,16.0,3.6888132,4.9118404
00-0025418,Greg Olsen,11,239.0,21.727272,4.6367197,4.8276772
00-0036232,Harrison Bryant,13,238.0,18.307692,3.751737,4.751272
00-0032214,Tyler Kroft,6,119.0,19.833334,4.491559,4.7075458
00-0034981,Foster Moreau,7,140.0,20.0,4.1743507,4.530771
00-0031598,Nick Boyle,9,113.0,12.555555,3.2286754,4.3608227
00-0031951,James O'Shaughnessy,15,262.0,17.466667,4.006486,4.3431234
00-0036422,Adam Trautman,11,175.0,15.909091,3.9162047,4.1339283
00-0034159,Will Dissly,15,252.0,16.8,4.2771015,4.0696163
00-0031558,Maxx Williams,6,102.0,17.0,3.9584036,3.9533758
00-0033439,Pharaoh Brown,8,163.0,20.375,5.41256,3.8658016
00-0035329,Donald Parham,10,159.0,15.9,4.301445,3.7618175
00-0033387,Jacob Hollister,14,209.0,14.928572,3.9536414,3.647938
00-0033896,Adam Shaheen,13,150.0,11.538462,4.0086155,3.266789
00-0035671,Jace Sternberger,8,114.0,14.25,4.5583887,3.0339134
00-0034365,Ian Thomas,13,145.0,11.153846,4.248691,2.7981644
00-0024243,Marcedes Lewis,11,135.0,12.272727,4.5384617,2.6315434
00-0034988,Kaden Smith,13,112.0,8.615385,3.4759,2.5499964
00-0032135,Jesse James,12,129.0,10.75,4.374643,2.452297
00-0032062,Blake Bell,11,110.0,10.0,4.456816,2.099693
00-0033357,Taysom Hill,17,103.0,6.0588236,3.8362849,1.5742781
