...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
25,26,Travis Kelce,KC,6,TE1,21,25,36,27.3,00-0030506,TE,2023,0.9529411764705882,33,121,93,984,65.6,12,5,0,0,0,0,1,5,15
28,29,Sam LaPorta,DET,5,TE2,30,30,32,30.7,00-0039065,TE,2023,1.0,22,122,86,889,52.294117647058826,8,10,1,4,0.23529411764705882,0,0,10,17
47,48,Trey McBride,ARI,11,TE3,47,48,49,48,00-0037744,TE,2023,0.9705882352941176,23,106,81,825,48.529411764705884,9,3,0,0,0,0,0,3,17
49,50,Mark Andrews,BAL,14,TE4,48,49,50,49,00-0034753,TE,2023,0.8787878787878788,27,61,45,544,54.4,8,6,1,0,0,0,0,6,10
51,52,Dalton Kincaid,BUF,12,TE5,57,51,48,52,00-0038933,TE,2023,0.9411764705882353,23,91,73,673,42.0625,5,2,0,0,0,0,1,2,16
55,56,George Kittle,SF,9,TE6,51,58,71,60,00-0033288,TE,2023,0.8695652173913043,29,90,65,1020,63.75,18,6,1,2,0.125,0,0,6,16
64,65,Kyle Pitts Sr.,ATL,12,TE7,60,61,69,63.3,00-0036970,TE,2023,0.8627450980392157,22,90,53,667,39.23529411764706,7,3,1,-4,-0.23529411764705882,0,0,3,17
70,71,Evan Engram,DEN,14,TE8,71,71,70,70.7,00-0033881,TE,2023,0.9130434782608695,28,144,114,963,56.64705882352941,9,4,0,0,0,0,2,4,17
80,81,Jake Ferguson,DAL,7,TE9,76,85,86,82.3,00-0038041,TE,2023,0.9705882352941176,24,102,71,761,44.76470588235294,8,5,0,0,0,0,0,5,17
84,85,David Njoku,CLE,10,TE10,89,87,94,90,00-0033885,TE,2023,0.8347826086956521,27,123,81,882,55.125,12,6,0,0,0,0,2,6,16
92,93,Brock Bowers,LV,10,TE11,110,83,100,97.7,00-0039338,TE,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
110,111,Dallas Goedert,PHI,5,TE12,111,107,123,113.7,00-0034351,TE,2023,0.8484848484848485,28,83,59,592,42.285714285714285,6,3,1,1,0.07142857142857142,0,0,3,14
122,123,Dalton Schultz,HOU,14,TE13,128,118,137,127.7,00-0034383,TE,2023,0.9595959595959596,27,89,59,635,42.333333333333336,7,5,0,0,0,0,1,5,15
126,127,T.J. Hockenson,MIN,6,TE14,158,119,131,136,00-0035229,TE,2023,0.8674698795180723,26,127,95,960,64,13,5,0,0,0,0,1,5,15
129,130,Pat Freiermuth,PIT,9,TE15,156,124,134,138,00-0036894,TE,2023,0.8627450980392157,24,48,32,308,28,3,2,0,0,0,0,0,2,11
138,139,Cole Kmet,CHI,7,TE16,173,129,140,147.3,00-0036290,TE,2023,1.0,24,90,73,719,47.93333333333333,9,6,3,2,0.13333333333333333,0,0,6,15
158,159,Taysom Hill,N,,TE17,181,161,147,163,00-0033357,TE,2023,0.9565217391304348,33,40,33,291,18.1875,2,2,81,401,25.0625,4,1,7,16
172,173,Isaiah Likely,BAL,14,TE18,148,181,192,173.7,00-0037838,TE,2023,0.9705882352941176,23,40,30,411,31.615384615384617,6,5,0,0,0,0,0,5,13
176,177,Luke Musgrave,GB,10,TE19,206,147,175,176,00-0039144,TE,2023,0.6470588235294118,22,46,34,352,32,5,1,0,0,0,0,0,1,11
186,187,Tyler Conklin,LAC,5,TE20,194,191,181,188.7,00-0034270,TE,2023,1.0,28,87,61,621,36.529411764705884,7,0,1,0,0,0,0,0,17
189,190,Jonnu Smith,PIT,9,TE21,139,234,211,194.7,00-0033858,TE,2023,0.9310344827586207,28,70,50,582,38.8,4,3,1,0,0,0,1,3,15
190,191,Hunter Henry,NE,14,TE22,215,183,193,197,00-0033090,TE,2023,0.8091603053435115,28,61,42,419,32.23076923076923,2,6,0,0,0,0,0,6,13
192,193,Chig Okonkwo,TEN,5,TE23,210,207,195,204,00-0037809,TE,2023,1.0,23,77,54,528,31.058823529411764,6,1,2,6,0.35294117647058826,0,0,1,17
193,194,Cade Otton,TB,11,TE24,217,179,220,205.3,00-0038129,TE,2023,1.0,24,68,47,452,28.25,6,4,0,0,0,0,1,4,16
194,195,Ben Sinnott,WAS,14,TE25,203,170,246,206.3,00-0039912,TE,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0
197,198,Zach Ertz,WAS,14,TE26,129,262,254,215,00-0030061,TE,2023,0.8983050847457628,32,43,27,187,26.714285714285715,0,1,0,0,0,0,0,1,7
202,203,Noah Fant,CIN,12,TE27,214,218,232,221.3,00-0035644,TE,2023,0.9761904761904762,25,43,32,414,29.571428571428573,7,0,0,0,0,0,0,0,14
208,209,Dawson Knox,BUF,12,TE28,137,271,281,229.7,00-0035689,TE,2023,0.8433734939759037,26,37,22,186,18.6,0,2,0,0,0,0,0,2,10
254,255,Juwan Johnson,NO,12,TE29,,243,233,238,00-0036040,TE,2023,0.8793103448275862,26,59,37,368,28.307692307692307,7,4,0,0,0,0,0,4,13
257,258,Ja'Tavion Sanders,CAR,11,TE30,,227,265,246,00-0039356,TE,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0
260,261,Mike Gesicki,CIN,12,TE31,,228,267,247.5,00-0034829,TE,2023,0.98989898989899,27,46,29,244,16.266666666666666,0,2,0,0,0,0,0,2,15
270,271,Theo Johnson,NYG,11,TE32,,253,264,258.5,00-0039847,TE,2023,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0
272,273,Greg Dulcich,NYG,11,TE33,,263,255,259,00-0037252,TE,2023,0.35294117647058826,23,4,3,25,12.5,0,0,0,0,0,0,0,0,2
276,277,Hayden Hurst,,,TE34,,299,222,260.5,00-0034830,TE,2023,0.8484848484848485,30,32,18,184,20.444444444444443,1,1,0,0,0,0,0,1,9
281,282,Colby Parkinson,LAR,6,TE35,,260,273,266.5,00-0036244,TE,2023,0.8059701492537313,24,34,25,247,17.642857142857142,5,2,0,0,0,0,0,2,14
282,283,Donta Foreman,RB79,,,,,,240,00-0036244,TE,2023,0.8059701492537313,24,34,25,247,17.642857142857142,5,2,0,0,0,0,0,2,14
294,295,Michael Mayer,LV,10,TE36,,278,289,283.5,00-0039066,TE,2023,0.8235294117647058,22,41,27,304,25.333333333333332,2,2,0,0,0,0,0,2,12
303,304,Daniel Bellinger,NYG,11,TE37,,309,274,291.5,00-0038115,TE,2023,0.8823529411764706,22,28,25,255,19.615384615384617,4,0,0,0,0,0,0,0,13
307,308,Tucker Kraft,GB,10,TE38,,276,,276,00-0038996,TE,2023,1.0,22,40,31,355,35.5,5,2,0,0,0,0,0,2,10
330,331,Jeff Wilson Jr.,SF,9,RB91,,,300,300,00-0036244,TE,2023,0.8059701492537313,24,34,25,247,17.642857142857142,5,2,0,0,0,0,0,2,14
335,336,Nick Keizer,,,TE39,,307,,307,00-0034192,TE,2023,1.0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
336,337,Mo Alie-Cox,IND,14,TE40,,312,,312,00-0033217,TE,2023,0.9895833333333334,29,23,13,161,12.384615384615385,2,3,0,0,0,0,0,3,13
341,342,Jason Witten,,,TE41,,319,,319,00-0022127,TE,2023,1.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
342,343,Vernon Davis,,,TE42,,321,,321,00-0024221,TE,2023,0.9344262295081968,39,0,0,0,0,0,0,0,0,0,0,0,0,0
