"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0033881","Evan Engram",144,8.5,35.9,"TE","JAX",23.6
2,"00-0039065","Sam LaPorta",122,7.2,34.1,"TE","DET",21.1
3,"00-0035229","T.J. Hockenson",127,8.5,35.7,"TE","MIN",20.9
4,"00-0033885","David Njoku",123,7.7,35.2,"TE","CLE",20.5
5,"00-0030506","Travis Kelce",121,8.1,35.2,"TE","KC",20.2
6,"00-0037744","Trey McBride",106,6.2,32.2,"TE","ARI",19.4
7,"00-0033288","George Kittle",90,5.6,27.7,"TE","SF",19.1
8,"00-0036290","Cole Kmet",90,6,28.2,"TE","CHI",18.8
9,"00-0036970","Kyle Pitts",90,5.3,30.1,"TE","ATL",17.6
10,"00-0038041","Jake Ferguson",102,6,35.8,"TE","DAL",16.8
11,"00-0038933","Dalton Kincaid",91,5.7,32.3,"TE","BUF",16.6
12,"00-0037809","Chigoziem Okonkwo",77,4.5,28.2,"TE","TEN",16.1
13,"00-0034351","Dallas Goedert",83,5.9,30.9,"TE","PHI",15.8
14,"00-0034383","Dalton Schultz",89,5.9,33.6,"TE","HOU",15.6
15,"00-0034270","Tyler Conklin",87,5.1,33.2,"TE","NYJ",15.4
16,"00-0031610","Darren Waller",74,6.2,28.6,"TE","NYG",15.2
17,"00-0033858","Jonnu Smith",70,4.7,30.1,"TE","ATL",13.7
18,"00-0031260","Logan Thomas",79,4.9,35.4,"TE","WAS",13.1
19,"00-0034753","Mark Andrews",61,6.1,28.1,"TE","BAL",12.8
20,"00-0033110","Tyler Higbee",70,4.7,32.9,"TE","LA",12.5
21,"00-0038129","Cade Otton",68,4.2,32.6,"TE","TB",12.3
22,"00-0033895","Gerald Everett",70,4.7,36.2,"TE","LAC",11.4
23,"00-0033090","Hunter Henry",61,4.7,31.9,"TE","NE",11.3
24,"00-0036040","Juwan Johnson",59,4.5,34.2,"TE","NO",10.2
25,"00-0036894","Pat Freiermuth",48,4.4,28.6,"TE","PIT",9.9
26,"00-0036876","Kylen Granson",50,3.3,32.4,"TE","IND",9.1
27,"00-0034829","Mike Gesicki",46,3.1,31.9,"TE","NE",8.5
28,"00-0034613","Tanner Hudson",50,4.2,34.9,"TE","CIN",8.4
29,"00-0037838","Isaiah Likely",40,3.1,28.1,"TE","BAL",8.4
30,"00-0039144","Luke Musgrave",46,4.2,33.1,"TE","GB",8.2
31,"00-0030061","Zach Ertz",43,6.1,32.2,"TE","ARI",7.9
32,"00-0034798","Durham Smythe",43,3.3,32.4,"TE","MIA",7.8
33,"00-0035644","Noah Fant",43,3.1,32.3,"TE","SEA",7.8
34,"00-0039066","Michael Mayer",41,3.4,31.4,"TE","LV",7.7
35,"00-0036422","Adam Trautman",35,2.2,28.2,"TE","DEN",7.3
36,"00-0038996","Tucker Kraft",40,4,33.1,"TE","GB",7.1
37,"00-0037304","Connor Heyward",34,3.1,28.6,"TE","PIT",7
38,"00-0036637","Noah Gray",41,2.6,35.2,"TE","KC",6.8
39,"00-0035329","Donald Parham",41,3.2,36.2,"TE","LAC",6.7
40,"00-0035689","Dawson Knox",37,3.7,32.3,"TE","BUF",6.7
41,"00-0036244","Colby Parkinson",34,2.4,32.3,"TE","SEA",6.2
42,"00-0032392","Austin Hooper",32,2,31.4,"TE","LV",6
43,"00-0034830","Hayden Hurst",32,3.6,31.5,"TE","CAR",6
44,"00-0037005","Tommy Tremble",32,2.5,31.5,"TE","CAR",6
