...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
10,11,Rob Gronkowski,,,TE1,,,,,,10,11.5,00-0027656,TE,2015,0.6868686868686869,26,2010,0.9153333333333332,67.129715,0.075,42,10.8,120,72,1176,78.4,22,11,0,0,0,0,0,11,15
31,32,Jordan Reed,,,TE2,,,,,,35,33.5,00-0030472,TE,2015,0.6938775510204082,25,2013,0.7385714285714287,83.35649,0.06,85,6.3,114,87,952,68,14,11,0,0,0,0,2,11,14
42,43,Greg Olsen,,,TE3,,,,,,43,44.5,00-0025418,TE,2015,1,30,2007,0.958125,71.11317,0.052000000000000005,31,12.7,124,77,1104,69,20,7,0,0,0,0,1,7,16
53,54,Travis Kelce,KC,5,TE4,,,,,,62,57.5,00-0030506,TE,2015,0.8717948717948718,25,2013,0.921875,41.159958,0.06,63,8.2,105,72,875,54.6875,10,5,0,0,0,0,2,5,16
57,58,Jordan Matthews,,,TE5,,,,,,52,60.8,00-0031299,TE,2015,1,23,2014,0.80125,74.93762,0.009,42,10.8,128,85,997,62.3125,14,8,0,0,0,0,1,8,16
58,59,Delanie Walker,,,TE6,,,,,,64,61.8,00-0024389,TE,2015,1,31,2006,0.7226666666666667,35.95067,0.043,175,1.7,134,94,1088,72.53333333333333,13,6,1,36,2.4,0,0,6,15
65,66,Coby Fleener,,,TE7,,,,,,69,66,00-0029697,TE,2015,1,26,2012,0.6625000000000001,48.31495,0.046,34,12.1,85,54,491,32.733333333333334,4,3,0,0,0,0,0,3,15
79,80,Zach Ertz,WAS,9,TE8,,,,,,82,80.5,00-0030061,TE,2015,1,24,2013,0.7146666666666667,48.926956,0.055,35,12,112,75,853,56.86666666666667,11,2,0,0,0,0,1,2,15
82,83,Gary Barnidge,,,TE9,,,,,,107,84.8,00-0026281,TE,2015,1,29,2008,0.846875,46.08229,0.028999999999999998,141,3.1,125,79,1043,65.1875,16,9,0,0,0,0,0,9,16
86,87,Julius Thomas,,,TE10,,,,,,87,90.8,00-0028067,TE,2015,1,27,2011,0.6941666666666667,66.2875,0.064,129,3.7,82,46,455,37.916666666666664,5,5,0,0,0,0,0,5,12
94,95,Antonio Gates,,,TE11,,,,,,101,94.5,00-0021547,TE,2015,0.8596491228070176,35,2003,-1,63.920727,0.035,,0,85,56,630,57.27272727272727,5,5,0,0,0,0,0,5,11
105,106,Martellus Bennett,,,TE12,,,,,,109,113.3,00-0026201,TE,2015,0.8869565217391304,28,2008,0.9490909090909092,50.338726,0.040999999999999995,61,8.4,80,53,439,39.90909090909091,5,3,0,0,0,0,0,3,11
109,110,Tyler Eifert,,,TE13,,,,,,156,117.5,00-0030549,TE,2015,0.9714285714285714,24,2013,0.856153846,93.41564,0.021,21,15.2,74,52,615,47.30769230769231,8,13,0,0,0,0,0,13,13
114,115,Dwayne Allen,,,TE14,,,,,,116,120,00-0029689,TE,2015,0.6538461538461539,25,2012,0.5684615384615385,8.500909,0.047,64,8.1,29,16,109,9.083333333333334,1,1,1,1,0.08333333333333333,0,0,1,12
122,123,Jimmy Graham,,,TE15,,,,,,92,129.5,00-0027696,TE,2015,0.8762886597938144,28,2010,0.7818181818181817,46.462727,0.075,95,5.6,75,48,605,55,11,2,0,0,0,0,0,2,11
129,130,Jason Witten,,,TE16,,,,,,126,136,00-0022127,TE,2015,1,33,2003,0.991875,32.727623,0.061,69,7.6,104,77,713,44.5625,4,3,0,0,0,0,1,3,16
131,132,Eric Ebron,,,TE17,,,,,,121,139.5,00-0031387,TE,2015,1,22,2014,0.6714285714285715,28.990164,0.023,10,19.9,70,47,537,38.357142857142854,5,5,0,0,0,0,0,5,14
132,133,Jared Cook,,,TE18,,,,,,146,141,00-0027061,TE,2015,0.8793103448275862,28,2009,0.70625,17.04129,0.018000000000000002,89,6,76,39,481,30.0625,7,0,0,0,0,0,1,0,16
140,141,Zach Miller,,,TE19,,,,,,151,150.5,00-0027125,TE,2015,0.8947368421052632,30,2009,0.5800000000000001,70.686295,0.019,180,1.5,46,34,439,36.583333333333336,7,5,0,0,0,0,0,5,12
168,169,Virgil Green,,,TE20,,,,,,196,180,00-0028142,TE,2015,1,27,2011,0.35562499999999997,9.850909,0.02,204,0.7,15,12,173,15.727272727272727,3,1,0,0,0,0,0,1,11
183,184,Charles Clay,,,TE21,,,,,,163,162,00-0028112,TE,2015,0.6219512195121951,26,2011,0.883076923,45.133976,0.053,174,1.7,77,51,528,40.61538461538461,9,3,0,0,0,0,0,3,13
185,186,Austin Seferian-Jenkins,,,TE22,,,,,,136,163.7,00-0031418,TE,2015,0.53125,22,2014,0.45142857142857146,65.63619,0.01,38,11.4,39,21,338,48.285714285714285,7,4,0,0,0,0,0,4,7
190,191,Ladarius Green,,,TE23,,,,,,149,175.3,00-0029275,TE,2015,0.7611940298507462,25,2012,0.6907692307692308,38.053333,0.032,110,4.7,65,37,429,33,5,4,0,0,0,0,0,4,13
196,197,Clive Walford,,,TE24,,,,,,207,186.3,00-0032256,TE,2015,1,23,2015,0.41625,14.101143,0.006,68,7.7,51,28,329,21.933333333333334,5,3,0,0,0,0,0,3,15
203,204,Jesse James,,,TE25,,,,,,178,202.7,00-0032135,TE,2015,1,21,2015,0.30500000000000005,11.687,0.004,160,2.3,12,8,56,11.2,1,1,0,0,0,0,0,1,5
204,205,Jordan Cameron,,,TE26,,,,,,177,203,00-0028040,TE,2015,1,27,2011,0.725,13.002,0.039,102,5.1,70,35,386,24.125,4,3,0,0,0,0,0,3,16
210,211,Kyle Rudolph,,,TE27,,,,,,228,206.3,00-0027981,TE,2015,0.8292682926829268,25,2011,0.8300000000000001,35.346294,0.055,43,10.6,73,49,495,30.9375,4,5,0,0,0,0,0,5,16
225,226,Vance McDonald,,,TE28,,,,,,304,218.7,00-0030470,TE,2015,0.7083333333333334,25,2013,0.5178571428571428,43.694946,0.042,55,9.1,46,30,326,23.285714285714285,5,3,0,0,0,0,0,3,14
244,245,Will Tye,,,TE29,,,,,,241,239.3,00-0032004,TE,2015,1,23,2015,-1,36.775642,--,,0,62,42,464,35.69230769230769,5,3,0,0,0,0,1,3,13
252,253,Benjamin Watson,,,TE30,,,,,,226,215.5,00-0022943,TE,2015,0.8793103448275862,34,2004,0.854375,68.62063,0.023,,0,110,74,825,51.5625,13,6,0,0,0,0,1,6,16
259,260,Tyler Higbee,LAR,8,TE31,,,,,,224,256.3,00-0033110,TE,2015,--,22,2016,-1,--,0.005,110,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0
261,262,Jacob Tamme,,,TE32,,,,,,183,274.3,00-0026267,TE,2015,1,30,2008,0.7253333333333333,44.362663,0.011000000000000001,127,3.8,81,59,657,43.8,7,1,0,0,0,0,0,1,15
264,265,Cameron Brate,,,TE33,,,,,,239,260.7,00-0031273,TE,2015,1,24,2014,0.35428571428571426,28.188786,0.004,,0,30,23,288,24,5,3,0,0,0,0,0,3,12
265,266,Richard Rodgers,,,TE34,,,,,,258,263,00-0031384,TE,2015,1,23,2014,0.708125,62.81529,0.005,98,5.4,86,58,526,32.875,6,8,1,11,0.6875,0,0,8,16
273,274,Hunter Henry,NE,9,TE35,,,,,,235,281.7,00-0033090,TE,2015,--,20,2016,-1,--,0.01,35,12,0,0,0,0,0,0,0,0,0,0,0,0,0
279,280,Larry Donnell,,,TE36,,,,,,,250.5,00-0028838,TE,2015,0.723404255,26,2012,-1,17.686964,0.011000000000000001,,0,41,29,223,27.875,2,2,0,0,0,0,0,2,8
