"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0030506","Travis Kelce",151,9.4,35.3,"TE","KC",26.7
2,"00-0033288","George Kittle",138,8.6,32.4,"TE","SF",26.6
3,"00-0030061","Zach Ertz",156,9.8,37.1,"TE","PHI",26.3
4,"00-0027061","Jared Cook",101,6.3,33.2,"TE","LV",19
5,"00-0031387","Eric Ebron",110,7.3,39.8,"TE","IND",17.3
6,"00-0030472","Jordan Reed",84,6.5,30.8,"TE","WAS",17.1
7,"00-0033885","David Njoku",88,5.9,35.2,"TE","CLE",15.6
8,"00-0030710","Trey Burton",77,4.8,31.8,"TE","CHI",15.1
9,"00-0032392","Austin Hooper",90,5.6,38.1,"TE","ATL",14.8
10,"00-0033611","Ricky Seals-Jones",69,4.6,29.7,"TE","ARI",14.5
11,"00-0027696","Jimmy Graham",89,5.6,38.6,"TE","GB",14.4
12,"00-0027981","Kyle Rudolph",84,5.2,37.3,"TE","MIN",14.1
13,"00-0027656","Rob Gronkowski",72,5.5,34.8,"TE","NE",12.9
14,"00-0032134","C.J. Uzomah",64,4,33.2,"TE","CIN",12
15,"00-0033881","Evan Engram",65,5.9,36.2,"TE","NYG",11.2
16,"00-0034766","Chris Herndon",56,4,31.6,"TE","NYJ",11.1
17,"00-0032394","Nick Vannett",43,2.9,25.1,"TE","SEA",10.7
18,"00-0030470","Vance McDonald",72,4.8,42.6,"TE","PIT",10.6
19,"00-0021547","Antonio Gates",48,3,32.1,"TE","LAC",9.4
20,"00-0033895","Gerald Everett",51,3.4,34.2,"TE","LA",9.3
21,"00-0034753","Mark Andrews",50,3.1,33.8,"TE","BAL",9.2
22,"00-0022943","Benjamin Watson",46,3.5,32.1,"TE","NO",9
23,"00-0034365","Ian Thomas",49,4.9,34.2,"TE","CAR",8.9
24,"00-0030108","Ryan Griffin",43,3.3,30.9,"TE","HOU",8.7
25,"00-0032227","Jeff Heuerman",48,4.8,35.4,"TE","DEN",8.5
26,"00-0031273","Cameron Brate",49,3.3,38.9,"TE","TB",7.9
27,"00-0033879","O.J. Howard",48,4.8,38.9,"TE","TB",7.7
28,"00-0024221","Vernon Davis",37,2.8,30.8,"TE","WAS",7.5
29,"00-0028112","Charles Clay",36,3.3,30.1,"TE","BUF",7.5
30,"00-0034351","Dallas Goedert",44,3.1,37.1,"TE","PHI",7.4
31,"00-0033627","Jason Croom",35,2.9,30.1,"TE","BUF",7.3
32,"00-0034829","Mike Gesicki",32,2.3,27.2,"TE","MIA",7.3
33,"00-0031951","James O'Shaughnessy",38,2.9,32.9,"TE","JAX",7.2
34,"00-0033858","Jonnu Smith",30,2.7,26.6,"TE","TEN",7
35,"00-0025418","Greg Olsen",38,4.2,34.2,"TE","CAR",6.9
36,"00-0033658","Blake Jarwin",36,3,32.4,"TE","DAL",6.9
37,"00-0031598","Nick Boyle",37,3.1,33.8,"TE","BAL",6.8
38,"00-0031744","Matt LaCosse",37,2.8,35.4,"TE","DEN",6.5
39,"00-0032141","Geoff Swaim",32,4,32.4,"TE","DAL",6.2
40,"00-0033110","Tyler Higbee",34,2.4,34.2,"TE","LA",6.2
41,"00-0029587","Rhett Ellison",35,2.7,36.2,"TE","NYG",6
42,"00-0032135","Jesse James",40,2.7,42.6,"TE","PIT",5.9
43,"00-0034420","Jordan Thomas",27,1.9,30.9,"TE","HOU",5.5
44,"00-0028142","Virgil Green",27,2.1,32.1,"TE","LAC",5.3
45,"00-0030181","Jack Doyle",33,5.5,39.8,"TE","IND",5.2
46,"00-0034364","Jordan Akins",25,1.9,30.9,"TE","HOU",5.1
47,"00-0028042","Luke Stocker",21,1.8,26.6,"TE","TEN",4.9
48,"00-0033953","Jordan Leggett",25,1.9,31.6,"TE","NYJ",4.9
49,"00-0030216","Josh Hill",24,2.2,32.1,"TE","NO",4.7
50,"00-0033455","Anthony Firkser",20,2.5,26.6,"TE","TEN",4.7
51,"00-0030155","Demetrius Harris",25,2.5,35.3,"TE","KC",4.4
52,"00-0030443","Levine Toilolo",24,2.2,35.2,"TE","DET",4.3
53,"00-0034830","Hayden Hurst",23,2.6,33.8,"TE","BAL",4.3
54,"00-0027985","Lance Kendricks",25,1.9,38.6,"TE","GB",4
55,"00-0033559","Michael Roberts",20,2.9,35.2,"TE","DET",3.5
