"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0034791","Nick Chubb",298,18.6,24.6,"RB","CLE",75.8
2,"00-0033280","Christian McCaffrey",288,18,24.2,"RB","CAR",74.4
3,"00-0033897","Joe Mixon",278,17.4,24.1,"RB","CIN",72
4,"00-0033856","Leonard Fournette",266,17.7,24.4,"RB","JAX",68.2
5,"00-0032764","Derrick Henry",303,20.2,27.9,"RB","TEN",67.9
6,"00-0033045","Ezekiel Elliott",301,18.8,28.1,"RB","DAL",66.9
7,"00-0030496","Le'Veon Bell",245,16.3,23.9,"RB","NYJ",64
8,"00-0035685","David Montgomery",242,15.1,24.7,"RB","CHI",61.3
9,"00-0034844","Saquon Barkley",217,16.7,22.6,"RB","NYG",59.9
10,"00-0025394","Adrian Peterson",211,14.1,22.3,"RB","WAS",59.1
11,"00-0033594","Chris Carson",278,18.5,30.1,"RB","SEA",57.7
12,"00-0033293","Aaron Jones",236,14.8,25.8,"RB","GB",57.3
13,"00-0031045","Carlos Hyde",245,15.3,27.1,"RB","HOU",56.5
14,"00-0032241","Todd Gurley",224,14.9,25.2,"RB","LA",55.6
15,"00-0035700","Josh Jacobs",242,18.6,27.3,"RB","LV",55.4
16,"00-0034845","Sony Michel",247,15.4,28.1,"RB","NE",55
17,"00-0034109","Phillip Lindsay",225,14.1,25.6,"RB","DEN",54.9
18,"00-0033893","Dalvin Cook",250,17.9,29.8,"RB","MIN",52.5
19,"00-0033951","Marlon Mack",248,17.7,29.5,"RB","IND",52.5
20,"00-0031285","Devonta Freeman",184,13.1,22.7,"RB","ATL",50.7
21,"00-0032144","Melvin Gordon",162,13.5,22.9,"RB","LAC",44.3
22,"00-0033906","Alvin Kamara",171,12.2,25.4,"RB","NO",42
23,"00-0034816","Ronald Jones",172,10.8,25.8,"RB","TB",41.7
24,"00-0035243","Miles Sanders",180,11.2,28.6,"RB","PHI",39.3
25,"00-0032741","Peyton Barber",155,10.3,25.8,"RB","TB",37.6
26,"00-0033699","Austin Ekeler",132,8.2,22.9,"RB","LAC",36.1
27,"00-0030513","Latavius Murray",146,9.1,25.4,"RB","NO",35.9
28,"00-0023500","Frank Gore",166,11.1,29.1,"RB","BUF",35.6
29,"00-0027966","Mark Ingram",204,13.6,37.5,"RB","BAL",34
30,"00-0035250","Devin Singletary",151,12.6,29.1,"RB","BUF",32.4
31,"00-0034838","Royce Freeman",132,8.2,25.6,"RB","DEN",32.2
32,"00-0033118","Kenyan Drake",123,15.4,24.8,"RB","ARI",31.1
33,"00-0030874","Damien Williams",111,10.1,23.4,"RB","KC",29.6
34,"00-0033553","James Conner",116,11.6,24.7,"RB","PIT",29.4
35,"00-0034349","Kerryon Johnson",113,14.1,25.4,"RB","DET",27.8
36,"00-0031687","Raheem Mostert",137,9.1,31.1,"RB","SF",27.5
37,"00-0032058","Tevin Coleman",137,9.8,31.1,"RB","SF",27.5
38,"00-0035217","Benny Snell",108,9.8,24.7,"RB","PIT",27.3
39,"00-0027029","LeSean McCoy",101,8.4,23.4,"RB","KC",26.9
40,"00-0032780","Jordan Howard",119,13.2,28.6,"RB","PHI",26
41,"00-0033948","Jamaal Williams",107,8.2,25.8,"RB","GB",26
42,"00-0032940","DeAndre Washington",108,6.8,27.3,"RB","LV",24.7
43,"00-0033308","Matt Breida",123,10.2,31.1,"RB","SF",24.7
44,"00-0032187","David Johnson",94,7.8,24.8,"RB","ARI",23.7
45,"00-0034184","Gus Edwards",133,8.3,37.5,"RB","BAL",22.2
46,"00-0034432","Bo Scarbrough",89,14.8,25.4,"RB","DET",21.9
47,"00-0033567","Brian Hill",78,7.8,22.7,"RB","ATL",21.5
48,"00-0034799","Kalen Ballage",74,6.2,21.8,"RB","MIA",21.2
49,"00-0034972","Alexander Mattison",100,7.7,29.8,"RB","MIN",21
50,"00-0035261","Tony Pollard",87,6.2,28.1,"RB","DAL",19.3
51,"00-0032257","Duke Johnson",83,5.2,27.1,"RB","HOU",19.1
52,"00-0035342","Patrick Laird",62,7.8,21.8,"RB","MIA",17.8
53,"00-0031806","Malcolm Brown",69,5.3,25.2,"RB","LA",17.1
54,"00-0034331","Jaylen Samuels",66,5.5,24.7,"RB","PIT",16.7
55,"00-0033556","Tarik Cohen",64,4.3,24.7,"RB","CHI",16.2
56,"00-0035537","Ty Johnson",63,4.2,25.4,"RB","DET",15.5
57,"00-0028064","Bilal Powell",59,4.9,23.9,"RB","NYJ",15.4
58,"00-0031062","James White",69,4.6,28.1,"RB","NE",15.4
59,"00-0034679","Mark Walton",53,7.6,21.8,"RB","MIA",15.2
60,"00-0034681","Chase Edmonds",60,6,24.8,"RB","ARI",15.2
61,"00-0030288","Rex Burkhead",65,5.4,28.1,"RB","NE",14.5
62,"00-0030456","Giovani Bernard",53,3.3,24.1,"RB","CIN",13.7
63,"00-0033118","Kenyan Drake",47,7.8,21.8,"RB","MIA",13.5
64,"00-0034750","Rashaad Penny",65,8.1,30.1,"RB","SEA",13.5
65,"00-0034414","Boston Scott",61,7.6,28.6,"RB","PHI",13.3
66,"00-0028087","Dion Lewis",54,4.2,27.9,"RB","TEN",12.1
67,"00-0034358","Derrius Guice",42,8.4,22.3,"RB","WAS",11.8
68,"00-0034367","Nyheim Hines",52,3.2,29.5,"RB","IND",11
69,"00-0033923","Kareem Hunt",43,5.4,24.6,"RB","CLE",10.9
70,"00-0034301","Darrel Williams",41,5.1,23.4,"RB","KC",10.9
71,"00-0034400","Jordan Wilkins",51,4.2,29.5,"RB","IND",10.8
72,"00-0030404","Chris Thompson",37,4.1,22.3,"RB","WAS",10.4
73,"00-0032975","Jonathan Williams",49,12.2,29.5,"RB","IND",10.4
74,"00-0034208","Mike Boone",49,9.8,29.8,"RB","MIN",10.3
75,"00-0035311","Myles Gaskin",36,6,21.8,"RB","MIA",10.3
76,"00-0035148","Darwin Thompson",37,4.6,23.4,"RB","KC",9.9
77,"00-0034975","Justice Hill",58,3.9,37.5,"RB","BAL",9.7
78,"00-0035664","Darrell Henderson",39,5.6,25.2,"RB","LA",9.7
79,"00-0032602","J.D. McKissic",38,2.9,25.4,"RB","DET",9.3
80,"00-0035268","Ryquell Armstead",35,3.2,24.4,"RB","JAX",9
81,"00-0033025","Jalen Richard",39,2.4,27.3,"RB","LV",8.9
82,"00-0032200","Ty Montgomery",32,2.9,23.9,"RB","NYJ",8.4
83,"00-0035013","Jon Hilliman",30,10,22.6,"RB","NYG",8.3
