...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Christian McCaffrey,SF,6,RB1,1,1,,1,00-0033280,RB,2020,0.796875,24,59,225,75,0,5,0,19,17,146,48.666666666666664,1,1,6,3
1,2,Dalvin Cook,,,RB2,2,2,,2,00-0033893,RB,2020,0.75,25,315,1563,111.64285714285714,6,16,3,54,44,361,25.785714285714285,4,1,17,14
2,3,Derrick Henry,BAL,8,RB3,3,3,,3.3,00-0032764,RB,2020,0.9876543209876543,26,380,2029,126.8125,16,17,2,31,19,114,7.125,1,0,17,16
3,4,Alvin Kamara,NO,6,RB4,4,4,,3.8,00-0033906,RB,2020,0.953125,25,187,932,62.13333333333333,7,16,0,107,83,756,50.4,9,5,21,15
4,5,Ezekiel Elliott,,,RB5,5,5,,5,00-0033045,RB,2020,0.9125,25,245,979,65.26666666666667,3,6,5,72,52,338,22.533333333333335,0,2,8,15
5,6,Nick Chubb,HOU,10,RB6,6,6,,6.5,00-0034791,RB,2020,0.9166666666666666,24,190,1065,88.75,12,12,1,18,16,150,12.5,1,0,12,12
6,7,Aaron Jones Sr.,MIN,7,RB7,7,8,,7.8,00-0033293,RB,2020,0.90625,25,202,1104,78.85714285714286,6,9,0,63,47,355,25.357142857142858,4,2,11,14
8,9,Jonathan Taylor,IND,14,RB8,10,9,,10,00-0036223,RB,2020,0.9375,21,232,1169,77.93333333333334,7,11,1,39,36,299,19.933333333333334,5,1,12,15
9,10,Saquon Barkley,PHI,14,RB9,11,7,,10.3,00-0034844,RB,2020,0.6458333333333334,23,19,34,17,0,0,0,9,6,60,30,1,0,0,2
12,13,Austin Ekeler,WAS,9,RB10,14,13,,12.5,00-0033699,RB,2020,0.90625,25,116,530,53,2,1,0,65,54,403,40.3,2,2,3,10
14,15,Najee Harris,LAC,7,RB11,16,14,,14.8,00-0036893,RB,2020,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,Antonio Gibson,NE,14,RB12,17,21,,17.5,00-0036328,RB,2020,0.875,22,170,795,56.785714285714285,5,11,2,44,36,247,17.642857142857142,2,0,11,14
18,19,Joe Mixon,HOU,10,RB13,21,17,,19,00-0033897,RB,2020,0.84375,24,119,428,71.33333333333333,3,3,1,26,21,138,23,0,1,4,6
