"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0035700","Josh Jacobs",341,20.1,25.2,"RB","LV",79.5
2,"00-0032764","Derrick Henry",349,21.8,28.6,"RB","TEN",71.7
3,"00-0033893","Dalvin Cook",264,15.5,23.8,"RB","MIN",65.3
4,"00-0034791","Nick Chubb",303,17.8,31.4,"RB","CLE",56.8
5,"00-0034844","Saquon Barkley",295,18.4,30.6,"RB","NYG",56.6
6,"00-0037258","Dameon Pierce",220,16.9,23.5,"RB","HOU",55.1
7,"00-0036893","Najee Harris",272,16,29.4,"RB","PIT",54.4
8,"00-0033948","Jamaal Williams",263,15.5,28.5,"RB","DET",54.3
9,"00-0038134","Kenneth Walker",228,15.2,25,"RB","SEA",53.6
10,"00-0033897","Joe Mixon",210,15,25,"RB","CIN",52.5
11,"00-0033699","Austin Ekeler",204,12,23.8,"RB","LAC",50.5
12,"00-0036875","Rhamondre Stevenson",210,12.4,25,"RB","NE",49.4
13,"00-0036973","Travis Etienne",221,13,26.4,"RB","JAX",49.2
14,"00-0033856","Leonard Fournette",189,12.6,22.8,"RB","TB",48.8
15,"00-0033906","Alvin Kamara",223,14.9,27.5,"RB","NO",47.8
16,"00-0035243","Miles Sanders",260,15.3,32.2,"RB","PHI",47.5
17,"00-0033293","Aaron Jones",213,12.5,26.8,"RB","GB",46.7
18,"00-0031687","Raheem Mostert",181,11.3,22.9,"RB","MIA",46.4
19,"00-0036414","Cam Akers",188,12.5,24.2,"RB","LA",45.7
20,"00-0036223","Jonathan Taylor",192,19.2,25.9,"RB","IND",43.6
21,"00-0033045","Ezekiel Elliott",231,15.4,31.3,"RB","DAL",43.4
22,"00-0033553","James Conner",183,14.1,25.6,"RB","ARI",42
23,"00-0033925","D'Onta Foreman",204,12.8,28.6,"RB","CAR",42
24,"00-0035250","Devin Singletary",177,11.1,27,"RB","BUF",41
25,"00-0036265","A.J. Dillon",186,10.9,26.8,"RB","GB",40.8
26,"00-0037197","Isiah Pacheco",170,10,24.6,"RB","KC",40.6
27,"00-0037746","Brian Robinson",205,17.1,31.6,"RB","WAS",38.1
28,"00-0037263","Tyler Allgeier",211,13.2,32.9,"RB","ATL",37.7
29,"00-0035261","Tony Pollard",193,12.1,31.3,"RB","DAL",36.3
30,"00-0030513","Latavius Murray",161,13.4,26.2,"RB","DEN",36.2
31,"00-0035685","David Montgomery",201,12.6,32.8,"RB","CHI",36
