"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0033897","Joe Mixon",257,15.1,22.5,"RB","CIN",67.1
2,"00-0032764","Derrick Henry",280,16.5,26.1,"RB","TEN",63.1
3,"00-0037256","Rachaad White",272,16,25.8,"RB","TB",62
4,"00-0036973","Travis Etienne",269,15.8,26.8,"RB","JAX",59.1
5,"00-0038120","Breece Hall",224,13.2,22.9,"RB","NYJ",57.4
6,"00-0038134","Kenneth Walker",219,14.6,22.5,"RB","SEA",57.3
7,"00-0035700","Josh Jacobs",233,17.9,24.4,"RB","LV",56.1
8,"00-0033280","Christian McCaffrey",272,17,29.4,"RB","SF",54.5
9,"00-0034844","Saquon Barkley",248,17.7,26.8,"RB","NYG",54.5
10,"00-0035261","Tony Pollard",253,14.9,27.6,"RB","DAL",53.8
11,"00-0036555","Chuba Hubbard",238,14,26.3,"RB","CAR",53.2
12,"00-0036893","Najee Harris",256,15.1,28.7,"RB","PIT",52.5
13,"00-0037746","Brian Robinson",179,11.9,21.2,"RB","WAS",49.6
14,"00-0037197","Isiah Pacheco",206,14.7,24.6,"RB","KC",49.3
15,"00-0035250","Devin Singletary",216,13.5,26.2,"RB","HOU",48.4
16,"00-0036997","Javonte Williams",219,13.7,26.8,"RB","DEN",48.1
17,"00-0037840","Kyren Williams",229,19.1,28.1,"RB","LA",47.9
18,"00-0037248","James Cook",237,13.9,30.1,"RB","BUF",46.3
19,"00-0031687","Raheem Mostert",209,13.9,26.8,"RB","MIA",45.8
20,"00-0034972","Alexander Mattison",180,11.2,23.1,"RB","MIN",45.8
21,"00-0036275","D'Andre Swift",229,14.3,30.1,"RB","PHI",44.8
22,"00-0033045","Ezekiel Elliott",184,10.8,24.5,"RB","NE",44.2
23,"00-0033553","James Conner",210,16.2,28.1,"RB","ARI",44
24,"00-0035685","David Montgomery",220,15.7,29.5,"RB","DET",43.9
25,"00-0033699","Austin Ekeler",179,12.8,25.4,"RB","LAC",41.5
26,"00-0038542","Bijan Robinson",214,12.6,30.8,"RB","ATL",40.9
27,"00-0036265","AJ Dillon",178,11.9,26.1,"RB","GB",40.2
28,"00-0037267","Jerome Ford",206,12.1,30.9,"RB","CLE",39.2
29,"00-0036251","Zack Moss",183,13.1,28.2,"RB","IND",38.2
30,"00-0033906","Alvin Kamara",182,14,28.4,"RB","NO",37.8
31,"00-0036875","Rhamondre Stevenson",156,13,24.5,"RB","NE",37.5
32,"00-0034184","Gus Edwards",199,11.7,31.9,"RB","BAL",36.7
33,"00-0039139","Jahmyr Gibbs",182,12.1,29.5,"RB","DET",36.3
34,"00-0037263","Tyler Allgeier",187,11,30.8,"RB","ATL",35.8
35,"00-0036223","Jonathan Taylor",169,16.9,28.2,"RB","IND",35.3
36,"00-0037258","Dameon Pierce",145,11.2,26.2,"RB","HOU",32.5
37,"00-0033293","Aaron Jones",142,12.9,26.1,"RB","GB",32.1
38,"00-0037228","Jaylen Warren",149,8.8,28.7,"RB","PIT",30.5
39,"00-0035243","Miles Sanders",129,8.1,26.3,"RB","CAR",28.9
40,"00-0039165","Zach Charbonnet",108,6.8,22.5,"RB","SEA",28.3
41,"00-0037276","Ty Chandler",102,8.5,23.1,"RB","MIN",26
42,"00-0033923","Kareem Hunt",135,9.6,30.9,"RB","CLE",25.7
43,"00-0038040","Zamir White",104,8,24.4,"RB","LV",25.1
44,"00-0036906","Khalil Herbert",133,11.1,31.5,"RB","CHI",24.9
45,"00-0036370","Joshua Kelley",107,6.3,25.4,"RB","LAC",24.8
46,"00-0039040","De'Von Achane",103,9.4,26.8,"RB","MIA",22.6
47,"00-0039032","Tyjae Spears",100,5.9,26.1,"RB","TEN",22.5
48,"00-0033948","Jamaal Williams",106,8.2,28.4,"RB","NO",22
49,"00-0033925","D'Onta Foreman",109,12.1,31.5,"RB","CHI",20.4
50,"00-0036139","Rico Dowdle",89,5.6,27.6,"RB","DAL",18.9
51,"00-0036328","Antonio Gibson",65,4.3,21.2,"RB","WAS",18
52,"00-0033893","Dalvin Cook",67,4.8,22.9,"RB","NYJ",17.2
53,"00-0036360","Clyde Edwards-Helaire",70,4.7,24.6,"RB","KC",16.7
54,"00-0038794","Jaleel McLaughlin",76,4.8,26.8,"RB","DEN",16.7
55,"00-0036919","Kenneth Gainwell",85,5.3,30.1,"RB","PHI",16.6
56,"00-0034838","Royce Freeman",77,8.6,28.1,"RB","LA",16.1
57,"00-0034975","Justice Hill",84,6,31.9,"RB","BAL",15.5
58,"00-0030513","Latavius Murray",79,5.3,30.1,"RB","BUF",15.4
59,"00-0039021","Roschon Johnson",81,5.4,31.5,"RB","CHI",15.1
60,"00-0036567","Elijah Mitchell",75,6.8,29.4,"RB","SF",15
61,"00-0038611","Chris Rodriguez",51,6.4,21.2,"RB","WAS",14.1
62,"00-0038098","Pierre Strong",64,4.9,30.9,"RB","CLE",12.2
63,"00-0038705","Emari Demercado",58,5.8,28.1,"RB","ARI",12.2
64,"00-0033308","Matt Breida",55,3.9,26.8,"RB","NYG",12.1
65,"00-0033526","Samaje Perine",53,3.3,26.8,"RB","DEN",11.6
66,"00-0038555","Tank Bigsby",50,3.8,26.8,"RB","JAX",11
67,"00-0030578","Cordarrelle Patterson",50,4.5,30.8,"RB","ATL",9.6
