...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
1,2,Christian McCaffrey,SF,9,RB1,2,2,2,2,00-0033280,RB,2022,0.7653061224489796,26,246,1139,67,9,8,0,108,85,741,43.588235294117645,8,5,14,17
3,4,Austin Ekeler,WAS,14,RB2,4,4,4,4,00-0033699,RB,2022,0.9285714285714286,27,204,915,53.8235294117647,4,13,3,127,107,708,41.64705882352941,4,5,18,17
6,7,Bijan Robinson,ATL,11,RB3,8,7,8,7.7,00-0038542,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,Nick Chubb,HU,,RB4,7,9,9,8.3,00-0034791,RB,2022,0.9146341463414634,26,303,1527,89.82352941176471,13,12,1,37,27,239,14.058823529411764,1,1,13,17
8,9,Saquon Barkley,PHI,10,RB5,11,8,7,8.7,00-0034844,RB,2022,0.7317073170731707,25,295,1312,82,9,10,0,77,57,338,21.125,2,0,10,16
12,13,Tony Pollard,TEN,7,RB6,13,19,12,14.7,00-0035261,RB,2022,0.9393939393939394,25,193,1007,62.9375,9,9,0,55,39,371,23.1875,3,3,12,16
15,16,Derrick Henry,BAL,13,RB7,15,12,20,15.7,00-0032764,RB,2022,0.9043478260869565,28,349,1538,96.125,10,13,3,41,33,398,24.875,6,0,14,16
16,17,Josh Jacobs,GB,6,RB8,18,18,13,16.3,00-0035700,RB,2022,0.9090909090909091,24,341,1653,97.23529411764706,7,12,1,64,53,400,23.529411764705884,2,0,12,17
24,25,Najee Harris,LAC,5,RB9,27,24,26,25.7,00-0036893,RB,2022,1.0,24,272,1034,60.8235294117647,1,7,2,53,41,233,13.705882352941176,0,3,10,17
28,29,Rhamondre Stevenson,NE,11,RB11,31,30,28,29.7,00-0036875,RB,2022,0.8529411764705882,24,210,1020,60,6,5,1,90,69,421,24.764705882352942,3,1,6,17
30,31,Joe Mixon,HOU,7,RB12,28,32,32,30.7,00-0033897,RB,2022,0.8673469387755102,26,210,814,58.142857142857146,4,7,0,75,60,441,31.5,4,2,9,14
31,32,Jahmyr Gibbs,DET,9,RB13,35,31,30,32,00-0039139,RB,2022,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,Aaron Jones Sr.,MIN,13,RB14,32,39,42,37.7,00-0033293,RB,2022,0.9183673469387755,27,213,1121,65.94117647058823,6,2,3,73,59,395,23.235294117647058,5,5,7,17
39,40,Dameon Pierce,HOU,7,RB15,43,47,33,41,00-0037258,RB,2022,0.7647058823529411,22,220,939,72.23076923076923,7,4,2,39,30,165,12.692307692307692,0,1,5,13
40,41,Kenneth Walker III,SEA,5,RB16,44,41,38,41,00-0038134,RB,2022,0.8823529411764706,21,228,1050,70,10,9,0,35,27,165,11,2,0,9,15
41,42,Breece Hall,NYJ,7,RB17,37,38,55,43.3,00-0038120,RB,2022,0.4117647058823529,21,80,463,66.14285714285714,3,4,1,31,19,218,31.142857142857142,2,1,5,7
46,47,Jonathan Taylor,IND,11,RB18,30,43,69,47.3,00-0036223,RB,2022,0.86,23,192,861,78.27272727272727,5,4,3,42,28,143,13,0,0,4,11
47,48,J.K. Dobbins,DEN,9,RB19,45,51,46,47.3,00-0036158,RB,2022,0.46,23,92,520,65,4,2,0,8,7,42,5.25,1,1,3,8
48,49,Miles Sanders,DAL,7,RB20,49,52,49,50,00-0035243,RB,2022,0.8636363636363636,25,260,1269,74.6470588235294,9,11,2,26,20,78,4.588235294117647,0,0,11,17
51,52,Alexander Mattison,MIA,10,RB21,57,54,47,52.7,00-0034972,RB,2022,0.8939393939393939,24,74,283,16.647058823529413,0,5,0,18,15,91,5.352941176470588,0,1,6,17
56,57,Cam Akers,N,,RB22,53,58,61,57.3,00-0036414,RB,2022,0.62,23,188,786,52.4,3,7,2,18,13,117,7.8,0,0,7,15
58,59,James Conner,ARI,14,RB23,54,62,66,60.7,00-0033553,RB,2022,0.8282828282828283,27,183,782,60.15384615384615,3,7,1,58,46,300,23.076923076923077,2,1,8,13
61,62,James Cook,BUF,13,RB24,65,77,48,63.3,00-0037248,RB,2022,1.0,22,89,507,31.6875,6,2,1,32,21,180,11.25,1,1,3,16
63,64,Javonte Williams,DAL,7,RB25,67,69,57,64.3,00-0036997,RB,2022,0.6176470588235294,22,47,204,51,0,0,1,23,16,76,19,0,0,0,4
67,68,Dalvin Cook,,,RB26,66,70,62,66,00-0033893,RB,2022,0.7959183673469388,27,264,1173,69,5,8,4,56,39,295,17.352941176470587,2,2,10,17
69,70,Rachaad White,TB,5,RB27,83,72,52,69,00-0037256,RB,2022,1.0,23,130,481,30.0625,2,1,3,58,50,280,17.5,1,2,3,16
70,71,Alvin Kamara,NO,11,RB28,80,66,68,71.3,00-0033906,RB,2022,0.9081632653061225,27,223,897,59.8,3,2,4,77,57,490,32.666666666666664,3,2,4,15
71,72,Isiah Pacheco,KC,10,RB29,68,74,74,72,00-0037197,RB,2022,1.0,23,170,830,48.8235294117647,3,5,2,14,13,130,7.647058823529412,1,0,5,17
72,73,D'Andre Swift,CHI,13,RB30,84,63,73,73.3,00-0036275,RB,2022,0.8,23,100,544,38.857142857142854,3,5,0,70,48,375,26.785714285714285,5,3,8,14
75,76,David Montgomery,DET,9,RB31,75,78,77,76.7,00-0035685,RB,2022,0.9090909090909091,25,201,801,50.0625,2,5,2,40,34,316,19.75,5,1,6,16
86,87,Khalil Herbert,IND,11,RB32,94,96,79,89.7,00-0036906,RB,2022,0.8823529411764706,24,129,731,56.23076923076923,4,4,0,12,9,57,4.384615384615385,2,1,5,13
