...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Le'Veon Bell,,,RB1,,,,1,,1,1.5,00-0030496,RB,2014,1.0,22,2013,0.83375,101.734634,0.008,48,9.9,290,1361,85.0625,8,8,0,105,83,854,53.375,10,3,11,16
1,2,Adrian Peterson,,,RB2,,,,2,,2,1.8,00-0025394,RB,2014,0.7906976744186046,29,2007,0.73,,0.098,7,22.2,21,75,75,0,0,0,3,2,18,18,0,0,0,1
3,4,Jamaal Charles,,,RB3,,,,5,,3,4,00-0026213,RB,2014,0.9770114942528736,27,2008,0.7193333333333334,82.77781,0.053,73,7.3,206,1033,68.86666666666666,6,9,3,59,40,291,19.4,3,5,14,15
4,5,Eddie Lacy,,,RB4,,,,3,,5,4,00-0030485,RB,2014,1.0,24,2013,0.65625,73.80517,0.006999999999999999,61,8.4,246,1139,71.1875,8,9,2,55,42,427,26.6875,4,4,13,16
5,6,Marshawn Lynch,,,RB5,,,,6,,8,7.3,00-0025399,RB,2014,1.0,28,2007,0.663125,88.60462,0.084,12,18.8,280,1306,81.625,7,13,2,48,37,367,22.9375,5,4,17,16
10,11,C.J. Anderson,,,RB6,,,,9,,15,11.5,00-0029854,RB,2014,1.0,23,2013,-1,150.43149,0.004,,0,179,849,60.642857142857146,7,8,0,44,34,324,23.142857142857142,4,2,10,14
12,13,Matt Forte,,,RB7,,,,12,,10,12.3,00-0026184,RB,2014,0.8415841584158416,28,2008,0.9225,76.93183,0.063,44,10.5,267,1040,65,1,6,2,131,102,808,50.5,7,4,10,16
14,15,DeMarco Murray,,,RB8,,,,14,,17,16,00-0028009,RB,2014,0.7846153846153846,26,2011,0.74,36.818623,0.055999999999999994,71,7.5,392,1845,115.3125,15,13,5,64,57,416,26,3,0,13,16
15,16,Jeremy Hill,,,RB9,,,,16,,20,16.8,00-0031301,RB,2014,1.0,21,2014,0.4675,63.961628,0.006999999999999999,55,9.1,222,1124,70.25,8,9,2,32,27,215,13.4375,1,0,9,16
19,20,LeSean McCoy,,,RB10,,,,17,,19,19.5,00-0027029,RB,2014,1.0,26,2009,0.6625000000000001,42.92917,0.055999999999999994,53,9.3,312,1319,82.4375,9,5,3,37,28,155,9.6875,0,0,5,16
