"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0032187","David Johnson",121,7.6,40,"RB","ARI",18.9
2,"00-0030496","Le'Veon Bell",95,7.9,37.4,"RB","PIT",15.9
3,"00-0031062","James White",87,5.4,34.2,"RB","NE",15.9
4,"00-0028009","DeMarco Murray",68,4.2,30.8,"RB","TEN",13.8
5,"00-0028064","Bilal Powell",74,4.9,34.1,"RB","NYJ",13.6
6,"00-0032257","Duke Johnson",74,4.9,35.1,"RB","CLE",13.2
7,"00-0027029","LeSean McCoy",57,4.1,28.8,"RB","BUF",12.4
8,"00-0031285","Devonta Freeman",66,4.4,33.4,"RB","ATL",12.4
9,"00-0023564","Darren Sproles",71,4.7,37.9,"RB","PHI",11.7
10,"00-0030107","Theo Riddick",67,6.7,36.4,"RB","DET",11.5
11,"00-0032209","T.J. Yeldon",68,4.9,39,"RB","JAX",10.9
12,"00-0032241","Todd Gurley",58,3.6,33.1,"RB","LA",10.9
13,"00-0030404","Chris Thompson",62,3.9,37.2,"RB","WAS",10.4
14,"00-0032144","Melvin Gordon",57,4.8,35.4,"RB","LAC",10.1
15,"00-0030456","Giovani Bernard",51,5.1,33.9,"RB","CIN",9.4
16,"00-0030656","Isaiah Crowell",53,3.3,35.1,"RB","CLE",9.4
17,"00-0032200","Ty Montgomery",56,5.1,38.5,"RB","GB",9.1
18,"00-0032780","Jordan Howard",50,3.8,34.4,"RB","CHI",9.1
19,"00-0031376","Jerick McKinnon",53,3.8,36.6,"RB","MIN",9
20,"00-0027966","Mark Ingram",58,3.9,41.6,"RB","NO",8.7
21,"00-0033045","Ezekiel Elliott",40,2.7,30.1,"RB","DAL",8.3
22,"00-0023500","Frank Gore",47,2.9,35.9,"RB","IND",8.2
23,"00-0029205","Travaris Cadet",54,4.2,41.6,"RB","NO",8.1
24,"00-0032972","Devontae Booker",45,3,34.8,"RB","DEN",8.1
25,"00-0028202","Shaun Draughn",39,3.2,30.4,"RB","SF",8
26,"00-0026184","Matt Forte",43,3.3,34.1,"RB","NYJ",7.9
27,"00-0030414","Spencer Ware",42,3,33.6,"RB","KC",7.8
28,"00-0029892","Kyle Juszczyk",50,3.3,41.9,"RB","BAL",7.5
29,"00-0031590","Jay Ajayi",35,2.7,29.3,"RB","MIA",7.5
30,"00-0032058","Tevin Coleman",40,3.1,33.4,"RB","ATL",7.5
31,"00-0030513","Latavius Murray",43,3.1,37.2,"RB","LV",7.2
32,"00-0027155","Rashad Jennings",42,3.5,37.3,"RB","NYG",7
33,"00-0029615","Lamar Miller",39,3,36.1,"RB","HOU",6.8
34,"00-0030874","Damien Williams",32,2.3,29.3,"RB","MIA",6.8
35,"00-0031045","Carlos Hyde",33,2.8,30.4,"RB","SF",6.8
36,"00-0031375","Terrance West",45,3.2,41.9,"RB","BAL",6.7
37,"00-0028198","Matt Asiata",38,2.5,36.6,"RB","MIN",6.5
38,"00-0033025","Jalen Richard",39,2.8,37.2,"RB","LV",6.5
39,"00-0030668","Charcandrick West",34,3.1,33.6,"RB","KC",6.3
40,"00-0029273","Robert Turbin",35,2.9,35.9,"RB","IND",6.1
41,"00-0032411","Kenneth Dixon",41,3.4,41.9,"RB","BAL",6.1
42,"00-0029731","Fozzy Whittaker",33,2.5,34.9,"RB","CAR",5.9
43,"00-0031390","Charles Sims",32,4.6,36.1,"RB","TB",5.5
44,"00-0029004","Lance Dunbar",24,2.7,30.1,"RB","DAL",5
45,"00-0031301","Jeremy Hill",27,2.5,33.9,"RB","CIN",5
46,"00-0031569","Jeremy Langford",27,2.5,34.4,"RB","CHI",4.9
47,"00-0030432","Christine Michael",26,3.2,34.4,"RB","SEA",4.7
48,"00-0024242","DeAngelo Williams",27,4.5,37.4,"RB","PIT",4.5
49,"00-0027531","Chris Ivory",28,2.5,39,"RB","JAX",4.5
50,"00-0028087","Dion Lewis",24,3.4,34.2,"RB","NE",4.4
51,"00-0029854","C.J. Anderson",24,4,34.8,"RB","DEN",4.3
52,"00-0032377","Josh Ferguson",25,4.2,35.9,"RB","IND",4.3
53,"00-0029384","Bobby Rainey",25,3.1,37.3,"RB","NYG",4.2
54,"00-0026289","Tim Hightower",27,2.2,41.6,"RB","NO",4.1
55,"00-0027791","James Starks",25,3.6,38.5,"RB","GB",4.1
56,"00-0029795","Benny Cunningham",21,2.3,33.1,"RB","LA",4
57,"00-0031665","Zach Zenner",23,2.6,36.4,"RB","DET",4
58,"00-0032417","Paul Perkins",24,2,37.3,"RB","NYG",4
59,"00-0032940","DeAndre Washington",23,1.9,37.2,"RB","LV",3.9
60,"00-0026153","Jonathan Stewart",21,1.8,34.9,"RB","CAR",3.8
61,"00-0030288","Rex Burkhead",20,2.5,33.9,"RB","CIN",3.7
62,"00-0022999","John Kuhn",20,1.7,41.6,"RB","NO",3
