"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0032764","Derrick Henry",380,23.8,32.8,"RB","TEN",72.4
2,"00-0035831","James Robinson",241,17.2,21.1,"RB","JAX",71.3
3,"00-0033893","Dalvin Cook",315,22.5,29.5,"RB","MIN",66.7
4,"00-0035685","David Montgomery",248,16.5,24.6,"RB","CHI",62.9
5,"00-0035700","Josh Jacobs",273,18.2,28.6,"RB","LV",59.7
6,"00-0033045","Ezekiel Elliott",245,16.3,27.1,"RB","DAL",56.5
7,"00-0034816","Ronald Jones",192,13.7,23.1,"RB","TB",52
8,"00-0036223","Jonathan Taylor",232,15.5,28.9,"RB","IND",50.2
9,"00-0033118","Kenyan Drake",239,15.9,30,"RB","ARI",49.8
10,"00-0032144","Melvin Gordon",215,14.3,27.6,"RB","DEN",48.6
11,"00-0032241","Todd Gurley",195,13,25.6,"RB","ATL",47.7
12,"00-0023500","Frank Gore",187,12.5,25.4,"RB","NYJ",46.1
13,"00-0033293","Aaron Jones",202,14.4,27.9,"RB","GB",45.3
14,"00-0033553","James Conner",169,13,23.3,"RB","PIT",45.3
15,"00-0036360","Clyde Edwards-Helaire",181,13.9,25.2,"RB","KC",44.9
16,"00-0032187","David Johnson",147,12.2,21.5,"RB","HOU",42.7
17,"00-0025394","Adrian Peterson",156,9.8,22.9,"RB","DET",42.5
18,"00-0036328","Antonio Gibson",170,12.1,25.1,"RB","WAS",42.3
19,"00-0035243","Miles Sanders",168,14,25.8,"RB","PHI",40.8
20,"00-0032063","Mike Davis",165,11.8,25.4,"RB","CAR",40.5
21,"00-0033923","Kareem Hunt",198,12.4,31,"RB","CLE",39.9
22,"00-0034791","Nick Chubb",190,15.8,31,"RB","CLE",38.3
23,"00-0035250","Devin Singletary",156,9.8,25.7,"RB","BUF",38
24,"00-0033906","Alvin Kamara",187,12.5,30.9,"RB","NO",37.9
25,"00-0033950","Wayne Gallman",147,11.3,24.9,"RB","NYG",36.8
26,"00-0033594","Chris Carson",141,11.8,25.7,"RB","SEA",34.3
27,"00-0035311","Myles Gaskin",142,14.2,26.8,"RB","MIA",33.1
28,"00-0036275","D'Andre Swift",114,9.5,22.9,"RB","DET",31.1
29,"00-0036414","Cam Akers",145,13.2,29.6,"RB","LA",30.7
30,"00-0030456","Giovani Bernard",124,8.9,25.7,"RB","CIN",30.2
31,"00-0035217","Benny Snell",111,7.4,23.3,"RB","PIT",29.8
32,"00-0030513","Latavius Murray",146,9.7,30.9,"RB","NO",29.6
33,"00-0035664","Darrell Henderson",138,9.2,29.6,"RB","LA",29.2
34,"00-0033897","Joe Mixon",119,19.8,25.7,"RB","CIN",29
35,"00-0034115","Jeffery Wilson",126,11.5,27.3,"RB","SF",28.8
36,"00-0036251","Zack Moss",112,8.6,25.7,"RB","BUF",27.3
37,"00-0035657","Damien Harris",137,13.7,31.5,"RB","NE",27.2
38,"00-0033948","Jamaal Williams",121,8.6,27.9,"RB","GB",27.1
39,"00-0034109","Phillip Lindsay",118,10.7,27.6,"RB","DEN",26.7
40,"00-0033856","Leonard Fournette",97,8.1,23.1,"RB","TB",26.3
41,"00-0034184","Gus Edwards",144,9,34.8,"RB","BAL",25.9
42,"00-0033699","Austin Ekeler",116,11.6,29.2,"RB","LAC",24.8
43,"00-0033567","Brian Hill",100,6.2,25.6,"RB","ATL",24.4
44,"00-0036158","J.K. Dobbins",135,9,34.8,"RB","BAL",24.3
45,"00-0031687","Raheem Mostert",104,13,27.3,"RB","SF",23.8
46,"00-0036370","Joshua Kelley",111,9.2,29.2,"RB","LAC",23.7
47,"00-0032741","Peyton Barber",95,6.8,25.1,"RB","WAS",23.6
48,"00-0035261","Tony Pollard",101,6.7,27.1,"RB","DAL",23.3
49,"00-0032257","Duke Johnson",77,7,21.5,"RB","HOU",22.4
50,"00-0031806","Malcolm Brown",101,6.7,29.6,"RB","LA",21.4
51,"00-0032602","J.D. McKissic",85,5.3,25.1,"RB","WAS",21.1
52,"00-0032972","Devontae Booker",93,6.2,28.6,"RB","LV",20.4
53,"00-0034972","Alexander Mattison",96,7.4,29.5,"RB","MIN",20.3
54,"00-0034681","Chase Edmonds",97,6.5,30,"RB","ARI",20.2
55,"00-0031045","Carlos Hyde",81,8.1,25.7,"RB","SEA",19.7
56,"00-0034367","Nyheim Hines",90,6.4,28.9,"RB","IND",19.5
57,"00-0034414","Boston Scott",80,5.3,25.8,"RB","PHI",19.4
58,"00-0034799","Kalen Ballage",88,11,29.2,"RB","LAC",18.8
59,"00-0034400","Jordan Wilkins",86,7.2,28.9,"RB","IND",18.6
60,"00-0031376","Jerick McKinnon",81,6.8,27.3,"RB","SF",18.5
61,"00-0036020","Salvon Ahmed",75,12.5,26.8,"RB","MIA",17.5
62,"00-0036269","La'Mical Perine",64,7.1,25.4,"RB","NYJ",15.8
63,"00-0034845","Sony Michel",79,9.9,31.5,"RB","NE",15.7
64,"00-0030496","Le'Veon Bell",63,7,25.2,"RB","KC",15.6
65,"00-0034378","Ito Smith",63,5.2,25.6,"RB","ATL",15.4
66,"00-0033526","Samaje Perine",63,6.3,25.7,"RB","CIN",15.3
67,"00-0033280","Christian McCaffrey",59,19.7,25.4,"RB","CAR",14.5
68,"00-0034349","Kerryon Johnson",52,4.7,22.9,"RB","DET",14.2
69,"00-0029141","Alfred Morris",55,6.1,24.9,"RB","NYG",13.8
70,"00-0033308","Matt Breida",59,5.9,26.8,"RB","MIA",13.8
71,"00-0031285","Devonta Freeman",54,10.8,24.9,"RB","NYG",13.5
72,"00-0030288","Rex Burkhead",67,6.7,31.5,"RB","NE",13.3
73,"00-0035537","Ty Johnson",54,6.8,25.4,"RB","NYJ",13.3
74,"00-0027966","Mark Ingram",72,7.2,34.8,"RB","BAL",12.9
75,"00-0034440","Justin Jackson",59,7.4,29.2,"RB","LAC",12.6
76,"00-0036265","A.J. Dillon",46,5.1,27.9,"RB","GB",10.3
77,"00-0035957","Rodney Smith",41,5.9,25.4,"RB","CAR",10.1
78,"00-0034301","Darrel Williams",39,4.3,25.2,"RB","KC",9.7
79,"00-0033854","Dare Ogunbowale",32,8,21.1,"RB","JAX",9.5
80,"00-0033955","Jeremy McNichols",47,4.7,32.8,"RB","TEN",9
81,"00-0035806","Jamycal Hasty",39,6.5,27.3,"RB","SF",8.9
82,"00-0036336","Anthony McFarland",33,3,23.3,"RB","PIT",8.8
83,"00-0036425","DeeJay Dallas",34,5.7,25.7,"RB","SEA",8.3
84,"00-0034838","Royce Freeman",35,3.2,27.6,"RB","DEN",7.9
85,"00-0031062","James White",35,3.5,31.5,"RB","NE",6.9
86,"00-0035628","D'Ernest Johnson",33,4.7,31,"RB","CLE",6.7
