"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0032241","Todd Gurley",278,17.4,23.5,"RB","LA",73.9
2,"00-0032187","David Johnson",293,18.3,24.9,"RB","ARI",73.4
3,"00-0032780","Jordan Howard",252,16.8,23.8,"RB","CHI",66.3
4,"00-0033045","Ezekiel Elliott",322,21.5,31.2,"RB","DAL",64.5
5,"00-0023500","Frank Gore",263,16.4,25.6,"RB","IND",64.3
6,"00-0031590","Jay Ajayi",260,17.3,25.3,"RB","MIA",64.2
7,"00-0030496","Le'Veon Bell",261,21.8,25.6,"RB","PIT",63.8
8,"00-0032144","Melvin Gordon",254,19.5,24.9,"RB","LAC",63.8
9,"00-0027325","LeGarrette Blount",299,18.7,30.1,"RB","NE",62
10,"00-0028009","DeMarco Murray",293,18.3,29.8,"RB","TEN",61.6
11,"00-0029615","Lamar Miller",268,19.1,28.5,"RB","HOU",58.8
12,"00-0030656","Isaiah Crowell",198,12.4,21.9,"RB","CLE",56.6
13,"00-0031285","Devonta Freeman",227,14.2,26.4,"RB","ATL",53.7
14,"00-0031375","Terrance West",193,12.1,22.9,"RB","BAL",52.6
15,"00-0026184","Matt Forte",218,15.6,26.2,"RB","NYJ",52
16,"00-0030414","Spencer Ware",214,15.3,25.8,"RB","KC",51.9
17,"00-0027966","Mark Ingram",208,13,25.4,"RB","NO",51.1
18,"00-0031301","Jeremy Hill",222,14.8,27.9,"RB","CIN",49.8
19,"00-0026153","Jonathan Stewart",218,16.8,28.4,"RB","CAR",48
20,"00-0027029","LeSean McCoy",235,15.7,30.9,"RB","BUF",47.6
21,"00-0031045","Carlos Hyde",218,16.8,28.8,"RB","SF",47.4
22,"00-0027155","Rashad Jennings",181,13.9,24.9,"RB","NYG",45.4
23,"00-0030513","Latavius Murray",195,13.9,27.1,"RB","LV",44.9
24,"00-0032371","Rob Kelley",168,12,23.8,"RB","WAS",44.1
25,"00-0032972","Devontae Booker",174,10.9,25.7,"RB","DEN",42.3
26,"00-0031376","Jerick McKinnon",161,10.7,23.9,"RB","MIN",42.1
27,"00-0027864","Ryan Mathews",157,12.1,27.6,"RB","PHI",35.6
28,"00-0032209","T.J. Yeldon",130,8.7,24.6,"RB","JAX",33.1
29,"00-0026289","Tim Hightower",133,8.9,25.4,"RB","NO",32.7
30,"00-0028198","Matt Asiata",121,8.1,23.9,"RB","MIN",31.7
31,"00-0029613","Doug Martin",144,18,28.4,"RB","TB",31.7
32,"00-0028064","Bilal Powell",131,8.2,26.2,"RB","NYJ",31.3
33,"00-0027531","Chris Ivory",117,10.6,24.6,"RB","JAX",29.8
34,"00-0030432","Christine Michael",117,13,25.2,"RB","SEA",29
35,"00-0028083","Jacquizz Rodgers",129,12.9,28.4,"RB","TB",28.4
36,"00-0032417","Paul Perkins",112,8.6,24.9,"RB","NYG",28.1
37,"00-0032058","Tevin Coleman",118,9.1,26.4,"RB","ATL",27.9
38,"00-0031897","Thomas Rawls",109,12.1,25.2,"RB","SEA",27
39,"00-0029854","C.J. Anderson",110,15.7,25.7,"RB","DEN",26.8
40,"00-0030107","Theo Riddick",92,9.2,21.9,"RB","DET",26.3
41,"00-0031939","Matt Jones",99,14.1,23.8,"RB","WAS",26
