"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
42,"00-0032450","Dwayne Washington",90,8.2,21.9,"RB","DET",25.7
43,"00-0031665","Zach Zenner",88,8,21.9,"RB","DET",25.1
44,"00-0024242","DeAngelo Williams",98,12.2,25.6,"RB","PIT",24
45,"00-0032411","Kenneth Dixon",88,7.3,22.9,"RB","BAL",24
46,"00-0032764","Derrick Henry",110,7.9,29.8,"RB","TEN",23.1
47,"00-0031075","Alfred Blue",100,7.1,28.5,"RB","HOU",21.9
48,"00-0030668","Charcandrick West",88,6.3,25.8,"RB","KC",21.4
49,"00-0023564","Darren Sproles",94,6.3,27.6,"RB","PHI",21.3
50,"00-0032257","Duke Johnson",73,4.6,21.9,"RB","CLE",20.9
51,"00-0032200","Ty Montgomery",77,5.9,23.5,"RB","GB",20.5
52,"00-0030433","Mike Gillislee",101,7.8,30.9,"RB","BUF",20.4
53,"00-0030456","Giovani Bernard",91,9.1,27.9,"RB","CIN",20.4
54,"00-0032940","DeAndre Washington",87,6.7,27.1,"RB","LV",20
55,"00-0033025","Jalen Richard",83,5.2,27.1,"RB","LV",19.1
56,"00-0030485","Eddie Lacy",71,14.2,23.5,"RB","GB",18.9
57,"00-0030404","Chris Thompson",69,4.3,23.8,"RB","WAS",18.1
58,"00-0032782","Wendell Smallwood",77,6.4,27.6,"RB","PHI",17.5
59,"00-0027791","James Starks",64,7.1,23.5,"RB","GB",17
60,"00-0030288","Rex Burkhead",74,9.2,27.9,"RB","CIN",16.6
61,"00-0031569","Jeremy Langford",62,5.6,23.8,"RB","CHI",16.3
62,"00-0028202","Shaun Draughn",74,6.2,28.8,"RB","SF",16.1
63,"00-0032902","Kenneth Farrow",60,6,24.9,"RB","LAC",15.1
64,"00-0029141","Alfred Morris",69,5.3,31.2,"RB","DAL",13.8
65,"00-0028087","Dion Lewis",64,9.1,30.1,"RB","NE",13.3
66,"00-0029731","Fozzy Whittaker",57,3.6,28.4,"RB","CAR",12.6
67,"00-0032741","Peyton Barber",55,6.1,28.4,"RB","TB",12.1
68,"00-0029273","Robert Turbin",47,3.1,25.6,"RB","IND",11.5
69,"00-0031390","Charles Sims",51,7.3,28.4,"RB","TB",11.2
70,"00-0026373","Justin Forsett",43,10.8,25.7,"RB","DEN",10.5
71,"00-0030547","Denard Robinson",41,6.8,24.6,"RB","JAX",10.4
72,"00-0025394","Adrian Peterson",37,12.3,23.9,"RB","MIN",9.7
73,"00-0031612","Aaron Ripkowski",34,3.4,23.5,"RB","GB",9
74,"00-0030874","Damien Williams",35,2.7,25.3,"RB","MIA",8.6
75,"00-0030287","Andre Ellington",34,3.8,24.9,"RB","ARI",8.5
76,"00-0026373","Justin Forsett",31,10.3,22.9,"RB","BAL",8.4
77,"00-0031057","Ka'Deem Carey",32,2.9,23.8,"RB","CHI",8.4
78,"00-0027994","Shane Vereen",33,8.2,24.9,"RB","NYG",8.3
79,"00-0028409","DuJuan Harris",38,5.4,28.8,"RB","SF",8.3
80,"00-0030432","Christine Michael",31,5.2,23.5,"RB","GB",8.2
81,"00-0031062","James White",39,3,30.1,"RB","NE",8.1
82,"00-0031731","Corey Grant",32,8,24.6,"RB","JAX",8.1
83,"00-0033118","Kenyan Drake",33,2.8,25.3,"RB","MIA",8.1
84,"00-0031599","Cameron Artis-Payne",36,12,28.4,"RB","CAR",7.9
85,"00-0026069","Mike Tolbert",35,2.5,28.4,"RB","CAR",7.7
86,"00-0032426","Alex Collins",31,3.4,25.2,"RB","SEA",7.7
87,"00-0030860","Orleans Darkwa",30,7.5,24.9,"RB","NYG",7.5
88,"00-0032393","C.J. Prosise",30,5,25.2,"RB","SEA",7.4
89,"00-0031682","Terron Ward",31,6.2,26.4,"RB","ATL",7.3
