"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0036893","Najee Harris",307,18.1,24.2,"RB","PIT",74.7
2,"00-0033897","Joe Mixon",294,18.4,25.8,"RB","CIN",67.1
3,"00-0036223","Jonathan Taylor",332,19.5,29.4,"RB","IND",66.4
4,"00-0033893","Dalvin Cook",251,19.3,26.6,"RB","MIN",55.4
5,"00-0036328","Antonio Gibson",259,16.2,28.3,"RB","WAS",53.8
6,"00-0035700","Josh Jacobs",217,14.5,24.4,"RB","LV",52.4
7,"00-0033045","Ezekiel Elliott",240,14.1,28.1,"RB","DAL",50.2
8,"00-0034845","Sony Michel",208,12.2,24.7,"RB","LA",49.5
9,"00-0033699","Austin Ekeler",208,13,25.1,"RB","LAC",48.8
10,"00-0035685","David Montgomery",225,17.3,27.9,"RB","CHI",47.4
11,"00-0033906","Alvin Kamara",241,18.5,30.1,"RB","NO",47.2
12,"00-0034791","Nick Chubb",228,16.3,28.6,"RB","CLE",46.9
13,"00-0033856","Leonard Fournette",180,12.9,22.8,"RB","TB",46.5
14,"00-0032144","Melvin Gordon",203,12.7,26.8,"RB","DEN",44.6
15,"00-0036997","Javonte Williams",203,11.9,26.8,"RB","DEN",44.6
16,"00-0036265","A.J. Dillon",187,11,26.3,"RB","GB",41.8
17,"00-0035831","James Robinson",164,11.7,23.1,"RB","JAX",41.7
18,"00-0036567","Elijah Mitchell",207,18.8,29.4,"RB","SF",41.4
19,"00-0035657","Damien Harris",202,13.5,28.9,"RB","NE",41.1
20,"00-0033553","James Conner",202,13.5,29.2,"RB","ARI",40.7
21,"00-0035250","Devin Singletary",188,11.1,27.2,"RB","BUF",40.6
22,"00-0032764","Derrick Henry",220,27.5,32.5,"RB","TEN",39.9
23,"00-0035311","Myles Gaskin",173,10.2,26,"RB","MIA",39.1
24,"00-0030578","Cordarrelle Patterson",153,9.6,23.2,"RB","ATL",38.8
25,"00-0036924","Michael Carter",148,10.6,22.6,"RB","NYJ",38.5
26,"00-0034844","Saquon Barkley",162,12.5,24.8,"RB","NYG",38.4
27,"00-0033293","Aaron Jones",171,11.4,26.3,"RB","GB",38.3
28,"00-0036555","Chuba Hubbard",172,11.5,26.8,"RB","CAR",37.7
29,"00-0033948","Jamaal Williams",153,11.8,25.1,"RB","DET",35.8
30,"00-0035664","Darrell Henderson",149,12.4,24.7,"RB","LA",35.5
31,"00-0036275","D'Andre Swift",151,11.6,25.1,"RB","DET",35.4
