...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Christian McCaffrey,SF,11,RB1,1,,,1,00-0033280,RB,2019,1.0,23,288,1389,86.8125,6,15,0,142,116,1005,62.8125,7,4,19,16
1,2,Saquon Barkley,PHI,9,RB2,2,,,2,00-0034844,RB,2019,0.90625,22,217,1003,77.15384615384616,8,6,0,73,52,438,33.69230769230769,6,2,8,13
2,3,Ezekiel Elliott,,,RB3,3,,,3,00-0033045,RB,2019,0.90625,24,301,1357,84.8125,4,12,2,71,54,420,26.25,3,2,14,16
3,4,Dalvin Cook,,,RB4,7,,,5.3,00-0033893,RB,2019,0.7083333333333334,24,250,1135,81.07142857142857,7,13,2,64,53,519,37.07142857142857,7,0,13,14
4,5,Alvin Kamara,NO,6,RB5,4,,,5.3,00-0033906,RB,2019,0.9583333333333334,24,171,797,56.92857142857143,5,5,1,97,81,533,38.07142857142857,2,1,6,14
5,6,Derrick Henry,BAL,7,RB6,5,,,5.7,00-0032764,RB,2019,0.984375,25,303,1540,102.66666666666667,9,16,3,24,18,206,13.733333333333333,2,2,18,15
8,9,Joe Mixon,HOU,8,RB7,11,,,9.7,00-0033897,RB,2019,1.0,23,278,1137,71.0625,6,5,0,45,35,287,17.9375,4,3,8,16
10,11,Nick Chubb,HOU,8,RB8,13,,,12.7,00-0034791,RB,2019,1.0,23,298,1494,93.375,11,8,3,49,36,278,17.375,4,0,8,16
11,12,Clyde Edwards-Helaire,NO,6,RB9,8,,,13.3,00-0036360,RB,2019,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,Josh Jacobs,GB,5,RB10,18,,,14.3,00-0035700,RB,2019,0.8125,21,242,1150,88.46153846153847,8,7,1,27,20,166,12.76923076923077,2,0,7,13
14,15,Kenyan Drake,,,RB11,17,,,15.7,00-0033118,RB,2019,0.9841269841269841,25,170,817,58.357142857142854,4,8,1,70,50,345,24.642857142857142,2,0,8,14
18,19,Austin Ekeler,WAS,8,RB12,22,,,19,00-0033699,RB,2019,1.0,24,132,557,34.8125,4,3,2,108,92,993,62.0625,9,8,11,16
19,20,Aaron Jones Sr.,MIN,7,RB13,21,,,19,00-0033293,RB,2019,0.9166666666666666,24,236,1084,67.75,5,16,2,68,49,474,29.625,6,3,19,16
20,21,Miles Sanders,DAL,10,RB14,23,,,19.3,00-0035243,RB,2019,1.0,22,180,820,51.25,5,3,1,63,50,509,31.8125,8,3,6,16
26,27,Chris Carson,,,RB15,31,,,30,00-0033594,RB,2019,0.7291666666666666,24,278,1230,82,8,7,4,47,37,266,17.733333333333334,2,2,9,15
29,30,Todd Gurley,II,,RB16,32,,,31,00-0032241,RB,2019,0.9876543209876543,25,224,859,57.266666666666666,5,12,2,49,31,207,13.8,3,2,14,15
31,32,James Conner,ARI,8,RB17,25,,,33,00-0033553,RB,2019,0.8333333333333334,24,116,464,46.4,2,4,1,38,34,251,25.1,4,3,7,10
35,36,Jonathan Taylor,IND,7,RB18,36,,,37,00-0036223,RB,2019,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,Melvin Gordon,III,,RB19,33,,,37.3,00-0032144,RB,2019,0.8026315789473685,26,162,612,51,2,8,3,55,42,296,24.666666666666668,2,1,9,12
40,41,Le'Veon Bell,,,RB20,45,,,41.7,00-0030496,RB,2019,0.9176470588235294,27,245,789,52.6,0,3,1,79,66,461,30.733333333333334,2,1,4,15
41,42,David Johnson,,,RB21,52,,,42,00-0032187,RB,2019,0.7901234567901234,27,94,345,28.75,0,2,1,47,36,370,30.833333333333332,7,4,6,12
44,45,Mark Ingram,II,,RB22,40,,,46,00-0027966,RB,2019,0.7586206896551724,29,408,2044,136.26666666666668,12,20,2,58,52,494,32.93333333333333,6,5,30,15
51,52,Raheem Mostert,LV,6,RB23,47,,,51.7,00-0031687,RB,2019,0.8208955223880597,27,137,772,51.46666666666667,3,8,2,22,14,180,12,3,2,10,15
55,56,Devin Singletary,NYG,11,RB24,63,,,57,00-0035250,RB,2019,0.8125,21,151,775,64.58333333333333,7,2,1,41,29,194,16.166666666666668,3,2,4,12
59,60,Cam Akers,NO,6,RB25,60,,,59.7,00-0036414,RB,2019,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,Leonard Fournette,,,RB26,58,,,60.7,00-0033856,RB,2019,0.9583333333333334,24,266,1152,76.8,7,3,1,100,76,521,34.733333333333334,3,0,3,15
64,65,D'Andre Swift,CHI,11,RB27,66,,,65,00-0036275,RB,2019,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,66,Kareem Hunt,KC,10,RB28,69,,,65.7,00-0033923,RB,2019,0.813953488372093,24,43,179,22.375,0,2,0,44,37,285,35.625,2,1,3,8
66,67,David Montgomery,DET,5,RB29,74,,,65.7,00-0035685,RB,2019,1.0,22,242,889,55.5625,3,6,2,35,25,185,11.5625,2,1,7,16
75,76,Ronald Jones,II,,RB30,82,,,80,00-0034816,RB,2019,1.0,22,172,724,45.25,6,6,2,40,31,309,19.3125,3,0,6,16
82,83,J.K. Dobbins,DEN,5,RB31,86,,,85,00-0036158,RB,2019,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,84,Jordan Howard,,,RB32,87,,,86,00-0032780,RB,2019,0.90625,24,119,525,58.333333333333336,1,6,0,14,10,69,7.666666666666667,1,1,7,9
87,88,Phillip Lindsay,,,RB33,105,,,93.3,00-0034109,RB,2019,0.96875,25,225,1011,63.1875,7,7,0,48,35,196,12.25,1,0,7,16
90,91,James White,,,RB34,107,,,94.7,00-0031062,RB,2019,1.0,27,69,265,17.666666666666668,1,1,0,95,72,645,43,9,5,6,15
92,93,Marlon Mack,,,RB35,113,,,95.7,00-0033951,RB,2019,0.9583333333333334,23,248,1093,78.07142857142857,9,8,0,17,14,82,5.857142857142857,0,0,8,14
93,94,Matt Breida,,,RB36,100,,,95.7,00-0033308,RB,2019,0.9166666666666666,24,123,623,51.916666666666664,4,1,1,22,19,120,10,0,1,2,12
95,96,Sony Michel,,,RB37,111,,,100.3,00-0034845,RB,2019,1.0,24,247,912,57,3,7,1,20,12,94,5.875,0,0,7,16
