...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
3,4,Todd Gurley,II,,RB1,,,,,,4,4.8,00-0032241,RB,2015,1,21,2015,0.5846153846153846,81.94231,0.024,10,19.9,230,1106,85.07692307692308,11,10,1,26,21,188,14.461538461538462,2,0,10,13
6,7,David Johnson,,,RB2,,,,,,6,6,00-0032187,RB,2015,1,23,2015,0.369375,107.14517,0.005,86,6.2,125,581,36.3125,3,8,1,57,36,457,28.5625,6,4,12,16
7,8,Ezekiel Elliott,,,RB3,,,,,,13,9.8,00-0033045,RB,2015,--,20,2016,-1,--,0.04,4,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,Adrian Peterson,,,RB4,,,,,,8,10.8,00-0025394,RB,2015,0.8252427184466019,30,2007,0.64625,65.28863,0.098,7,22.2,327,1485,92.8125,10,11,3,36,30,222,13.875,1,0,11,16
11,12,Lamar Miller,,,RB5,,,,,,14,11.8,00-0029615,RB,2015,1,24,2012,0.613125,103.99928,0.042,97,5.5,194,872,54.5,7,8,1,57,47,397,24.8125,6,2,10,16
12,13,Le'Veon Bell,,,RB6,,,,,,7,12.5,00-0030496,RB,2015,0.85,23,2013,0.8283333333333333,75.27867,0.008,48,9.9,113,556,92.66666666666667,8,3,0,26,24,136,22.666666666666668,2,0,3,6
16,17,Devonta Freeman,,,RB7,,,,,,15,17.5,00-0031285,RB,2015,1,23,2014,0.7173333333333333,131.93782,0.005,103,5.1,265,1056,70.4,6,11,2,97,73,578,38.53333333333333,3,3,14,15
21,22,Jamaal Charles,,,RB8,,,,,,16,21.8,00-0026213,RB,2015,0.9239130434782609,28,2008,0.772,60.297005,0.053,73,7.3,71,364,72.8,2,4,2,30,21,177,35.4,2,1,5,5
24,25,Eddie Lacy,,,RB10,,,,,,23,25.8,00-0030485,RB,2015,1,25,2013,0.44600000000000006,57.37209,0.007,61,8.4,187,758,50.53333333333333,4,3,2,28,20,188,12.533333333333333,4,2,5,15
25,26,LeSean McCoy,,,RB11,,,,,,30,26.3,00-0027029,RB,2015,1,27,2009,0.7316666666666668,29.349922,0.055999999999999994,53,9.3,204,897,74.75,6,3,2,50,32,292,24.333333333333332,3,2,5,12
29,30,Doug Martin,,,RB12,,,,,,27,29.5,00-0029613,RB,2015,0.85,26,2012,0.56625,75.00296,0.046,31,12.7,288,1402,87.625,14,6,5,44,33,271,16.9375,2,1,7,16
33,34,C.J. Anderson,,,RB13,,,,,,39,35.3,00-0029854,RB,2015,1,24,2013,-1,57.36886,0.028999999999999998,,0,152,720,48,5,5,2,36,25,183,12.2,2,0,5,15
36,37,Matt Forte,,,RB14,,,,,,33,40.5,00-0026184,RB,2015,0.86440678,29,2008,0.6738461538461537,44.309742,0.026000000000000002,44,10.5,218,898,69.07692307692308,4,4,1,60,44,389,29.923076923076923,4,3,7,13
38,39,Latavius Murray,,,RB15,,,,,,47,41,00-0030513,RB,2015,1,25,2013,0.645,30.812002,0.004,181,1.5,266,1066,66.625,9,6,1,53,41,232,14.5,1,0,6,16
40,41,Thomas Rawls,,,RB16,,,,,,40,42.5,00-0031897,RB,2015,0,22,2015,-1,143.80606,0.004,,0,148,830,69.16666666666667,7,4,1,11,9,76,6.333333333333333,1,1,5,12
41,42,Carlos Hyde,,,RB17,,,,,,44,43.3,00-0031045,RB,2015,0.5666666666666667,24,2014,0.6742857142857143,102.3581,0.007,57,8.9,115,470,67.14285714285714,1,3,0,15,11,53,7.571428571428571,0,0,3,7
43,44,DeMarco Murray,,,RB18,,,,,,46,45,00-0028009,RB,2015,0.8292682926829268,27,2011,0.4386666666666667,70.31067,0.040999999999999995,71,7.5,193,702,46.8,5,6,2,55,44,322,21.466666666666665,3,1,7,15
48,49,Jeremy Langford,,,RB19,,,,,,51,49.5,00-0031569,RB,2015,1,23,2015,0.36875,97.10258,0.005,106,4.9,150,539,35.93333333333333,1,6,0,42,22,279,18.6,3,1,7,15
52,53,Danny Woodhead,,,RB20,,,,,,57,55.8,00-0026019,RB,2015,0.97,30,2008,-1,93.55662,0.021,,0,98,336,21,1,3,0,106,80,755,47.1875,7,6,9,16
56,57,Jeremy Hill,,,RB21,,,,,,65,59.8,00-0031301,RB,2015,1,22,2014,0.44125,47.555958,0.007,55,9.1,224,796,49.75,1,11,3,19,15,79,4.9375,0,1,12,16
60,61,Giovani Bernard,,,RB22,,,,,,72,62,00-0030456,RB,2015,1,23,2013,0.540625,22.363335,0.033,37,11.6,154,730,45.625,2,2,0,66,49,472,29.5,7,0,2,16
61,62,Melvin Gordon,III,,RB23,,,,,,73,64.5,00-0032144,RB,2015,0,22,2015,0.3964285714285714,14.765549,0.019,15,17.4,184,641,45.785714285714285,6,0,4,37,33,192,13.714285714285714,0,0,0,14
62,63,Duke Johnson Jr.,,,RB24,,,,,,66,64.8,00-0032257,RB,2015,1,21,2015,0.50625,31.00229,0.005,77,6.9,208,758,47.375,4,0,0,148,122,1068,66.75,16,4,4,16
63,64,Ryan Mathews,,,RB25,,,,,,61,64.8,00-0027864,RB,2015,0.85,27,2010,0.2569230769230769,49.70859,0.026000000000000002,12,18.8,106,539,41.46153846153846,6,6,3,28,20,146,11.23076923076923,2,1,7,13
66,67,Arian Foster,,,RB26,,,,,,63,66.5,00-0026796,RB,2015,0.8152173913043478,29,2009,-1,111.24333,0.01,,0,63,163,40.75,0,1,1,28,22,227,56.75,3,2,3,4
70,71,Jonathan Stewart,,,RB27,,,,,,68,70,00-0026153,RB,2015,1,28,2008,0.6623076923076923,28.050257,0.061,13,18.3,242,989,76.07692307692308,4,6,2,21,16,99,7.615384615384615,0,1,7,13
75,76,Matt Jones,,,RB28,,,,,,54,76.3,00-0031939,RB,2015,1,22,2015,0.4030769230769231,78.371025,0.005,95,5.6,144,490,37.69230769230769,3,3,4,25,19,304,23.384615384615383,4,1,4,13
77,78,Frank Gore,,,RB29,,,,,,76,78.5,00-0023500,RB,2015,0.8947368421052632,32,2005,0.625625,35.383835,0.027999999999999997,65,8,260,967,60.4375,5,6,3,58,34,267,16.6875,2,1,7,16
81,82,DeAngelo Williams,,,RB30,,,,,,93,84.5,00-0024242,RB,2015,0.9107142857142857,32,2006,0.620625,165.12117,0.013999999999999999,27,13.6,400,1814,113.375,12,22,1,96,80,734,45.875,8,0,22,16
83,84,Ameer Abdullah,SF,8,RB31,,,,,,80,84.8,00-0032104,RB,2015,1,22,2015,0.33375,24.909166,0.007,54,9.2,143,597,37.3125,4,2,2,38,25,183,11.4375,1,1,3,16
84,85,Rashad Jennings,,,RB32,,,,,,89,87.3,00-0027155,RB,2015,0.8415841584158416,30,2009,0.379375,36.67663,0.019,250,0,195,863,53.9375,6,3,2,40,29,296,18.5,3,1,4,16
88,89,Charles Sims,,,RB33,,,,,,88,91,00-0031390,RB,2015,1,24,2014,0.41937499999999994,24.477335,0.006,69,7.6,107,529,33.0625,4,0,2,70,51,561,35.0625,3,4,4,16
90,91,Derrick Henry,BAL,8,RB34,,,,,,105,92.5,00-0032764,RB,2015,--,21,2016,-1,--,0.009,45,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,93,T.J. Yeldon,,,RB35,,,,,,86,93.3,00-0032209,RB,2015,1,21,2015,0.7683333333333334,24.537197,0.01,36,11.8,182,740,61.666666666666664,4,2,0,46,36,279,23.25,3,1,3,12
93,94,Chris Ivory,,,RB36,,,,,,83,93.5,00-0027531,RB,2015,0.8210526315789474,27,2010,-1,52.888382,0.040999999999999995,,0,247,1070,71.33333333333333,9,7,2,37,30,217,14.466666666666667,3,1,8,15
98,99,Theo Riddick,,,RB37,,,,,,91,100,00-0030107,RB,2015,1,24,2013,0.428125,20.683832,0.025,199,0.9,43,133,8.3125,0,0,1,99,80,697,43.5625,7,3,3,16
