...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Saquon Barkley,PHI,10,RB1,1,,1,1,,1,1,00-0034844,RB,2018,1.0,21,2018,0.83,58.238503,0.044000000000000004,2,30.2,263,1309,81.8125,16,11,0,121,91,721,45.0625,5,4,15,16
1,2,Christian McCaffrey,SF,4,RB2,2,,3,2,,2,2.5,00-0033280,RB,2018,1.0,22,2017,0.919375,108.624626,0.026000000000000002,8,21.4,219,1098,68.625,6,7,1,125,107,867,54.1875,11,6,14,16
2,3,Alvin Kamara,NO,9,RB3,3,,2,3,,3,2.5,00-0033906,RB,2018,1.0,23,2017,0.66,116.16837,0.006,67,7.8,197,889,59.266666666666666,1,14,0,105,81,709,47.266666666666666,7,4,18,15
3,4,Ezekiel Elliott,,,RB4,4,,4,4,,4,4,00-0033045,RB,2018,0.875,23,2016,0.8933333333333333,75.706856,0.08,4,25.8,304,1434,95.6,11,6,1,95,77,567,37.8,4,3,9,15
5,6,David Johnson,,,RB5,6,,8,7,,5,6.7,00-0032187,RB,2018,0.7692307692307693,26,2015,0.7993750000000001,50.9265,0.073,86,6.2,259,942,58.875,2,7,2,76,50,446,27.875,6,3,10,16
6,7,Le'Veon Bell,,,RB6,7,,7,5,,8,7.5,00-0030496,RB,2018,0.9130434782608695,26,2013,-1,--,0.07,48,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,James Conner,ARI,12,RB7,14,,15,8,,9,10.3,00-0033553,RB,2018,0.9375,23,2017,0.7730769230769232,105.99924,0.005,105,5,215,973,74.84615384615384,9,12,2,73,55,497,38.23076923076923,5,1,13,13
12,13,Todd Gurley,II,,RB8,9,,10,16,,14,13.2,00-0032241,RB,2018,1.0,24,2015,0.8621428571428572,69.47566,0.081,10,19.9,260,1255,89.64285714285714,11,17,1,82,59,580,41.42857142857143,5,4,21,14
16,17,Nick Chubb,HOU,10,RB9,20,,20,9,,18,16,00-0034791,RB,2018,1.0,22,2018,0.3875,110.29063,0.01,35,12,192,996,62.25,11,8,0,29,20,149,9.3125,2,2,10,16
17,18,Dalvin Cook,,,RB10,19,,23,17,,19,18,00-0033893,RB,2018,0.625,23,2017,0.6981818181818181,59.883633,0.01,41,11,133,615,55.90909090909091,4,2,2,49,40,305,27.727272727272727,5,2,4,11
18,19,Joe Mixon,HOU,10,RB11,17,,16,19,,17,18,00-0033897,RB,2018,1.0,22,2017,0.6971428571428573,54.9567,0.008,48,9.9,237,1168,83.42857142857143,11,8,0,55,43,296,21.142857142857142,2,1,9,14
24,25,Leonard Fournette,,,RB12,27,,27,26,,28,25.8,00-0033856,RB,2018,0.96875,23,2017,0.5137499999999999,85.38857,0.040999999999999995,4,25.8,133,439,54.875,2,5,0,26,22,185,23.125,3,1,6,8
27,28,Kerryon Johnson,,,RB13,30,,35,25,,29,29.3,00-0034349,RB,2018,0.875,21,2018,0.516,31.811554,--,43,10.6,118,641,64.1,6,3,1,39,32,213,21.3,1,1,4,10
28,29,Devonta Freeman,,,RB14,24,,33,24,,32,29.8,00-0031285,RB,2018,0.8780487804878049,26,2014,0.475,1.8050002,0.049,103,5.1,14,68,34,2,0,0,7,5,23,11.5,0,0,0,2
31,32,Aaron Jones Sr.,MIN,12,RB15,36,,36,31,,31,32.3,00-0033293,RB,2018,0.875,23,2017,0.5016666666666666,88.6597,0.004,182,1.5,133,728,60.666666666666664,4,8,1,35,26,206,17.166666666666668,2,1,9,12
32,33,Josh Jacobs,GB,11,RB16,32,,41,30,,35,34.2,00-0035700,RB,2018,--,20,2019,-1,--,0.016,24,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
