player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0026153,Jonathan Stewart,56,154.0,9.0
00-0025394,Adrian Peterson,54,117.0,7.0
00-0031285,Devonta Freeman,49,116.0,10.0
00-0024242,DeAngelo Williams,47,139.0,11.0
00-0031301,Jeremy Hill,44,91.0,11.0
00-0029613,Doug Martin,41,86.0,6.0
00-0027531,Chris Ivory,39,92.0,6.0
00-0023500,Frank Gore,36,58.0,5.0
00-0029683,Ronnie Hillman,36,80.0,5.0
00-0030513,Latavius Murray,34,67.0,5.0
00-0027966,Mark Ingram,33,92.0,6.0
00-0026164,Chris Johnson,33,51.0,2.0
00-0030456,Giovani Bernard,32,150.0,2.0
00-0027325,LeGarrette Blount,32,67.0,5.0
00-0032241,Todd Gurley,31,107.0,9.0
00-0030656,Isaiah Crowell,31,83.0,4.0
00-0029854,C.J. Anderson,30,56.0,4.0
00-0026184,Matt Forte,30,101.0,4.0
00-0028009,DeMarco Murray,28,62.0,5.0
00-0031939,Matt Jones,27,53.0,2.0
00-0030668,Charcandrick West,27,66.0,4.0
00-0029141,Alfred Morris,27,50.0,1.0
00-0026144,Darren McFadden,26,81.0,3.0
00-0032187,David Johnson,25,62.0,8.0
00-0032209,T.J. Yeldon,24,65.0,1.0
00-0027029,LeSean McCoy,23,56.0,1.0
00-0031075,Alfred Blue,22,74.0,2.0
00-0025399,Marshawn Lynch,22,34.0,3.0
00-0030485,Eddie Lacy,22,35.0,4.0
00-0026289,Tim Hightower,22,67.0,4.0
00-0031577,Javorius Allen,20,37.0,1.0
00-0026019,Danny Woodhead,20,35.0,3.0
00-0027155,Rashad Jennings,20,47.0,2.0
00-0029615,Lamar Miller,19,57.0,6.0
00-0031569,Jeremy Langford,19,48.0,6.0
00-0027218,Joique Bell,19,47.0,4.0
00-0030789,Antonio Andrews,19,38.0,3.0
00-0027791,James Starks,18,47.0,2.0
00-0026373,Justin Forsett,18,47.0,2.0
00-0031045,Carlos Hyde,18,52.0,3.0
00-0031897,Thomas Rawls,17,45.0,3.0
00-0027864,Ryan Mathews,16,48.0,5.0
00-0031390,Charles Sims,16,46.0,0.0
00-0032058,Tevin Coleman,14,39.0,1.0
00-0030496,Le'Veon Bell,14,41.0,3.0
