"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0030496","Le'Veon Bell",322,21.5,27.4,"RB","PIT",73.5
2,"00-0032144","Melvin Gordon",284,17.8,26.2,"RB","LAC",67.8
3,"00-0033923","Kareem Hunt",272,17,25.4,"RB","KC",67
4,"00-0032780","Jordan Howard",276,17.2,26.4,"RB","CHI",65.2
5,"00-0032241","Todd Gurley",279,18.6,28.4,"RB","LA",61.5
6,"00-0027029","LeSean McCoy",287,17.9,30.5,"RB","BUF",58.8
7,"00-0031045","Carlos Hyde",240,15,25.5,"RB","SF",58.8
8,"00-0023500","Frank Gore",261,16.3,28.2,"RB","IND",57.9
9,"00-0025399","Marshawn Lynch",207,13.8,23.1,"RB","LV",55.9
10,"00-0030656","Isaiah Crowell",207,12.9,24.1,"RB","CLE",53.8
11,"00-0029854","C.J. Anderson",245,15.3,28.6,"RB","DEN",53.6
12,"00-0029615","Lamar Miller",238,14.9,28.1,"RB","HOU",53
13,"00-0027966","Mark Ingram",230,14.4,27.8,"RB","NO",51.7
14,"00-0033856","Leonard Fournette",269,20.7,33,"RB","JAX",50.9
15,"00-0033045","Ezekiel Elliott",242,24.2,30,"RB","DAL",50.4
16,"00-0033897","Joe Mixon",178,12.7,23.6,"RB","CIN",47.2
17,"00-0032426","Alex Collins",212,14.1,28.8,"RB","BAL",46
18,"00-0031285","Devonta Freeman",196,14,26.9,"RB","ATL",45.5
19,"00-0032104","Ameer Abdullah",165,11.8,22.8,"RB","DET",45.3
20,"00-0033526","Samaje Perine",175,13.5,25.1,"RB","WAS",43.6
21,"00-0030860","Orleans Darkwa",172,11.5,24.7,"RB","NYG",43.5
22,"00-0030513","Latavius Murray",216,13.5,31.4,"RB","MIN",43
23,"00-0028064","Bilal Powell",178,11.9,26.8,"RB","NYJ",41.6
24,"00-0028009","DeMarco Murray",184,12.3,27.7,"RB","TEN",41.5
25,"00-0026153","Jonathan Stewart",198,13.2,30.7,"RB","CAR",40.3
26,"00-0028087","Dion Lewis",180,11.2,28,"RB","NE",40.2
27,"00-0032764","Derrick Henry",176,11,27.7,"RB","TEN",39.7
28,"00-0033948","Jamaal Williams",153,10.9,24.1,"RB","GB",39.6
29,"00-0031590","Jay Ajayi",138,19.7,22.6,"RB","MIA",38.2
30,"00-0033118","Kenyan Drake",134,9.6,22.6,"RB","MIA",37.1
31,"00-0027325","LeGarrette Blount",174,11.6,29.8,"RB","PHI",36.5
32,"00-0032058","Tevin Coleman",156,10.4,26.9,"RB","ATL",36.2
33,"00-0029613","Doug Martin",139,12.6,24.5,"RB","TB",35.5
34,"00-0031577","Javorius Allen",153,9.6,28.8,"RB","BAL",33.2
35,"00-0025394","Adrian Peterson",129,21.5,25.6,"RB","ARI",31.5
36,"00-0031376","Jerick McKinnon",151,9.4,31.4,"RB","MIN",30.1
37,"00-0030117","Kerwynn Williams",120,8.6,25.6,"RB","ARI",29.3
38,"00-0033950","Wayne Gallman",111,8.5,24.7,"RB","NYG",28.1
39,"00-0030456","Giovani Bernard",105,6.6,23.6,"RB","CIN",27.9
40,"00-0032741","Peyton Barber",108,10.8,24.5,"RB","TB",27.6
41,"00-0033906","Alvin Kamara",121,7.6,27.8,"RB","NO",27.2
42,"00-0033308","Matt Breida",105,6.6,25.5,"RB","SF",25.7
43,"00-0026184","Matt Forte",103,8.6,26.8,"RB","NYJ",24.1
44,"00-0029141","Alfred Morris",115,8.8,30,"RB","DAL",24
45,"00-0033280","Christian McCaffrey",117,7.3,30.7,"RB","CAR",23.8
46,"00-0030433","Mike Gillislee",104,11.6,28,"RB","NE",23.2
47,"00-0030107","Theo Riddick",84,5.6,22.8,"RB","DET",23.1
48,"00-0032257","Duke Johnson",82,5.5,24.1,"RB","CLE",21.3
49,"00-0027531","Chris Ivory",112,8,33,"RB","JAX",21.2
50,"00-0033293","Aaron Jones",81,8.1,24.1,"RB","GB",21
51,"00-0033295","Elijah McGuire",89,6.4,26.8,"RB","NYJ",20.8
52,"00-0033556","Tarik Cohen",87,5.8,26.4,"RB","CHI",20.6
53,"00-0033951","Marlon Mack",93,6.6,28.2,"RB","IND",20.6
54,"00-0032200","Ty Montgomery",71,8.9,24.1,"RB","GB",18.4
55,"00-0033925","D'Onta Foreman",78,8.7,28.1,"RB","HOU",17.4
56,"00-0032972","Devontae Booker",79,6.1,28.6,"RB","DEN",17.3
57,"00-0030485","Eddie Lacy",69,7.7,25.6,"RB","SEA",16.9
58,"00-0032063","Mike Davis",68,11.3,25.6,"RB","SEA",16.6
59,"00-0028083","Jacquizz Rodgers",64,5.3,24.5,"RB","TB",16.3
60,"00-0030404","Chris Thompson",64,6.4,25.1,"RB","WAS",16
61,"00-0031075","Alfred Blue",71,8.9,28.1,"RB","HOU",15.8
62,"00-0033725","Corey Clement",75,5.4,29.8,"RB","PHI",15.7
63,"00-0032371","Rob Kelley",62,8.9,25.1,"RB","WAS",15.5
64,"00-0032940","DeAndre Washington",57,3.8,23.1,"RB","LV",15.4
65,"00-0026213","Jamaal Charles",69,5.8,28.6,"RB","DEN",15.1
66,"00-0033025","Jalen Richard",56,4.3,23.1,"RB","LV",15.1
67,"00-0031590","Jay Ajayi",70,10,29.8,"RB","PHI",14.7
68,"00-0033893","Dalvin Cook",74,18.5,31.4,"RB","MIN",14.7
69,"00-0030288","Rex Burkhead",64,6.4,28,"RB","NE",14.3
70,"00-0031897","Thomas Rawls",58,6.4,25.6,"RB","SEA",14.2
71,"00-0031806","Malcolm Brown",63,7,28.4,"RB","LA",13.9
72,"00-0026069","Mike Tolbert",66,5.5,30.5,"RB","BUF",13.5
73,"00-0030874","Damien Williams",46,5.1,22.6,"RB","MIA",12.7
74,"00-0033594","Chris Carson",49,12.2,25.6,"RB","SEA",12
75,"00-0031900","Rod Smith",55,6.1,30,"RB","DAL",11.5
76,"00-0033748","Tion Green",42,8.4,22.8,"RB","DET",11.5
77,"00-0027994","Shane Vereen",45,3.5,24.7,"RB","NYG",11.4
78,"00-0032602","J.D. McKissic",46,3.8,25.6,"RB","SEA",11.2
79,"00-0033699","Austin Ekeler",47,4.3,26.2,"RB","LAC",11.2
80,"00-0026164","Chris Johnson",45,11.2,25.6,"RB","ARI",11
81,"00-0032417","Paul Perkins",41,5.9,24.7,"RB","NYG",10.4
82,"00-0032782","Wendell Smallwood",47,5.9,29.8,"RB","PHI",9.9
83,"00-0031301","Jeremy Hill",37,5.3,23.6,"RB","CIN",9.8
84,"00-0031062","James White",43,3.6,28,"RB","NE",9.6
85,"00-0032209","T.J. Yeldon",49,5.4,33,"RB","JAX",9.3
86,"00-0031375","Terrance West",40,8,28.8,"RB","BAL",8.7
87,"00-0031277","Branden Oliver",35,5,26.2,"RB","LAC",8.4
88,"00-0032813","Elijhaa Penny",31,5.2,25.6,"RB","ARI",7.6
89,"00-0033553","James Conner",32,2.7,27.4,"RB","PIT",7.3
90,"00-0031682","Terron Ward",30,7.5,26.9,"RB","ATL",7
91,"00-0031731","Corey Grant",30,4.3,33,"RB","JAX",5.7
