"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0030513","Latavius Murray",266,16.6,23.1,"RB","LV",71.9
2,"00-0025394","Adrian Peterson",327,20.4,29.7,"RB","MIN",68.8
3,"00-0023500","Frank Gore",260,16.2,24.8,"RB","IND",65.7
4,"00-0029613","Doug Martin",288,18,28.4,"RB","TB",63.3
5,"00-0031285","Devonta Freeman",265,17.7,26.3,"RB","ATL",62.9
6,"00-0026144","Darren McFadden",239,14.9,25.5,"RB","DAL",58.6
7,"00-0029615","Lamar Miller",194,12.1,21.6,"RB","MIA",56.2
8,"00-0027531","Chris Ivory",247,16.5,28,"RB","NYJ",55.1
9,"00-0032241","Todd Gurley",230,17.7,26.9,"RB","LA",53.5
10,"00-0024242","DeAngelo Williams",200,12.5,24.2,"RB","PIT",51.5
11,"00-0032209","T.J. Yeldon",182,15.2,22.1,"RB","JAX",51.4
12,"00-0029683","Ronnie Hillman",207,12.9,25.8,"RB","DEN",50.2
13,"00-0030656","Isaiah Crowell",185,11.6,23.8,"RB","CLE",48.7
14,"00-0027155","Rashad Jennings",195,12.2,25.3,"RB","NYG",48.1
15,"00-0031301","Jeremy Hill",224,14,29.2,"RB","CIN",47.9
16,"00-0029141","Alfred Morris",202,12.6,26.8,"RB","WAS",47.1
17,"00-0032144","Melvin Gordon",184,13.1,24.6,"RB","LAC",46.8
18,"00-0026184","Matt Forte",218,16.8,29.4,"RB","CHI",46.4
19,"00-0026153","Jonathan Stewart",242,18.6,32.9,"RB","CAR",46
20,"00-0028009","DeMarco Murray",193,12.9,27.6,"RB","PHI",43.7
21,"00-0026164","Chris Johnson",196,17.8,28.2,"RB","ARI",43.4
22,"00-0027325","LeGarrette Blount",165,13.8,23.9,"RB","NE",43.1
23,"00-0030485","Eddie Lacy",187,12.5,27.3,"RB","GB",42.8
24,"00-0027966","Mark Ingram",167,13.9,24.9,"RB","NO",41.9
25,"00-0032104","Ameer Abdullah",143,8.9,22.2,"RB","DET",40.2
26,"00-0027029","LeSean McCoy",204,17,32,"RB","BUF",39.8
27,"00-0026373","Justin Forsett",151,15.1,24,"RB","BAL",39.3
28,"00-0031075","Alfred Blue",183,13.1,29.6,"RB","HOU",38.7
29,"00-0030789","Antonio Andrews",143,11,23.2,"RB","TEN",38.4
30,"00-0029854","C.J. Anderson",152,10.1,25.8,"RB","DEN",36.9
31,"00-0030668","Charcandrick West",160,13.3,27.2,"RB","KC",36.7
32,"00-0031577","Javorius Allen",137,8.6,24,"RB","BAL",35.7
33,"00-0027791","James Starks",148,9.2,27.3,"RB","GB",33.9
34,"00-0031939","Matt Jones",144,11.1,26.8,"RB","WAS",33.6
35,"00-0030456","Giovani Bernard",154,9.6,29.2,"RB","CIN",32.9
36,"00-0031569","Jeremy Langford",150,10,29.4,"RB","CHI",31.9
