"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0033906","Alvin Kamara",107,7.1,31.8,"RB","NO",21
2,"00-0032602","J.D. McKissic",110,7.3,36,"RB","WAS",19.1
3,"00-0031062","James White",62,4.4,26.3,"RB","NE",14.7
4,"00-0034367","Nyheim Hines",76,4.8,33.6,"RB","IND",14.2
5,"00-0032063","Mike Davis",70,5.4,33.1,"RB","CAR",13.2
6,"00-0033293","Aaron Jones",63,4.5,31.3,"RB","GB",12.6
7,"00-0034681","Chase Edmonds",67,4.2,34.2,"RB","ARI",12.2
8,"00-0033045","Ezekiel Elliott",72,4.8,38.7,"RB","DAL",11.6
9,"00-0035685","David Montgomery",68,4.5,37.4,"RB","CHI",11.4
10,"00-0033893","Dalvin Cook",54,3.9,30.8,"RB","MIN",11
11,"00-0033923","Kareem Hunt",51,3.4,29.2,"RB","CLE",10.9
12,"00-0033699","Austin Ekeler",65,6.5,38.4,"RB","LAC",10.6
13,"00-0035831","James Robinson",62,4.4,37.1,"RB","JAX",10.5
14,"00-0030456","Giovani Bernard",59,3.9,35.4,"RB","CIN",10.4
15,"00-0036275","D'Andre Swift",57,4.4,35.4,"RB","DET",10.1
16,"00-0035243","Miles Sanders",52,4.3,35.4,"RB","PHI",9.2
17,"00-0036360","Clyde Edwards-Helaire",54,4.2,38.4,"RB","KC",8.8
18,"00-0032187","David Johnson",46,3.8,33.1,"RB","HOU",8.7
19,"00-0033594","Chris Carson",47,3.9,33.7,"RB","SEA",8.7
20,"00-0035250","Devin Singletary",50,3.1,35.8,"RB","BUF",8.7
21,"00-0035700","Josh Jacobs",45,3,32.8,"RB","LV",8.6
22,"00-0035311","Myles Gaskin",47,4.7,34.5,"RB","MIA",8.5
23,"00-0031376","Jerick McKinnon",47,3.6,34.8,"RB","SF",8.4
24,"00-0032144","Melvin Gordon",44,3.7,33.6,"RB","DEN",8.2
25,"00-0030288","Rex Burkhead",33,4.1,26.3,"RB","NE",7.8
26,"00-0033856","Leonard Fournette",47,3.9,38,"RB","TB",7.7
27,"00-0036328","Antonio Gibson",44,3.4,36,"RB","WAS",7.6
28,"00-0036223","Jonathan Taylor",39,2.8,33.6,"RB","IND",7.3
29,"00-0033948","Jamaal Williams",35,3.5,31.3,"RB","GB",7
30,"00-0034816","Ronald Jones",42,3.2,38,"RB","TB",6.9
31,"00-0032257","Duke Johnson",35,3.2,33.1,"RB","HOU",6.6
32,"00-0032764","Derrick Henry",31,2.4,29.4,"RB","TEN",6.6
33,"00-0033553","James Conner",43,3.6,41.1,"RB","PIT",6.5
34,"00-0035261","Tony Pollard",40,2.7,38.7,"RB","DAL",6.5
35,"00-0036158","J.K. Dobbins",25,2.3,24.6,"RB","BAL",6.4
36,"00-0034414","Boston Scott",36,2.8,35.4,"RB","PHI",6.3
37,"00-0028087","Dion Lewis",31,2.6,31.5,"RB","NYG",6.2
38,"00-0031806","Malcolm Brown",33,2.2,35.2,"RB","LA",5.9
39,"00-0032241","Todd Gurley",35,2.7,38,"RB","ATL",5.8
40,"00-0033118","Kenyan Drake",31,2.2,34.2,"RB","ARI",5.7
41,"00-0033950","Wayne Gallman",27,2.7,31.5,"RB","NYG",5.4
42,"00-0029892","Kyle Juszczyk",29,1.8,34.8,"RB","SF",5.2
43,"00-0030513","Latavius Murray",26,1.9,31.8,"RB","NO",5.1
44,"00-0034115","Jeffery Wilson",28,3.1,34.8,"RB","SF",5
45,"00-0033567","Brian Hill",30,2.1,38,"RB","ATL",4.9
46,"00-0033897","Joe Mixon",26,4.3,35.4,"RB","CIN",4.6
47,"00-0034349","Kerryon Johnson",26,2.2,35.4,"RB","DET",4.6
48,"00-0033025","Jalen Richard",23,2.3,32.8,"RB","LV",4.4
49,"00-0034301","Darrel Williams",27,2.2,38.4,"RB","KC",4.4
50,"00-0034799","Kalen Ballage",27,4.5,38.4,"RB","LAC",4.4
51,"00-0034378","Ito Smith",26,2.4,38,"RB","ATL",4.3
52,"00-0035537","Ty Johnson",20,2.9,29.1,"RB","NYJ",4.3
53,"00-0035664","Darrell Henderson",24,2.2,35.2,"RB","LA",4.3
54,"00-0034440","Justin Jackson",25,4.2,38.4,"RB","LAC",4.1
55,"00-0032972","Devontae Booker",21,1.9,32.8,"RB","LV",4
56,"00-0030404","Chris Thompson",23,3.8,37.1,"RB","JAX",3.9
57,"00-0031045","Carlos Hyde",20,2.5,33.7,"RB","SEA",3.7
58,"00-0036370","Joshua Kelley",23,2.6,38.4,"RB","LAC",3.7
59,"00-0036425","DeeJay Dallas",20,2.9,33.7,"RB","SEA",3.7
60,"00-0033854","Dare Ogunbowale",20,2.9,37.1,"RB","JAX",3.4
