"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0033699","Austin Ekeler",127,7.5,40.5,"RB","LAC",18.4
2,"00-0036875","Rhamondre Stevenson",90,5.3,30.7,"RB","NE",17.2
3,"00-0033906","Alvin Kamara",77,5.1,29.1,"RB","NO",15.6
4,"00-0034844","Saquon Barkley",77,4.8,29.1,"RB","NYG",15.6
5,"00-0033293","Aaron Jones",73,4.3,31.9,"RB","GB",13.4
6,"00-0033280","Christian McCaffrey",65,5.9,29.6,"RB","SF",12.9
7,"00-0033897","Joe Mixon",75,5.4,37.4,"RB","CIN",12.5
8,"00-0036275","D'Andre Swift",70,5,33.2,"RB","DET",12.4
9,"00-0031376","Jerick McKinnon",72,4.2,36.3,"RB","KC",11.7
10,"00-0033856","Leonard Fournette",83,5.2,42.9,"RB","TB",11.4
11,"00-0035700","Josh Jacobs",64,3.8,33,"RB","LV",11.4
12,"00-0035685","David Montgomery",40,3.1,21.4,"RB","CHI",11
13,"00-0036328","Antonio Gibson",58,3.9,31.5,"RB","WAS",10.8
14,"00-0035261","Tony Pollard",55,3.7,32.1,"RB","DAL",10.1
15,"00-0033280","Christian McCaffrey",43,7.2,25.2,"RB","CAR",10
16,"00-0036893","Najee Harris",53,3.5,32.4,"RB","PIT",9.6
17,"00-0032764","Derrick Henry",41,2.9,25.7,"RB","TEN",9.4
18,"00-0035250","Devin Singletary",52,3.2,34.5,"RB","BUF",9.4
19,"00-0036924","Michael Carter",54,3.4,34.6,"RB","NYJ",9.2
20,"00-0030288","Rex Burkhead",51,3.4,33.1,"RB","HOU",9.1
21,"00-0033553","James Conner",58,4.5,37.7,"RB","ARI",9
22,"00-0033893","Dalvin Cook",56,3.5,37.9,"RB","MIN",8.7
23,"00-0033923","Kareem Hunt",44,2.6,29.9,"RB","CLE",8.6
24,"00-0033526","Samaje Perine",51,3.2,37.4,"RB","CIN",8.5
25,"00-0036265","A.J. Dillon",43,3.1,31.9,"RB","GB",7.9
26,"00-0037256","Rachaad White",58,4.1,42.9,"RB","TB",7.9
27,"00-0032602","J.D. McKissic",42,5.2,31.5,"RB","WAS",7.8
28,"00-0036973","Travis Etienne",45,3,34.1,"RB","JAX",7.8
29,"00-0030578","Cordarrelle Patterson",31,2.8,23.6,"RB","ATL",7.7
30,"00-0031687","Raheem Mostert",42,2.8,33.2,"RB","MIA",7.4
31,"00-0034791","Nick Chubb",37,2.2,29.9,"RB","CLE",7.3
32,"00-0036223","Jonathan Taylor",42,3.8,34.3,"RB","IND",7.2
33,"00-0037258","Dameon Pierce",39,3.5,33.1,"RB","HOU",6.9
34,"00-0030513","Latavius Murray",34,2.8,31.9,"RB","DEN",6.3
35,"00-0038134","Kenneth Walker",35,2.7,32.6,"RB","SEA",6.3
36,"00-0037228","Jaylen Warren",33,2.2,32.4,"RB","PIT",6
37,"00-0032144","Melvin Gordon",32,3.6,31.9,"RB","DEN",5.9
38,"00-0034253","Dontrell Hilliard",26,2.4,25.7,"RB","TEN",5.9
39,"00-0036493","Deon Jackson",34,4.2,34.3,"RB","IND",5.8
40,"00-0037248","James Cook",32,2.7,34.5,"RB","BUF",5.8
41,"00-0032104","Ameer Abdullah",32,2.5,33,"RB","LV",5.7
42,"00-0036919","Kenneth Gainwell",29,2.2,29.8,"RB","PHI",5.7
43,"00-0033118","Kenyan Drake",26,2.4,27.4,"RB","BAL",5.6
44,"00-0038120","Breece Hall",31,5.2,34.6,"RB","NYJ",5.3
45,"00-0033308","Matt Breida",25,2.1,29.1,"RB","NYG",5.1
46,"00-0035243","Miles Sanders",26,1.9,29.8,"RB","PHI",5.1
47,"00-0036383","Eno Benjamin",33,3.7,37.7,"RB","ARI",5.1
48,"00-0034367","Nyheim Hines",28,4,34.3,"RB","IND",4.8
49,"00-0029892","Kyle Juszczyk",23,2.1,29.6,"RB","SF",4.6
50,"00-0033854","Dare Ogunbowale",26,2.9,33.1,"RB","HOU",4.6
51,"00-0035806","Jamycal Hasty",26,2.6,34.1,"RB","JAX",4.5
52,"00-0035657","Damien Harris",23,2.3,30.7,"RB","NE",4.4
53,"00-0034115","Jeffery Wilson",24,3.4,33.2,"RB","MIA",4.3
54,"00-0035664","Darrell Henderson",22,2.8,30.4,"RB","LA",4.3
55,"00-0033045","Ezekiel Elliott",23,1.9,32.1,"RB","DAL",4.2
56,"00-0036997","Javonte Williams",23,5.8,31.9,"RB","DEN",4.2
57,"00-0035125","Alec Ingold",23,1.9,33.2,"RB","MIA",4.1
58,"00-0035537","Ty Johnson",24,3,34.6,"RB","NYJ",4.1
59,"00-0036360","Clyde Edwards-Helaire",23,2.9,36.3,"RB","KC",3.7
60,"00-0036370","Joshua Kelley",25,2.1,40.5,"RB","LAC",3.6
