...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Christian McCaffrey,SF,9,RB1,1,1,1,1,00-0033280,RB,2023,0.7913043478260869,27,272,1459,91.1875,9,14,2,83,67,564,35.25,4,7,21,16
3,4,Breece Hall,NYJ,12,RB2,4,8,4,5.3,00-0038120,RB,2023,0.7058823529411765,22,224,996,58.588235294117645,7,5,0,95,76,591,34.76470588235294,7,4,9,17
4,5,Bijan Robinson,ATL,12,RB3,5,6,5,5.3,00-0038542,RB,2023,1.0,21,214,976,57.411764705882355,7,4,3,86,58,487,28.647058823529413,5,4,8,17
9,10,Jonathan Taylor,IND,14,RB4,9,11,10,10,00-0036223,RB,2023,0.7910447761194029,24,169,741,74.1,4,7,0,23,19,153,15.3,2,1,8,10
10,11,Saquon Barkley,PHI,5,RB5,12,12,9,11,00-0034844,RB,2023,0.7474747474747475,26,248,964,68.85714285714286,7,6,2,61,41,280,20,4,4,10,14
12,13,Jahmyr Gibbs,DET,5,RB6,14,10,13,12.3,00-0039139,RB,2023,0.8823529411764706,21,182,945,63,10,10,1,72,52,316,21.066666666666666,2,1,11,15
15,16,Travis Etienne Jr.,JAC,12,RB7,19,16,15,16.7,00-0036973,RB,2023,0.6666666666666666,24,269,1012,59.529411764705884,6,11,0,73,58,476,28,2,1,12,17
16,17,Derrick Henry,BAL,14,RB8,13,18,20,17,00-0032764,RB,2023,0.9166666666666666,29,280,1167,68.6470588235294,5,12,0,36,28,214,12.588235294117647,2,0,14,17
17,18,Kyren Williams,LAR,6,RB9,16,17,19,17.3,00-0037840,RB,2023,0.6764705882352942,23,229,1146,95.5,7,12,2,48,32,204,17,2,3,15,12
19,20,De'Von Achane,MIA,6,RB10,24,23,18,21.7,00-0039040,RB,2023,0.6470588235294118,21,103,800,72.72727272727273,8,8,1,37,27,197,17.90909090909091,2,3,11,11
20,21,Isiah Pacheco,KC,6,RB11,18,27,21,22,00-0037197,RB,2023,0.9411764705882353,24,206,935,66.78571428571429,6,7,1,49,44,244,17.428571428571427,2,2,9,14
23,24,Josh Jacobs,GB,10,RB12,29,24,17,23.3,00-0035700,RB,2023,0.8795180722891566,25,233,805,61.92307692307692,3,6,1,54,37,296,22.76923076923077,1,0,6,13
34,35,Rachaad White,TB,11,RB13,39,37,31,35.7,00-0037256,RB,2023,1.0,24,272,990,58.23529411764706,3,6,2,70,64,549,32.294117647058826,10,3,9,17
35,36,James Cook,BUF,12,RB14,41,40,27,36,00-0037248,RB,2023,1.0,23,237,1122,66,6,2,2,54,44,445,26.176470588235293,7,4,6,17
41,42,Joe Mixon,HOU,14,RB15,36,43,41,40,00-0033897,RB,2023,0.8869565217391304,27,257,1034,60.8235294117647,3,9,0,65,52,376,22.11764705882353,4,3,12,17
42,43,Kenneth Walker III,SEA,10,RB16,43,45,35,41,00-0038134,RB,2023,0.8823529411764706,22,219,905,60.333333333333336,7,8,0,37,29,259,17.266666666666666,3,1,9,15
44,45,Alvin Kamara,NO,12,RB17,50,50,37,45.7,00-0033906,RB,2023,0.8869565217391304,28,182,698,53.69230769230769,0,5,0,87,75,466,35.84615384615385,3,1,6,13
54,55,James Conner,ARI,11,RB19,59,59,57,58.3,00-0033553,RB,2023,0.8189655172413793,28,210,1040,80,11,7,0,35,27,165,12.692307692307692,2,2,9,13
56,57,David Montgomery,DET,5,RB20,52,63,67,60.7,00-0035685,RB,2023,0.891566265060241,26,220,1017,72.64285714285714,4,13,1,24,16,117,8.357142857142858,0,0,13,14
57,58,Rhamondre Stevenson,NE,14,RB21,62,66,54,60.7,00-0036875,RB,2023,0.803921568627451,25,156,619,51.583333333333336,1,4,1,51,38,238,19.833333333333332,2,0,4,12
61,62,D'Andre Swift,CHI,7,RB22,74,64,51,63,00-0036275,RB,2023,0.835820895522388,24,229,1049,65.5625,6,5,1,49,39,214,13.375,2,1,6,16
67,68,Najee Harris,LAC,5,RB23,69,69,65,67.7,00-0036893,RB,2023,1.0,25,256,1035,60.88235294117647,8,8,1,38,29,170,10,1,0,8,17
68,69,Zamir White,LV,10,RB24,73,73,60,68.7,00-0038040,RB,2023,0.9117647058823529,23,104,451,34.69230769230769,2,1,1,19,15,98,7.538461538461538,0,0,1,13
71,72,Raheem Mostert,LV,10,RB25,63,75,78,72,00-0031687,RB,2023,0.7089552238805971,31,209,1012,67.46666666666667,7,18,1,32,25,175,11.666666666666666,1,3,21,15
78,79,Javonte Williams,DAL,7,RB26,92,91,63,82,00-0036997,RB,2023,0.7254901960784313,23,219,776,48.5,2,3,1,59,47,228,14.25,0,2,5,16
79,80,Tony Pollard,TEN,5,RB27,88,78,80,82,00-0035261,RB,2023,0.9518072289156626,26,253,1007,59.23529411764706,6,6,1,67,55,311,18.294117647058822,2,0,6,17
83,84,Devin Singletary,NYG,11,RB28,96,96,76,89.3,00-0035250,RB,2023,0.963855421686747,25,216,908,53.411764705882355,3,4,0,38,30,193,11.352941176470589,2,0,5,17
85,86,Zack Moss,,,RB29,99,89,85,91,00-0036251,RB,2023,0.8181818181818182,25,183,794,56.714285714285715,6,5,0,39,27,192,13.714285714285714,1,2,7,14
87,88,Jaylen Warren,PIT,9,RB30,98,93,84,91.7,00-0037228,RB,2023,0.9705882352941176,24,149,784,46.11764705882353,6,4,2,74,61,370,21.764705882352942,2,0,4,17
91,92,Nick Chubb,HU,,RB32,101,86,102,96.3,00-0034791,RB,2023,0.7777777777777778,27,28,170,85,1,0,0,4,4,21,10.5,0,0,0,2
93,94,Austin Ekeler,WAS,14,RB33,108,95,92,98.3,00-0033699,RB,2023,0.9130434782608695,28,179,628,44.857142857142854,3,5,4,74,51,424,30.285714285714285,5,1,6,14
96,97,Jonathon Brooks,CAR,11,RB34,118,90,96,101.3,00-0039344,RB,2023,--,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,98,Tyjae Spears,TEN,5,RB35,103,108,95,102,00-0039032,RB,2023,1.0,22,100,453,26.647058823529413,3,2,0,70,52,385,22.647058823529413,4,1,3,17
103,104,Chase Brown,CIN,12,RB36,117,117,88,107.3,00-0038597,RB,2023,0.7058823529411765,23,44,179,17.9,2,0,0,15,14,156,15.6,2,1,1,10
105,106,Jerome Ford,CLE,10,RB37,122,116,87,108.3,00-0037267,RB,2023,0.8823529411764706,23,206,815,47.94117647058823,5,4,0,63,44,319,18.764705882352942,2,5,9,17
111,112,Gus Edwards,,,RB38,123,104,116,114.3,00-0034184,RB,2023,0.7340425531914894,28,199,812,47.76470588235294,6,13,2,13,12,180,10.588235294117647,2,0,13,17
112,113,Ezekiel Elliott,,,RB39,124,110,109,114.3,00-0033045,RB,2023,0.9312977099236641,28,184,642,37.76470588235294,0,3,1,65,51,313,18.41176470588235,1,2,5,17
115,116,Trey Benson,ARI,11,RB40,131,109,112,117.3,00-0039921,RB,2023,--,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,119,Blake Corum,LAR,6,RB41,144,115,107,122,00-0039738,RB,2023,--,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,128,Chuba Hubbard,CAR,11,RB42,171,130,108,136.3,00-0036555,RB,2023,0.9607843137254902,24,238,902,53.05882352941177,4,5,0,44,39,233,13.705882352941176,1,0,5,17
128,129,J.K. Dobbins,DEN,14,RB43,169,131,114,138,00-0036158,RB,2023,0.3582089552238806,24,8,22,22,0,1,0,3,2,15,15,0,0,1,1
130,131,Rico Dowdle,CAR,11,RB44,159,139,118,138.7,00-0036139,RB,2023,0.5522388059701493,25,89,361,22.5625,2,2,0,22,17,144,9,1,2,4,16
