"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0037840","Kyren Williams",316,19.8,26.5,"RB","LA",70.1
2,"00-0038542","Bijan Robinson",305,17.9,29.2,"RB","ATL",61.4
3,"00-0036223","Jonathan Taylor",305,21.8,29.4,"RB","IND",61.1
4,"00-0036555","Chuba Hubbard",251,16.7,24.2,"RB","CAR",61.1
5,"00-0038597","Chase Brown",230,14.4,22.4,"RB","CIN",60.4
6,"00-0036275","D'Andre Swift",253,14.9,25.4,"RB","CHI",58.7
7,"00-0032764","Derrick Henry",325,19.1,32.6,"RB","BAL",58.6
8,"00-0035261","Tony Pollard",261,16.3,26.5,"RB","TEN",57.9
9,"00-0038120","Breece Hall",212,13.2,21.5,"RB","NYJ",57.9
10,"00-0035700","Josh Jacobs",303,17.8,31.1,"RB","GB",57.4
11,"00-0033897","Joe Mixon",247,17.6,25.6,"RB","HOU",56.7
12,"00-0033293","Aaron Jones",255,15,26.9,"RB","MIN",55.8
13,"00-0034844","Saquon Barkley",348,21.8,36.8,"RB","PHI",55.6
14,"00-0036139","Rico Dowdle",235,14.7,25.2,"RB","DAL",54.8
15,"00-0033906","Alvin Kamara",228,16.3,26.1,"RB","NO",51.4
16,"00-0033553","James Conner",239,14.9,27.5,"RB","ARI",51.1
17,"00-0036893","Najee Harris",263,15.5,31.4,"RB","PIT",49.3
18,"00-0039139","Jahmyr Gibbs",250,14.7,31.5,"RB","DET",46.7
19,"00-0036875","Rhamondre Stevenson",207,13.8,26.2,"RB","NE",46.4
20,"00-0039040","De'Von Achane",203,11.9,26.4,"RB","MIA",45.3
21,"00-0039384","Tyrone Tracy Jr.",192,11.3,25,"RB","NYG",45.2
22,"00-0033923","Kareem Hunt",200,15.4,26.5,"RB","KC",44.4
23,"00-0039361","Bucky Irving",207,12.2,28.4,"RB","TB",42.9
24,"00-0037248","James Cook",207,12.9,28.9,"RB","BUF",42.2
25,"00-0036158","J.K. Dobbins",195,15,27.4,"RB","LAC",41.9
26,"00-0038555","Tank Bigsby",168,11.2,24.4,"RB","JAX",40.6
27,"00-0038134","Kenneth Walker III",153,13.9,22.5,"RB","SEA",39.9
28,"00-0036973","Travis Etienne",150,10,24.4,"RB","JAX",36.2
29,"00-0037746","Brian Robinson",187,13.4,31.1,"RB","WAS",35.4
30,"00-0039165","Zach Charbonnet",135,7.9,22.5,"RB","SEA",35.2
31,"00-0034972","Alexander Mattison",134,9.6,22.5,"RB","LV",35.1
32,"00-0035685","David Montgomery",186,13.3,31.5,"RB","DET",34.8
33,"00-0037525","Jordan Mason",153,12.8,26.9,"RB","SF",33.4
34,"00-0036997","Javonte Williams",139,8.7,27.1,"RB","DEN",30.2
35,"00-0037256","Rachaad White",144,9.6,28.4,"RB","TB",29.8
36,"00-0037263","Tyler Allgeier",138,8.6,29.2,"RB","ATL",27.8
37,"00-0036328","Antonio Gibson",120,7.1,26.2,"RB","NE",26.9
38,"00-0035250","Devin Singletary",113,7.5,25,"RB","NYG",26.6
39,"00-0037267","Jerome Ford",104,7.4,23,"RB","CLE",26.6
40,"00-0034791","Nick Chubb",102,12.8,23,"RB","CLE",26.1
41,"00-0039794","Braelon Allen",92,5.4,21.5,"RB","NYJ",25.1
42,"00-0038794","Jaleel McLaughlin",113,7.1,27.1,"RB","DEN",24.5
43,"00-0039875","Ray Davis",113,7.5,28.9,"RB","BUF",23
44,"00-0037228","Jaylen Warren",120,8,31.4,"RB","PIT",22.5
45,"00-0034184","Gus Edwards",102,9.3,27.4,"RB","LAC",21.9
46,"00-0038797","Emanuel Wilson",103,6.1,31.1,"RB","GB",19.5
47,"00-0036251","Zack Moss",74,9.2,22.4,"RB","CIN",19.4
48,"00-0031687","Raheem Mostert",85,7.7,26.4,"RB","MIA",19
