...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,attempts,rush_yards,rush_ypg,rush_20plus,rush_td,fumbles_perdidos,targets,recepciones,rec_yards,rec_ypg,rec_20plus,rec_td,total_touchdowns,partidos
0,1,Todd Gurley,II,,RB1,1,,,1,,1,1,00-0032241,RB,2017,1.0,23,2015,0.8219999999999998,140.8741,0.081,10,19.9,279,1305,87,8,13,2,87,64,788,52.53333333333333,12,6,19,15
1,2,Le'Veon Bell,,,RB2,2,,,3,,2,2.4,00-0030496,RB,2017,0.9130434782608695,25,2013,0.8973333333333334,71.54638,0.08199999999999999,48,9.9,322,1291,86.06666666666666,3,9,2,107,86,663,44.2,5,2,11,15
2,3,David Johnson,,,RB3,3,,,2,,3,2.6,00-0032187,RB,2017,0.6938775510204082,25,2015,0.61,,0.073,86,6.2,11,23,23,0,0,1,9,6,67,67,1,0,0,1
3,4,Ezekiel Elliott,,,RB4,4,,,4,,4,4,00-0033045,RB,2017,0.8125,22,2016,0.858,94.504005,0.04,4,25.8,242,983,98.3,5,7,1,38,26,249,24.9,4,2,9,10
5,6,Alvin Kamara,NO,6,RB5,7,,,5,,6,6.2,00-0033906,RB,2017,1.0,22,2017,0.446875,90.14066,0.006,67,7.8,121,730,45.625,5,8,1,100,81,826,51.625,11,5,13,16
6,7,Saquon Barkley,PHI,9,RB6,6,,,7,,7,6.6,00-0034844,RB,2017,--,20,2018,-1,--,0.044000000000000004,2,30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,Leonard Fournette,,,RB7,12,,,9,,12,10,00-0033856,RB,2017,1.0,22,2017,0.6269230769230769,45.6441,0.040999999999999995,4,25.8,269,1040,80,4,9,0,48,36,302,23.23076923076923,2,1,10,13
9,10,Kareem Hunt,KC,12,RB8,11,,,8,,9,10.2,00-0033923,RB,2017,1.0,22,2017,0.65375,128.88531,0.005,86,6.2,272,1327,82.9375,12,8,1,63,53,455,28.4375,4,3,11,16
11,12,Melvin Gordon,III,,RB9,14,,,11,,10,11.2,00-0032144,RB,2017,0.6808510638297872,24,2015,0.7075,84.35129,0.019,15,17.4,284,1105,69.0625,5,8,0,83,58,476,29.75,4,4,12,16
13,14,Dalvin Cook,,,RB10,13,,,15,,15,14.2,00-0033893,RB,2017,0.25,22,2017,0.64,70.776665,0.01,41,11,74,354,88.5,4,2,1,16,11,90,22.5,1,0,2,4
14,15,Christian McCaffrey,SF,11,RB11,16,,,13,,17,14.8,00-0033280,RB,2017,1.0,21,2017,0.700625,33.5265,0.026000000000000002,8,21.4,117,435,27.1875,1,2,1,113,80,651,40.6875,7,5,7,16
18,19,Devonta Freeman,,,RB12,20,,,18,,20,19.2,00-0031285,RB,2017,1.0,25,2014,0.6171428571428571,73.60615,0.049,103,5.1,196,865,61.785714285714285,5,7,1,47,36,317,22.642857142857142,3,1,8,14
22,23,Jordan Howard,,,RB13,26,,,23,,24,23.6,00-0032780,RB,2017,1.0,22,2016,0.588125,81.76963,0.004,150,2.7,276,1122,70.125,5,9,1,32,23,125,7.8125,0,0,9,16
23,24,Joe Mixon,HOU,10,RB14,27,,,22,,25,23.8,00-0033897,RB,2017,1.0,21,2017,0.47357142857142864,28.657639,0.008,48,9.9,178,626,44.714285714285715,2,4,2,34,30,287,20.5,3,0,4,14
25,26,LeSean McCoy,,,RB15,24,,,28,,22,26.8,00-0027029,RB,2017,1.0,29,2009,0.6799999999999999,64.946,0.055999999999999994,53,9.3,287,1138,71.125,12,6,1,77,59,448,28,3,2,8,16
32,33,Kenyan Drake,,,RB16,35,,,31,,35,34.4,00-0033118,RB,2017,1.0,23,2016,0.451875,86.19478,0.005,73,7.3,134,646,46.142857142857146,7,3,2,48,32,239,17.071428571428573,1,1,4,14
