"rank","gsis_id","nombre","targets_totales","targets_por_partido","targets_por_partido_equipo","posicion","equipo","target_share_pct"
1,"00-0033906","Alvin Kamara",89,6.4,30.6,"RB","NO",17.1
2,"00-0039040","De'Von Achane",87,5.4,33.7,"RB","MIA",15.2
3,"00-0038542","Bijan Robinson",72,4.2,31.8,"RB","ATL",13.3
4,"00-0038120","Breece Hall",76,4.8,34.9,"RB","NYJ",12.8
5,"00-0036997","Javonte Williams",70,4.1,32.4,"RB","DEN",12.7
6,"00-0033293","Aaron Jones",62,3.6,30.5,"RB","MIN",12
7,"00-0039139","Jahmyr Gibbs",63,4.2,30.8,"RB","DET",12
8,"00-0035261","Tony Pollard",57,4.1,30,"RB","TEN",11.2
9,"00-0034975","Justice Hill",51,3.4,26.9,"RB","BAL",11.1
10,"00-0033553","James Conner",55,3.4,30.8,"RB","ARI",10.5
11,"00-0036555","Chuba Hubbard",54,4.5,30.5,"RB","CAR",10.4
12,"00-0036893","Najee Harris",48,3.2,27.2,"RB","PIT",10.4
13,"00-0034844","Saquon Barkley",43,2.7,24.6,"RB","PHI",10.3
14,"00-0038597","Chase Brown",65,4.3,37.1,"RB","CIN",10.3
15,"00-0037228","Jaylen Warren",47,3.1,27.2,"RB","PIT",10.2
16,"00-0037256","Rachaad White",57,3.8,33.2,"RB","TB",10.1
17,"00-0036275","D'Andre Swift",53,3.3,31.5,"RB","CHI",9.9
18,"00-0036973","Travis Etienne",52,3.5,31.1,"RB","JAX",9.8
19,"00-0039384","Tyrone Tracy Jr.",54,3.2,32.8,"RB","NYG",9.7
20,"00-0033897","Joe Mixon",52,4,32.2,"RB","HOU",9.5
21,"00-0039361","Bucky Irving",53,3.3,33.2,"RB","TB",9.4
22,"00-0038134","Kenneth Walker III",53,4.8,33.6,"RB","SEA",9.3
23,"00-0035700","Josh Jacobs",43,3.1,27.5,"RB","GB",9.2
24,"00-0039165","Zach Charbonnet",52,3.5,33.6,"RB","SEA",9.1
25,"00-0036875","Rhamondre Stevenson",43,3.1,29.6,"RB","NE",8.5
26,"00-0033699","Austin Ekeler",41,3.4,29.9,"RB","WAS",8.1
27,"00-0034972","Alexander Mattison",48,4,34.9,"RB","LV",8.1
28,"00-0036139","Rico Dowdle",50,3.3,36.8,"RB","DAL",8
29,"00-0032104","Ameer Abdullah",47,3.6,34.9,"RB","LV",7.9
30,"00-0036158","J.K. Dobbins",38,2.9,29.1,"RB","LAC",7.7
31,"00-0037248","James Cook",38,2.9,29.2,"RB","BUF",7.7
32,"00-0037840","Kyren Williams",40,3.1,32,"RB","LA",7.4
33,"00-0035685","David Montgomery",38,2.7,30.8,"RB","DET",7.3
34,"00-0039032","Tyjae Spears",35,3.5,30,"RB","TEN",6.9
35,"00-0037267","Jerome Ford",43,3.6,37.7,"RB","CLE",6.7
36,"00-0036223","Jonathan Taylor",31,2.8,29.1,"RB","IND",6.3
37,"00-0033526","Samaje Perine",35,2.2,33.8,"RB","KC",6.1
38,"00-0029892","Kyle Juszczyk",31,2.4,30.2,"RB","SF",6
39,"00-0035243","Miles Sanders",30,3,30.5,"RB","CAR",5.8
40,"00-0036328","Antonio Gibson",29,2.2,29.6,"RB","NE",5.8
41,"00-0033923","Kareem Hunt",32,2.9,33.8,"RB","KC",5.6
42,"00-0036919","Kenneth Gainwell",22,1.6,24.6,"RB","PHI",5.3
43,"00-0033854","Dare Ogunbowale",28,2.3,32.2,"RB","HOU",5.1
44,"00-0035537","Ty Johnson",25,1.9,29.2,"RB","BUF",5
45,"00-0037746","Brian Robinson",25,2.1,29.9,"RB","WAS",4.9
46,"00-0038794","Jaleel McLaughlin",27,2.2,32.4,"RB","DEN",4.9
47,"00-0032764","Derrick Henry",22,1.7,26.9,"RB","BAL",4.8
48,"00-0039794","Braelon Allen",27,2.1,34.9,"RB","NYJ",4.5
49,"00-0035250","Devin Singletary",24,2,32.8,"RB","NYG",4.3
50,"00-0036251","Zack Moss",27,3.4,37.1,"RB","CIN",4.3
51,"00-0031687","Raheem Mostert",24,2.4,33.7,"RB","MIA",4.2
52,"00-0038705","Emari Demercado",20,2.5,30.8,"RB","ARI",3.8
53,"00-0039021","Roschon Johnson",20,2.9,31.5,"RB","CHI",3.7
54,"00-0038098","Pierre Strong",22,2.4,37.7,"RB","CLE",3.4
