opponent_team,season,game_id,rn,passing_yards_season_avg,passing_tds_season_avg,interceptions_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receiving_yards_season_avg,receiving_tds_season_avg,fumbles_lost_season_avg
ARI,2014,2014_01_SD_ARI,1,,,,,,,,
ARI,2014,2014_02_ARI_NYG,2,238.0,1.0,1.0,52.0,1.0,238.0,1.0,0.0
ARI,2014,2014_03_SF_ARI,3,257.5,1.5,1.5,66.5,0.5,257.5,1.5,0.5
ARI,2014,2014_05_ARI_DEN,4,253.33333333333334,1.3333333333333333,1.0,71.66666666666667,0.6666666666666666,253.33333333333334,1.3333333333333333,0.3333333333333333
ARI,2014,2014_06_WAS_ARI,5,309.75,2.0,1.25,76.75,0.75,309.75,2.0,0.25
ARI,2014,2014_07_ARI_OAK,6,318.6,2.0,1.6,75.8,0.6,318.6,2.0,0.4
ARI,2014,2014_08_PHI_ARI,7,294.3333333333333,1.6666666666666667,1.3333333333333333,72.5,0.6666666666666666,294.3333333333333,1.6666666666666667,0.3333333333333333
ARI,2014,2014_09_ARI_DAL,8,311.0,1.7142857142857142,1.4285714285714286,77.85714285714286,0.5714285714285714,311.0,1.7142857142857142,0.42857142857142855
ARI,2014,2014_10_STL_ARI,9,295.0,1.625,1.5,79.625,0.5,295.0,1.625,0.375
ARI,2014,2014_11_DET_ARI,10,286.22222222222223,1.5555555555555556,1.5555555555555556,78.55555555555556,0.5555555555555556,286.22222222222223,1.5555555555555556,0.4444444444444444
ARI,2014,2014_12_ARI_SEA,11,275.9,1.4,1.5,80.5,0.5,275.9,1.4,0.4
ARI,2014,2014_13_ARI_ATL,12,270.0,1.3636363636363635,1.3636363636363635,84.45454545454545,0.45454545454545453,270.0,1.3636363636363635,0.36363636363636365
ARI,2014,2014_14_KC_ARI,13,277.5833333333333,1.4166666666666667,1.3333333333333333,89.25,0.4166666666666667,277.5833333333333,1.4166666666666667,0.3333333333333333
ARI,2014,2014_15_ARI_STL,14,278.7692307692308,1.3846153846153846,1.3076923076923077,92.07692307692308,0.46153846153846156,278.7692307692308,1.3846153846153846,0.38461538461538464
ARI,2014,2014_16_SEA_ARI,15,275.2142857142857,1.2857142857142858,1.2857142857142858,90.42857142857143,0.42857142857142855,275.2142857142857,1.2857142857142858,0.42857142857142855
ARI,2014,2014_17_ARI_SF,16,279.46666666666664,1.3333333333333333,1.2,102.2,0.6,279.46666666666664,1.3333333333333333,0.4
ARI,2015,2015_01_NO_ARI,17,,,,,,,,
