game_id,opponent_team,receiving_yards,receiving_tds,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,fumbles_lost,rn,passing_yards_last5,passing_tds_last5,interceptions_last5,rushing_yards_last5,rushing_tds_last5,receiving_yards_last5,receiving_tds_last5,fumbles_lost_last5
2016_16_ARI_SEA,ARI,350.0,4,350.0,4,0.0,78.0,0,1.0,47,268.0,2.2,0.6,97.6,1.4,268.0,2.2,0.8
2016_17_ARI_LA,ARI,143.0,0,143.0,0,2.0,52.0,0,1.0,48,304.2,2.8,0.6,98.8,1.2,304.2,2.8,0.8
2017_01_ARI_DET,ARI,292.0,4,292.0,4,1.0,82.0,0,0.0,49,279.0,2.4,0.8,86.0,0.6,279.0,2.4,1.0
2017_02_ARI_IND,ARI,216.0,0,216.0,0,1.0,76.0,1,0.0,50,283.2,3.0,0.8,85.0,0.4,283.2,3.0,0.8
2017_03_DAL_ARI,ARI,183.0,2,183.0,2,0.0,99.0,2,0.0,51,278.0,2.4,0.8,83.6,0.6,278.0,2.4,0.6
2017_04_SF_ARI,ARI,234.0,0,234.0,0,1.0,95.0,0,0.0,52,236.8,2.0,0.8,77.4,0.6,236.8,2.0,0.4
2017_05_ARI_PHI,ARI,304.0,4,304.0,4,1.0,122.0,0,0.0,53,213.6,1.2,1.0,80.8,0.6,213.6,1.2,0.2
2017_06_TB_ARI,ARI,351.0,3,351.0,3,2.0,70.0,1,0.0,54,245.8,2.0,0.8,94.8,0.6,245.8,2.0,0.0
2017_07_ARI_LA,ARI,235.0,1,235.0,1,1.0,197.0,2,0.0,55,257.6,1.8,1.0,92.4,0.8,257.6,1.8,0.0
2017_09_ARI_SF,ARI,294.0,0,294.0,0,1.0,63.0,1,1.0,56,261.4,2.0,1.0,116.6,1.0,261.4,2.0,0.0
2017_10_SEA_ARI,ARI,238.0,2,238.0,2,0.0,75.0,0,0.0,57,283.6,1.6,1.2,109.4,0.8,283.6,1.6,0.2
2017_11_ARI_HOU,ARI,230.0,2,230.0,2,1.0,134.0,2,1.0,58,284.4,2.0,1.0,105.4,0.8,284.4,2.0,0.2
2017_12_JAX_ARI,ARI,160.0,0,160.0,0,1.0,91.0,2,1.0,59,269.6,1.6,1.0,107.8,1.2,269.6,1.6,0.4
2017_13_LA_ARI,ARI,220.0,2,220.0,2,1.0,90.0,0,0.0,60,231.4,1.0,0.8,112.0,1.4,231.4,1.0,0.6
2017_14_TEN_ARI,ARI,159.0,0,159.0,0,2.0,65.0,1,0.0,61,228.4,1.2,0.8,90.6,1.0,228.4,1.2,0.6
2017_15_ARI_WAS,ARI,196.0,2,196.0,2,0.0,31.0,0,1.0,62,201.4,1.2,1.0,91.0,1.0,201.4,1.2,0.4
2017_16_NYG_ARI,ARI,263.0,0,263.0,0,2.0,43.0,0,1.0,63,193.0,1.2,1.0,82.2,1.0,193.0,1.2,0.6
2017_17_ARI_SEA,ARI,221.0,2,221.0,2,0.0,101.0,0,0.0,64,199.6,0.8,1.2,64.0,0.6,199.6,0.8,0.6
2018_01_WAS_ARI,ARI,255.0,2,255.0,2,0.0,182.0,1,1.0,65,211.8,1.2,1.0,66.0,0.2,211.8,1.2,0.4
2018_02_ARI_LA,ARI,354.0,1,354.0,1,1.0,90.0,3,0.0,66,218.8,1.2,0.8,84.4,0.4,218.8,1.2,0.6
2018_03_CHI_ARI,ARI,220.0,0,220.0,0,1.0,122.0,1,1.0,67,257.8,1.4,0.6,89.4,0.8,257.8,1.4,0.6
2018_04_SEA_ARI,ARI,172.0,0,172.0,0,0.0,171.0,2,0.0,68,262.6,1.0,0.8,107.6,1.0,262.6,1.0,0.6
2018_05_ARI_SF,ARI,349.0,2,349.0,2,2.0,147.0,1,3.0,69,244.4,1.0,0.4,133.2,1.4,244.4,1.0,0.4
2018_06_ARI_MIN,ARI,233.0,1,233.0,1,1.0,195.0,2,1.0,70,270.0,1.0,0.8,142.4,1.6,270.0,1.0,1.0
2018_07_DEN_ARI,ARI,189.0,2,189.0,2,1.0,131.0,2,0.0,71,265.6,0.8,1.0,145.0,1.8,265.6,0.8,1.0
2018_08_SF_ARI,ARI,190.0,1,190.0,1,0.0,107.0,0,0.0,72,232.6,1.0,1.0,153.2,1.6,232.6,1.0,1.0
2018_10_ARI_KC,ARI,249.0,2,249.0,2,0.0,118.0,1,0.0,73,226.6,1.2,0.8,150.2,1.4,226.6,1.2,0.8
2018_11_OAK_ARI,ARI,192.0,2,192.0,2,0.0,152.0,0,0.0,74,242.0,1.6,0.8,139.6,1.2,242.0,1.6,0.8
2018_12_ARI_LAC,ARI,259.0,3,259.0,3,0.0,178.0,3,1.0,75,210.6,1.6,0.4,140.6,1.0,210.6,1.6,0.2
2018_13_ARI_GB,ARI,233.0,1,233.0,1,0.0,98.0,1,0.0,76,215.8,2.0,0.2,137.2,1.2,215.8,2.0,0.2
2018_14_DET_ARI,ARI,101.0,0,101.0,0,0.0,122.0,1,1.0,77,224.6,1.8,0.0,130.6,1.0,224.6,1.8,0.2
2018_15_ARI_ATL,ARI,231.0,2,231.0,2,0.0,215.0,2,0.0,78,206.8,1.6,0.0,133.6,1.2,206.8,1.6,0.4
2018_16_LA_ARI,ARI,216.0,1,216.0,1,0.0,269.0,3,1.0,79,203.2,1.6,0.0,153.0,1.4,203.2,1.6,0.4
2018_17_ARI_SEA,ARI,152.0,1,152.0,1,1.0,182.0,2,0.0,80,208.0,1.4,0.0,176.4,2.0,208.0,1.4,0.6
2019_01_DET_ARI,ARI,385.0,3,385.0,3,0.0,116.0,0,1.0,81,186.6,1.0,0.2,177.2,1.8,186.6,1.0,0.4
2019_02_ARI_BAL,ARI,272.0,2,272.0,2,0.0,182.0,0,0.0,82,217.0,1.4,0.2,180.8,1.6,217.0,1.4,0.6
2019_03_CAR_ARI,ARI,261.0,4,261.0,4,0.0,173.0,1,1.0,83,251.2,1.8,0.2,192.8,1.4,251.2,1.8,0.4
2019_04_SEA_ARI,ARI,240.0,1,240.0,1,0.0,115.0,1,0.0,84,257.2,2.2,0.2,184.4,1.2,257.2,2.2,0.6
2019_05_ARI_CIN,ARI,262.0,2,262.0,2,0.0,108.0,0,0.0,85,262.0,2.2,0.2,153.6,0.8,262.0,2.2,0.4
2019_06_ATL_ARI,ARI,356.0,4,356.0,4,0.0,103.0,0,0.0,86,284.0,2.4,0.0,138.8,0.4,284.0,2.4,0.4
2019_07_ARI_NYG,ARI,223.0,1,223.0,1,1.0,107.0,1,2.0,87,278.2,2.6,0.0,136.2,0.4,278.2,2.6,0.2
2019_08_ARI_NO,ARI,373.0,3,373.0,3,1.0,137.0,1,0.0,88,268.4,2.4,0.2,121.2,0.6,268.4,2.4,0.6
2019_09_SF_ARI,ARI,317.0,4,317.0,4,0.0,101.0,0,0.0,89,290.8,2.2,0.4,114.0,0.6,290.8,2.2,0.4
