ball_team,season,game_id,rn,completions_season_avg,completions_season_avg,attempts_season_avg,attempts_season_avg,passing_yards_season_avg,passing_tds_season_avg,carries_season_avg,carries_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,receptions_season_avg,receptions_season_avg,targets_season_avg,receiving_yards_season_avg,receiving_tds_season_avg
ARI,2014,2014_01_SD_ARI,1,,,,,,,,,,,,,,,
ARI,2014,2014_02_ARI_NYG,2,24.0,24.0,37.0,37.0,304.0,2.0,26.0,26.0,109.0,0.0,24.0,24.0,36.0,304.0,2.0
ARI,2014,2014_03_SF_ARI,3,19.0,19.0,33.0,33.0,235.5,1.0,27.0,27.0,116.5,0.5,19.0,19.0,32.0,235.5,1.0
ARI,2014,2014_05_ARI_DEN,4,19.0,19.0,33.333333333333336,33.333333333333336,241.66666666666666,1.3333333333333333,27.0,27.0,105.66666666666667,0.3333333333333333,19.0,19.0,32.666666666666664,241.66666666666666,1.3333333333333333
ARI,2014,2014_06_WAS_ARI,5,17.25,17.25,33.5,33.5,231.0,1.25,25.0,25.0,88.5,0.5,17.25,17.25,33.0,231.0,1.25
ARI,2014,2014_07_ARI_OAK,6,19.4,19.4,35.6,35.6,234.8,1.4,24.6,24.6,85.6,0.4,19.4,19.4,34.8,234.8,1.4
ARI,2014,2014_08_PHI_ARI,7,19.833333333333332,19.833333333333332,34.833333333333336,34.833333333333336,237.83333333333334,1.5,26.666666666666668,26.666666666666668,91.83333333333333,0.5,19.833333333333332,19.833333333333332,34.166666666666664,237.83333333333334,1.5
ARI,2014,2014_09_ARI_DAL,8,19.857142857142858,19.857142857142858,35.857142857142854,35.857142857142854,250.85714285714286,1.5714285714285714,26.142857142857142,26.142857142857142,88.85714285714286,0.5714285714285714,19.857142857142858,19.857142857142858,35.0,250.85714285714286,1.5714285714285714
ARI,2014,2014_10_STL_ARI,9,20.125,20.125,35.625,35.625,250.625,1.75,26.5,26.5,90.5,0.625,20.125,20.125,34.875,250.625,1.75
ARI,2014,2014_11_DET_ARI,10,21.0,21.0,36.22222222222222,36.22222222222222,259.0,1.6666666666666667,26.0,26.0,83.55555555555556,0.6666666666666666,21.0,21.0,35.55555555555556,259.0,1.6666666666666667
ARI,2014,2014_12_ARI_SEA,11,21.0,21.0,35.8,35.8,263.7,1.7,26.0,26.0,79.8,0.6,21.0,21.0,35.2,263.7,1.7
ARI,2014,2014_13_ARI_ATL,12,20.363636363636363,20.363636363636363,34.90909090909091,34.90909090909091,253.27272727272728,1.5454545454545454,25.454545454545453,25.454545454545453,78.36363636363636,0.5454545454545454,20.363636363636363,20.363636363636363,34.36363636363637,253.27272727272728,1.5454545454545454
ARI,2014,2014_14_KC_ARI,13,20.666666666666668,20.666666666666668,35.25,35.25,256.6666666666667,1.5,24.25,24.25,74.75,0.5,20.666666666666668,20.666666666666668,34.75,256.6666666666667,1.5
ARI,2014,2014_15_ARI_STL,14,20.23076923076923,20.23076923076923,34.84615384615385,34.84615384615385,255.30769230769232,1.4615384615384615,24.923076923076923,24.923076923076923,79.84615384615384,0.46153846153846156,20.23076923076923,20.23076923076923,34.30769230769231,255.30769230769232,1.4615384615384615
ARI,2014,2014_16_SEA_ARI,15,19.928571428571427,19.928571428571427,34.5,34.5,247.0,1.3571428571428572,25.5,25.5,84.35714285714286,0.42857142857142855,19.928571428571427,19.928571428571427,34.0,247.0,1.3571428571428572
ARI,2014,2014_17_ARI_SF,16,19.8,19.8,35.2,35.2,244.93333333333334,1.2666666666666666,24.8,24.8,80.66666666666667,0.4,19.8,19.8,34.733333333333334,244.93333333333334,1.2666666666666666
ARI,2015,2015_01_NO_ARI,17,,,,,,,,,,,,,,,
ARI,2015,2015_02_ARI_CHI,18,19.0,19.0,32.0,32.0,307.0,3.0,25.0,25.0,120.0,1.0,19.0,19.0,32.0,307.0,3.0
ARI,2015,2015_03_SF_ARI,19,18.0,18.0,28.0,28.0,246.0,3.5,26.5,26.5,117.5,1.0,18.0,18.0,27.5,246.0,3.5
ARI,2015,2015_04_STL_ARI,20,18.666666666666668,18.666666666666668,29.333333333333332,29.333333333333332,267.6666666666667,3.0,30.0,30.0,124.66666666666667,1.3333333333333333,18.666666666666668,18.666666666666668,28.666666666666668,267.6666666666667,3.0
ARI,2015,2015_05_ARI_DET,21,21.25,21.25,33.5,33.5,288.75,2.5,27.75,27.75,121.75,1.0,21.25,21.25,32.75,288.75,2.5
ARI,2015,2015_06_ARI_PIT,22,19.4,19.4,30.4,30.4,265.2,2.6,27.2,27.2,134.8,1.4,19.4,19.4,29.8,265.2,2.6
ARI,2015,2015_07_BAL_ARI,23,21.0,21.0,32.833333333333336,32.833333333333336,291.1666666666667,2.3333333333333335,26.0,26.0,121.5,1.1666666666666667,21.0,21.0,32.166666666666664,291.1666666666667,2.3333333333333335
ARI,2015,2015_08_ARI_CLE,24,20.857142857142858,20.857142857142858,32.285714285714285,32.285714285714285,288.85714285714283,2.2857142857142856,26.285714285714285,26.285714285714285,125.57142857142857,1.1428571428571428,20.857142857142858,20.857142857142858,31.571428571428573,288.85714285714283,2.2857142857142856
ARI,2015,2015_10_ARI_SEA,25,21.125,21.125,33.0,33.0,299.5,2.5,27.75,27.75,124.75,1.0,21.125,21.125,32.25,299.5,2.5
ARI,2015,2015_11_CIN_ARI,26,22.0,22.0,34.55555555555556,34.55555555555556,306.55555555555554,2.5555555555555554,28.333333333333332,28.333333333333332,123.88888888888889,1.0,22.0,22.0,33.666666666666664,306.55555555555554,2.5555555555555554
ARI,2015,2015_12_ARI_SF,27,21.8,21.8,34.2,34.2,307.6,2.7,28.0,28.0,119.7,0.9,21.8,21.8,33.3,307.6,2.7
ARI,2015,2015_13_ARI_STL,28,22.0,22.0,34.72727272727273,34.72727272727273,304.27272727272725,2.4545454545454546,28.09090909090909,28.09090909090909,115.18181818181819,1.0,22.0,22.0,33.90909090909091,304.27272727272725,2.4545454545454546
ARI,2015,2015_14_MIN_ARI,29,22.416666666666668,22.416666666666668,35.25,35.25,309.0833333333333,2.4166666666666665,28.75,28.75,120.16666666666667,1.0,22.416666666666668,22.416666666666668,34.416666666666664,309.0833333333333,2.4166666666666665
ARI,2015,2015_15_ARI_PHI,30,22.615384615384617,22.615384615384617,35.23076923076923,35.23076923076923,309.15384615384613,2.3846153846153846,28.76923076923077,28.76923076923077,118.38461538461539,0.9230769230769231,22.615384615384617,22.615384615384617,34.46153846153846,309.15384615384613,2.3846153846153846
ARI,2015,2015_16_GB_ARI,31,22.428571428571427,22.428571428571427,35.07142857142857,35.07142857142857,306.64285714285717,2.2857142857142856,29.5,29.5,126.35714285714286,1.0714285714285714,22.428571428571427,22.428571428571427,34.285714285714285,306.64285714285717,2.2857142857142856
ARI,2015,2015_17_SEA_ARI,32,22.2,22.2,34.6,34.6,304.1333333333333,2.2666666666666666,29.266666666666666,29.266666666666666,126.0,1.0666666666666667,22.2,22.2,33.8,304.1333333333333,2.2666666666666666
ARI,2016,2016_01_NE_ARI,33,,,,,,,,,,,,,,,
ARI,2016,2016_02_TB_ARI,34,24.0,24.0,37.0,37.0,271.0,2.0,19.0,19.0,92.0,1.0,24.0,24.0,37.0,271.0,2.0
ARI,2016,2016_03_ARI_BUF,35,21.0,21.0,35.5,35.5,293.0,2.5,24.5,24.5,98.5,1.0,21.0,21.0,35.5,293.0,2.5
ARI,2016,2016_04_LA_ARI,36,22.666666666666668,22.666666666666668,40.333333333333336,40.333333333333336,291.0,1.6666666666666667,23.666666666666668,23.666666666666668,95.0,1.3333333333333333,22.666666666666668,22.666666666666668,40.333333333333336,291.0,1.6666666666666667
ARI,2016,2016_05_ARI_SF,37,23.75,23.75,42.0,42.0,299.5,1.5,24.0,24.0,100.75,1.0,23.75,23.75,41.5,299.5,1.5
ARI,2016,2016_06_NYJ_ARI,38,21.2,21.2,39.2,39.2,264.4,1.6,26.6,26.6,115.0,1.2,21.2,21.2,38.6,264.4,1.6
ARI,2016,2016_07_SEA_ARI,39,21.666666666666668,21.666666666666668,38.5,38.5,257.8333333333333,1.5,28.0,28.0,124.33333333333333,1.5,21.666666666666668,21.666666666666668,38.0,257.8333333333333,1.5
ARI,2016,2016_08_ARI_CAR,40,22.714285714285715,22.714285714285715,40.0,40.0,269.85714285714283,1.2857142857142858,29.285714285714285,29.285714285714285,125.42857142857143,1.2857142857142858,22.714285714285715,22.714285714285715,39.57142857142857,269.85714285714283,1.2857142857142858
ARI,2016,2016_10_SF_ARI,41,24.25,24.25,40.75,40.75,281.5,1.5,26.875,26.875,112.75,1.125,24.25,24.25,40.25,281.5,1.5
ARI,2016,2016_11_ARI_MIN,42,24.88888888888889,24.88888888888889,41.666666666666664,41.666666666666664,292.0,1.4444444444444444,26.444444444444443,26.444444444444443,109.11111111111111,1.1111111111111112,24.88888888888889,24.88888888888889,41.111111111111114,292.0,1.4444444444444444
ARI,2016,2016_12_ARI_ATL,43,24.4,24.4,41.3,41.3,282.6,1.5,26.6,26.6,111.7,1.1,24.4,24.4,40.7,282.6,1.5
ARI,2016,2016_13_WAS_ARI,44,24.454545454545453,24.454545454545453,41.63636363636363,41.63636363636363,283.1818181818182,1.5454545454545454,25.454545454545453,25.454545454545453,106.81818181818181,1.0,24.454545454545453,24.454545454545453,41.0,283.1818181818182,1.5454545454545454
