player_id,player_name,redzone_touches,redzone_yards,redzone_tds
00-0019596,Tom Brady,122,934.0,33.0
00-0022924,Ben Roethlisberger,103,714.0,23.0
00-0033106,Jared Goff,94,735.0,24.0
00-0026143,Matt Ryan,92,622.0,17.0
00-0020531,Drew Brees,92,746.0,21.0
00-0026498,Matthew Stafford,85,464.0,16.0
00-0029263,Russell Wilson,80,596.0,23.0
00-0023436,Alex Smith,79,468.0,15.0
00-0026158,Joe Flacco,77,350.0,13.0
00-0031407,Blake Bortles,73,532.0,21.0
00-0022942,Philip Rivers,73,478.0,15.0
00-0033077,Dak Prescott,72,482.0,18.0
00-0027939,Cam Newton,72,466.0,14.0
00-0029604,Kirk Cousins,72,536.0,17.0
00-0028986,Case Keenum,70,518.0,17.0
00-0032950,Carson Wentz,65,594.0,24.0
00-0028118,Tyrod Taylor,64,348.0,11.0
00-0032268,Marcus Mariota,63,438.0,9.0
00-0032156,Trevor Siemian,63,346.0,9.0
00-0027973,Andy Dalton,62,388.0,18.0
00-0024226,Jay Cutler,56,402.0,15.0
00-0022803,Eli Manning,54,418.0,14.0
00-0033119,Jacoby Brissett,53,246.0,6.0
00-0031503,Jameis Winston,49,406.0,12.0
00-0031280,Derek Carr,49,254.0,12.0
00-0031345,Jimmy Garoppolo,45,302.0,7.0
00-0021206,Josh McCown,43,296.0,8.0
00-0033899,DeShone Kizer,43,210.0,8.0
00-0021429,Carson Palmer,41,266.0,7.0
00-0023459,Aaron Rodgers,39,294.0,12.0
00-0029567,Nick Foles,34,182.0,7.0
00-0031064,Tom Savage,32,60.0,2.0
00-0031589,Brett Hundley,32,210.0,4.0
00-0023682,Ryan Fitzpatrick,31,194.0,6.0
00-0026625,Brian Hoyer,31,180.0,4.0
00-0033869,Mitchell Trubisky,29,154.0,5.0
00-0033537,Deshaun Watson,28,220.0,13.0
00-0030520,Mike Glennon,24,160.0,4.0
00-0027948,Blaine Gabbert,21,126.0,3.0
00-0025430,Drew Stanton,20,172.0,5.0
00-0029682,Brock Osweiler,20,128.0,3.0
00-0033936,C.J. Beathard,19,120.0,0.0
00-0025708,Matt Moore,13,70.0,2.0
00-0031568,Bryce Petty,12,6.0,1.0
00-0027854,Sam Bradford,11,112.0,3.0
00-0031076,David Fales,9,52.0,1.0
00-0028090,T.J. Yates,8,68.0,2.0
00-0032784,Kevin Hogan,7,22.0,1.0
00-0033108,Paxton Lynch,7,50.0,1.0
00-0033958,Nathan Peterman,7,42.0,2.0
00-0030526,EJ Manuel,6,0.0,0.0
00-0033873,Patrick Mahomes,5,44.0,0.0
00-0032245,Sean Mannion,4,10.0,0.0
00-0030565,Geno Smith,4,30.0,1.0
00-0030524,Landry Jones,3,62.0,1.0
00-0028012,Ryan Mallett,3,16.0,2.0
00-0031288,AJ McCarron,2,22.0,0.0
00-0028595,Scott Tolzien,2,0.0,0.0
00-0033662,Cooper Rush,2,4.0,0.0
00-0024264,Kellen Clemens,2,6.0,1.0
00-0023645,Derek Anderson,1,0.0,0.0
00-0023662,Matt Cassel,1,22.0,1.0
