"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0039910","Jayden Daniels",149,8.8,31.1,"QB","WAS",28.2
2,"00-0034796","Lamar Jackson",140,8.2,32.6,"QB","BAL",25.2
3,"00-0036389","Jalen Hurts",152,10.1,36.8,"QB","PHI",24.3
4,"00-0034857","Josh Allen",102,6.4,28.9,"QB","BUF",20.8
5,"00-0039732","Bo Nix",92,5.4,27.1,"QB","DEN",20
6,"00-0039918","Caleb Williams",81,4.8,25.4,"QB","CHI",18.8
7,"00-0039164","Anthony Richardson",87,7.9,29.4,"QB","IND",17.4
8,"00-0035228","Kyler Murray",80,4.7,27.5,"QB","ARI",17.1
9,"00-0035710","Daniel Jones",68,6.8,25,"QB","NYG",16
10,"00-0036355","Justin Herbert",70,4.4,27.4,"QB","LAC",15.1
11,"00-0034869","Sam Darnold",67,4.5,26.9,"QB","MIN",14.7
12,"00-0037834","Brock Purdy",66,4.4,26.9,"QB","SF",14.4
13,"00-0030565","Geno Smith",53,3.1,22.5,"QB","SEA",13.8
14,"00-0033873","Patrick Mahomes",58,3.9,26.5,"QB","KC",12.9
15,"00-0034855","Baker Mayfield",60,3.8,28.4,"QB","TB",12.4
16,"00-0039851","Drake Maye",54,4.5,26.2,"QB","NE",12.1
17,"00-0039163","C.J. Stroud",52,3.2,25.6,"QB","HOU",11.9
18,"00-0036945","Justin Fields",62,6.2,31.4,"QB","PIT",11.6
19,"00-0036442","Joe Burrow",42,2.6,22.4,"QB","CIN",11
20,"00-0039150","Bryce Young",43,3.3,24.2,"QB","CAR",10.5
21,"00-0039152","Will Levis",45,3.8,26.5,"QB","TEN",10
22,"00-0029263","Russell Wilson",43,3.9,31.4,"QB","PIT",8.1
23,"00-0033537","Deshaun Watson",31,4.4,23,"QB","CLE",7.9
24,"00-0036972","Mac Jones",28,4,24.4,"QB","JAX",6.8
25,"00-0026498","Matthew Stafford",30,2.7,26.5,"QB","LA",6.7
26,"00-0033106","Jared Goff",35,2.2,31.5,"QB","DET",6.5
27,"00-0031503","Jameis Winston",25,2.5,23,"QB","CLE",6.4
28,"00-0036971","Trevor Lawrence",26,2.6,24.4,"QB","JAX",6.3
29,"00-0033662","Cooper Rush",26,2.4,25.2,"QB","DAL",6.1
30,"00-0023459","Aaron Rodgers",22,2.4,21.5,"QB","NYJ",6
31,"00-0035993","Tyler Huntley",26,5.2,26.4,"QB","MIA",5.8
32,"00-0034771","Mason Rudolph",25,3.6,26.5,"QB","TEN",5.5
33,"00-0038579","Aidan O'Connell",21,4.2,22.5,"QB","LV",5.5
34,"00-0038583","Dorian Thompson-Robinson",21,4.2,23,"QB","CLE",5.4
35,"00-0035289","Gardner Minshew",19,1.9,22.5,"QB","LV",5
36,"00-0036264","Jordan Love",25,2.3,31.1,"QB","GB",4.7
37,"00-0029604","Kirk Cousins",23,2.3,29.2,"QB","ATL",4.6
38,"00-0035704","Drew Lock",18,3,25,"QB","NYG",4.2
39,"00-0039376","Spencer Rattler",18,3.6,26.1,"QB","NO",4.1
40,"00-0031280","Derek Carr",17,2.1,26.1,"QB","NO",3.8
41,"00-0036212","Tua Tagovailoa",17,1.9,26.4,"QB","MIA",3.8
42,"00-0038128","Malik Willis",20,4,31.1,"QB","GB",3.8
43,"00-0033869","Mitchell Trubisky",17,2.4,28.9,"QB","BUF",3.5
44,"00-0032268","Marcus Mariota",18,6,31.1,"QB","WAS",3.4
45,"00-0033119","Jacoby Brissett",15,3,26.2,"QB","NE",3.4
