Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
17,Patrick Mahomes II,KC,12,QB1,15.0,19.0,,18.3,00-0033873,QB,2020,0.953125,24,2017,0.9746666666666668,58.655083,0.22699999999999998,10.0,19.9,--
31,Josh Allen,BUF,7,QB2,26.0,36.0,,31.3,00-0034857,QB,2020,1.0,24,2018,0.950625,71.877106,0.23600000000000002,7.0,22.2,--
39,Kyler Murray,ARI,12,QB3,43.0,39.0,,40.3,00-0035228,QB,2020,1.0,23,2019,0.965625,95.57369,0.047,1.0,34.6,--
43,Lamar Jackson,BAL,8,QB4,39.0,46.0,,44.5,00-0034796,QB,2020,0.9583333333333334,23,2018,0.942,40.15088,0.013000000000000001,32.0,12.5,--
55,Dak Prescott,DAL,7,QB5,55.0,58.0,,57.3,00-0033077,QB,2020,0.8625,27,2016,0.93,135.28752,0.21899999999999997,135.0,3.4,--
57,Russell Wilson,NYG,10,QB6,53.0,55.0,,58.8,00-0029263,QB,2020,1.0,31,2012,0.984375,62.098007,0.18600000000000003,75.0,7.1,--
58,Aaron Rodgers,PIT,7,QB7,57.0,63.0,,59.3,00-0023459,QB,2020,0.9547738693467337,36,2005,0.97875,42.69956,0.18899999999999997,24.0,14.4,--
60,Justin Herbert,LAC,7,QB8,59.0,61.0,,62.5,00-0036355,QB,2020,1.0,22,2020,0.9966666666666666,68.39656,0.034,6.0,23.2,--
70,Tom Brady,,,QB9,65.0,79.0,,73.8,00-0019596,QB,2020,1.0,43,2000,0.95875,91.31301,0.13699999999999998,199.0,0.9,--
87,Matthew Stafford,LAR,11,QB10,99.0,88.0,,91.3,00-0026498,QB,2020,0.8051282051282052,32,2009,0.915,44.418056,0.162,1.0,34.6,--
90,Jalen Hurts,PHI,14,QB11,77.0,104.0,,94.5,00-0036389,QB,2020,0.9375,22,2020,0.3066666666666667,128.06265,0.008,53.0,9.3,--
92,Ryan Tannehill,,,QB12,96.0,102.0,,96.5,00-0029701,QB,2020,0.8926174496644296,32,2012,0.979375,58.41029,0.149,8.0,21.4,--
111,Joe Burrow,CIN,10,QB13,117.0,125.0,,114.5,00-0036442,QB,2020,0.625,23,2020,0.973,62.72304,0.046,1.0,34.6,--
127,Trevor Lawrence,JAC,7,QB14,136.0,120.0,,132.5,00-0036971,QB,2020,--,20,2021,-1.0,--,0.05,1.0,34.6,--
133,Baker Mayfield,TB,9,QB15,134.0,147.0,,140.5,00-0034855,QB,2020,1.0,25,2018,0.981875,71.75826,0.046,1.0,34.6,--
137,Matt Ryan,,,QB16,145.0,168.0,,145.3,00-0026143,QB,2020,0.9949748743718593,35,2008,0.991875,65.87396,0.16899999999999998,3.0,27.6,--
138,Justin Fields,NYJ,6,QB17,172.0,136.0,,147.3,00-0036945,QB,2020,--,21,2021,-1.0,--,0.026000000000000002,11.0,19.3,--
141,Trey Lance,LAC,7,QB18,209.0,131.0,,151.5,00-0037012,QB,2020,--,20,2021,-1.0,--,0.047,3.0,27.6,--
156,Mac Jones,SF,6,QB19,140.0,176.0,,164.5,00-0036972,QB,2020,--,21,2021,-1.0,--,0.021,15.0,17.4,--
161,Kirk Cousins,ATL,6,QB20,158.0,171.0,,167.3,00-0029604,QB,2020,1.0,32,2012,0.998125,60.06724,0.166,102.0,5.1,--
162,Tua Tagovailoa,MIA,14,QB21,161.0,197.0,,169.8,00-0036212,QB,2020,0.9375,22,2020,0.85,64.14774,0.038,5.0,24.3,--
167,Ben Roethlisberger,,,QB22,144.0,213.0,,173.0,00-0022924,QB,2020,0.9230769230769231,38,2004,0.978,37.75723,0.077,11.0,19.3,--
168,Jameis Winston,NYG,10,QB23,177.0,181.0,,173.0,00-0031503,QB,2020,0.9690721649484536,26,2015,0.22,1.7523999,0.03,1.0,34.6,--
181,Ryan Fitzpatrick ,,,QB24,216.0,199.0,,189.8,00-0023682,QB,2020,0.9187817258883249,37,2005,0.8333333333333334,76.540245,0.055,250.0,0.0,--
182,Zach Wilson,MIA,14,QB25,182.0,190.0,,189.8,00-0037013,QB,2020,--,21,2021,-1.0,--,0.048,2.0,30.2,--
199,Deshaun Watson,CLE,13,QB26,162.0,202.0,,208.3,00-0033537,QB,2020,0.859375,24,2017,0.9975,35.201965,0.19699999999999998,12.0,18.8,--
201,Derek Carr,,,QB27,149.0,234.0,,187.7,00-0031280,QB,2020,1.0,29,2014,0.935625,70.493965,0.15,36.0,11.8,--
220,Sam Darnold,SEA,9,QB28,189.0,232.0,,215.0,00-0034869,QB,2020,0.8958333333333334,23,2018,0.9958333333333332,44.513706,0.043,3.0,27.6,--
225,Daniel Jones,IND,14,QB29,219.0,240.0,,220.7,00-0035710,QB,2020,0.875,23,2019,0.9664285714285716,28.234182,0.034,6.0,23.2,--
