"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0034796","Lamar Jackson",147,9.8,34.3,"QB","BAL",26.8
2,"00-0027939","Cam Newton",101,7.2,26.1,"QB","CAR",24.2
3,"00-0033537","Deshaun Watson",99,6.2,29.5,"QB","HOU",21
4,"00-0034857","Josh Allen",89,7.4,29.2,"QB","BUF",19
5,"00-0033077","Dak Prescott",76,5.1,27.5,"QB","DAL",17.3
6,"00-0033873","Patrick Mahomes",61,3.8,24.2,"QB","KC",15.7
7,"00-0033869","Mitchell Trubisky",68,4.9,29.2,"QB","CHI",14.5
8,"00-0032268","Marcus Mariota",64,4.6,28.4,"QB","TEN",14.1
9,"00-0031407","Blake Bortles",58,4.5,26,"QB","JAX",13.9
10,"00-0023459","Aaron Rodgers",44,3.1,20.9,"QB","GB",13.2
11,"00-0031503","Jameis Winston",49,4.5,24.4,"QB","TB",12.6
12,"00-0029263","Russell Wilson",67,4.5,33.4,"QB","SEA",12.5
13,"00-0029604","Kirk Cousins",44,2.9,22.3,"QB","MIN",12.3
14,"00-0029668","Andrew Luck",46,3.3,25.6,"QB","IND",11.2
15,"00-0034869","Sam Darnold",43,3.9,25.6,"QB","NYJ",10.5
16,"00-0023436","Alex Smith",41,4.1,25.9,"QB","WAS",9.9
17,"00-0026143","Matt Ryan",33,2.2,21.9,"QB","ATL",9.4
18,"00-0034855","Baker Mayfield",39,3.5,25.8,"QB","CLE",9.4
19,"00-0033106","Jared Goff",43,2.7,28.9,"QB","LA",9.3
20,"00-0023682","Ryan Fitzpatrick",36,5.1,24.4,"QB","TB",9.2
21,"00-0022924","Ben Roethlisberger",31,2.2,21.6,"QB","PIT",9
22,"00-0029701","Ryan Tannehill",32,2.9,23.2,"QB","MIA",8.6
23,"00-0032950","Carson Wentz",34,3.1,25.1,"QB","PHI",8.5
24,"00-0033357","Taysom Hill",38,3.2,29.7,"QB","NO",8
25,"00-0032436","Jeff Driskel",25,3.1,22.4,"QB","CIN",7
26,"00-0028986","Case Keenum",27,2.5,24.7,"QB","DEN",6.8
27,"00-0020531","Drew Brees",31,2.6,29.7,"QB","NO",6.5
28,"00-0034343","Josh Rosen",23,1.9,22.2,"QB","ARI",6.5
29,"00-0026498","Matthew Stafford",25,1.9,25.3,"QB","DET",6.2
30,"00-0031280","Derek Carr",24,2.2,24.2,"QB","LV",6.2
31,"00-0026300","Josh Johnson",23,5.8,25.9,"QB","WAS",5.6
32,"00-0019596","Tom Brady",23,1.9,29.9,"QB","NE",4.8
33,"00-0033104","Cody Kessler",19,3.8,26,"QB","JAX",4.6
34,"00-0022942","Philip Rivers",18,1.8,25,"QB","LAC",4.5
35,"00-0027973","Andy Dalton",16,2.3,22.4,"QB","CIN",4.5
36,"00-0033319","Nick Mullens",19,2.7,26.6,"QB","SF",4.5
37,"00-0033936","C.J. Beathard",19,3.8,26.6,"QB","SF",4.5
38,"00-0022803","Eli Manning",15,1.7,22.2,"QB","NYG",4.2
39,"00-0028118","Tyrod Taylor",16,5.3,25.8,"QB","CLE",3.9
40,"00-0026158","Joe Flacco",19,2.4,34.3,"QB","BAL",3.5
