Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
28,Aaron Rodgers,PIT,7,QB1,22.0,,,30.0,,34.0,28.2,00-0023459,QB,2017,0.9403973509933775,33,2005,0.8671428571428572,70.49276,0.18899999999999997,24.0,14.4,--
47,Tom Brady,,,QB2,28.0,,,57.0,,59.0,47.8,00-0019596,QB,2017,1.0,40,2000,0.979375,55.88709,0.132,199.0,0.9,--
48,Deshaun Watson,CLE,11,QB3,50.0,,,47.0,,54.0,47.8,00-0033537,QB,2017,0.4375,21,2017,0.9342857142857144,115.88912,0.021,12.0,18.8,--
52,Russell Wilson,NYG,9,QB4,53.0,,,56.0,,53.0,54.4,00-0029263,QB,2017,1.0,28,2012,0.995,63.754486,0.153,75.0,7.1,--
59,Cam Newton ,,,QB5,46.0,,,65.0,,75.0,63.4,00-0027939,QB,2017,1.0,28,2011,0.985,77.29584,0.145,1.0,34.6,--
67,Drew Brees,,,QB6,69.0,,,76.0,,79.0,71.4,00-0020531,QB,2017,1.0,38,2001,0.99625,12.941386,0.141,32.0,12.5,--
77,Carson Wentz ,,,QB7,73.0,,,88.0,,77.0,81.2,00-0032950,QB,2017,0.90625,24,2016,0.9446153846153844,27.27936,0.043,2.0,30.2,--
87,Kirk Cousins,ATL,8,QB8,87.0,,,97.0,,93.0,88.0,00-0029604,QB,2017,1.0,29,2012,0.995625,57.35818,0.158,102.0,5.1,--
91,Andrew Luck,,,QB9,81.0,,,95.0,,114.0,92.0,00-0029668,QB,2017,0.92,27,2012,-1.0,--,0.158,1.0,34.6,--
95,Matthew Stafford,LAR,12,QB10,104.0,,,86.0,,103.0,97.0,00-0026498,QB,2017,0.7959183673469388,29,2009,0.99125,27.024422,0.162,1.0,34.6,--
97,Ben Roethlisberger,,,QB11,78.0,,,100.0,,108.0,100.6,00-0022924,QB,2017,1.0,35,2004,0.9886666666666668,55.870815,0.152,11.0,19.3,--
100,Jimmy Garoppolo,LAR,12,QB12,108.0,,,109.0,,102.0,105.2,00-0031345,QB,2017,1.0,25,2014,0.84,37.507957,0.155,62.0,8.3,--
103,Matt Ryan,,,QB13,99.0,,,105.0,,116.0,107.0,00-0026143,QB,2017,1.0,32,2008,1.0,14.529985,0.16899999999999998,3.0,27.6,--
106,Philip Rivers,,,QB14,118.0,,,111.0,,110.0,109.0,00-0022942,QB,2017,1.0,35,2004,0.96875,42.570774,0.145,4.0,25.8,--
113,Patrick Mahomes II,KC,12,QB15,122.0,,,120.0,,120.0,120.8,00-0033873,QB,2017,1.0,21,2017,0.94,,0.025,10.0,19.9,--
114,Jared Goff,DET,6,QB16,120.0,,,130.0,,111.0,121.0,00-0033106,QB,2017,1.0,22,2016,0.964,44.670395,0.045,1.0,34.6,--
121,Alex Smith ,,,QB17,116.0,,,153.0,,127.0,134.4,00-0023436,QB,2017,1.0,33,2005,1.0,67.81677,0.133,,0.0,--
128,Marcus Mariota,WAS,4,QB18,131.0,,,147.0,,124.0,137.4,00-0032268,QB,2017,0.9795918367346939,23,2015,0.9693333333333332,20.963417,0.042,2.0,30.2,--
131,Derek Carr,,,QB19,114.0,,,142.0,,143.0,138.4,00-0031280,QB,2017,1.0,26,2014,0.9753333333333332,44.018585,0.15,36.0,11.8,--
134,Dak Prescott,DAL,8,QB20,113.0,,,150.0,,141.0,141.8,00-0033077,QB,2017,1.0,24,2016,0.986875,91.65088,0.004,135.0,3.4,--
158,Mitchell Trubisky,BUF,11,QB21,155.0,,,218.0,,157.0,175.8,00-0033869,QB,2017,1.0,23,2017,1.0,28.833857,0.043,2.0,30.2,--
177,Jameis Winston,NYG,9,QB22,,,,171.0,,159.0,164.5,00-0031503,QB,2017,1.0,23,2015,0.893846153846154,70.2675,0.044000000000000004,1.0,34.6,--
189,Eli Manning,,,QB23,,,,193.0,,169.0,176.5,00-0022803,QB,2017,1.0,36,2004,0.9946666666666668,61.609646,0.147,1.0,34.6,--
195,Tyrod Taylor,NYJ,11,QB24,138.0,,,238.0,,196.0,196.8,00-0028118,QB,2017,1.0,28,2011,0.9373333333333332,43.42961,0.091,180.0,1.5,--
208,Blake Bortles,,,QB25,,,,206.0,,166.0,184.0,00-0031407,QB,2017,1.0,25,2014,0.98,58.623013,0.099,3.0,27.6,--
209,Andy Dalton,CAR,4,QB26,,,,190.0,,173.0,184.3,00-0027973,QB,2017,1.0,29,2011,0.969375,64.59814,0.12,35.0,12.0,--
211,Case Keenum,CHI,5,QB27,,,,209.0,,167.0,188.0,00-0028986,QB,2017,1.0,29,2012,-1.0,49.8274,0.102,,0.0,--
226,Ryan Tannehill,,,QB28,,,,237.0,,187.0,217.0,00-0029701,QB,2017,0.84,29,2012,-1.0,--,0.134,8.0,21.4,--
231,Joe Flacco,CLE,11,QB29,,,,248.0,,216.0,229.0,00-0026158,QB,2017,0.9241379310344827,32,2008,0.940625,36.141895,0.14300000000000002,18.0,16.2,--
234,Baker Mayfield,TB,5,QB30,,,,262.0,,243.0,235.7,00-0034855,QB,2017,--,22,2018,-1.0,--,0.046,1.0,34.6,--
249,Lamar Jackson,BAL,10,QB31,,,,311.0,,223.0,255.7,00-0034796,QB,2017,--,20,2018,-1.0,--,0.013000000000000001,32.0,12.5,--
251,Sam Darnold,SEA,7,QB32,,,,318.0,,254.0,256.7,00-0034869,QB,2017,--,20,2018,-1.0,--,0.043,3.0,27.6,--
255,Sam Bradford,,,QB33,,,,279.0,,255.0,261.7,00-0027854,QB,2017,0.8598130841121495,29,2010,0.685,290.40503,0.113,1.0,34.6,--
266,Nick Foles,,,QB34,,,,261.0,,282.0,276.0,00-0029567,QB,2017,0.8383838383838383,28,2012,0.4342857142857142,94.71996,0.08199999999999999,88.0,6.1,--
276,Josh Rosen,,,QB35,,,,341.0,,277.0,282.0,00-0034343,QB,2017,--,20,2018,-1.0,--,0.025,10.0,19.9,--
280,Josh Allen,BUF,11,QB36,,,,332.0,,275.0,285.0,00-0034857,QB,2017,--,21,2018,-1.0,--,0.03,7.0,22.2,--
355,Matt Barkley,,,QB37,,,,,,297.0,297.0,00-0030533,QB,2017,1.0,26,2013,-1.0,--,0.011000000000000001,98.0,5.4,--
364,Jacoby Brissett,ARI,9,QB38,,,,,,307.0,307.0,00-0033119,QB,2017,0.6875,24,2016,0.94875,35.08565,0.005,91.0,5.9,--
365,Josh McCown,,,QB39,,,,,,308.0,308.0,00-0021206,QB,2017,0.8260869565217391,38,2002,0.9676923076923076,74.73652,0.055999999999999994,81.0,6.6,--
367,AJ McCarron,,,QB40,,,,,,312.0,312.0,00-0031288,QB,2017,1.0,26,2014,0.1633333333333333,0.6272,0.027999999999999997,164.0,2.1,--
371,Ryan Fitzpatrick,,,QB41,,,,,,317.0,317.0,00-0023682,QB,2017,0.8993288590604027,34,2005,0.73,59.528152,0.019,250.0,0.0,--
376,Brian Hoyer,,,QB42,,,,,,323.0,323.0,00-0026625,QB,2017,0.890625,31,2009,-1.0,93.73744,0.036000000000000004,,0.0,--
394,Brock Osweiler,,,QB43,,,,,,342.0,342.0,00-0029682,QB,2017,1.0,26,2012,0.8099999999999999,67.41152,0.005,57.0,8.9,--
399,Tony Romo,,,QB44,,,,,,349.0,349.0,00-0021678,QB,2017,0.8211382113821138,37,2003,-1.0,--,0.146,,0.0,--
408,Landry Jones,,,QB45,,,,,,364.0,364.0,00-0030524,QB,2017,1.0,28,2013,0.3899999999999999,27.978533,0.004,115.0,4.4,--
413,C.J. Beathard,,,QB46,,,,,,374.0,374.0,00-0033936,QB,2017,1.0,23,2017,0.8171428571428571,35.010403,0.005,104.0,5.0,--
417,Teddy Bridgewater,TB,5,QB47,,,,,,378.0,378.0,00-0031237,QB,2017,0.6363636363636364,24,2014,0.14,,0.034,32.0,12.5,--
419,Johnny Manziel,,,QB48,,,,,,380.0,380.0,00-0031409,QB,2017,0.5151515151515151,24,2014,-1.0,--,0.016,22.0,14.9,--
421,Mark Sanchez,,,QB49,,,,,,383.0,383.0,00-0026898,QB,2017,0.9852941176470589,30,2009,-1.0,--,0.005,5.0,24.3,--
422,Nathan Peterman,,,QB50,,,,,,384.0,384.0,00-0033958,QB,2017,1.0,23,2017,0.385,42.2793,0.001,171.0,1.9,--
424,Colin Kaepernick,,,QB51,,,,,,387.0,387.0,00-0027974,QB,2017,0.8936170212765957,29,2011,-1.0,--,0.1,36.0,11.8,--
429,Matt Cassel,,,QB52,,,,,,394.0,394.0,00-0023662,QB,2017,0.9,35,2005,0.72,81.91999,0.006,230.0,0.0,--
