...1,Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,pass_attempts,completions,pass_yards,pass_ypg,int,pass_td,rush_attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
20,21,Josh Allen,BUF,7,QB1,22,22,,22,00-0034857,QB,2021,1.0,25,646,409,8814,518.4705882352941,15,72,248,1538,90.47058823529412,12,3,84,17
33,34,Patrick Mahomes II,KC,8,QB2,34,32,,33,00-0033873,QB,2021,0.9629629629629629,25,658,436,4839,284.6470588235294,13,37,67,383,22.529411764705884,2,4,39,17
34,35,Justin Herbert,LAC,8,QB3,36,36,,36,00-0036355,QB,2021,1.0,23,671,443,5014,294.94117647058823,15,38,63,302,17.764705882352942,3,1,41,17
43,44,Lamar Jackson,BAL,10,QB4,39,46,,42.5,00-0034796,QB,2021,0.8923076923076924,24,378,246,2882,240.16666666666666,13,16,134,767,63.916666666666664,2,3,18,12
54,55,Kyler Murray,ARI,13,QB5,56,55,,55.5,00-0035228,QB,2021,0.9387755102040817,24,481,333,3787,270.5,10,24,88,423,30.214285714285715,5,0,29,14
55,56,Joe Burrow,CIN,10,QB6,51,62,,56.5,00-0036442,QB,2021,0.7878787878787878,24,518,366,4611,288.1875,14,34,40,118,7.375,2,2,36,16
58,59,Jalen Hurts,PHI,7,QB7,57,63,,60,00-0036389,QB,2021,0.9090909090909091,23,430,265,3144,209.6,9,16,139,784,52.266666666666666,10,2,26,15
68,69,Tom Brady,,,QB8,60,81,,70.5,00-0019596,QB,2021,1.0,44,717,485,5316,312.70588235294116,12,43,28,81,4.764705882352941,2,3,45,17
70,71,Russell Wilson,NYG,9,QB9,70,73,,71.5,00-0029263,QB,2021,0.9818181818181818,32,400,259,3113,222.35714285714286,6,25,43,183,13.071428571428571,2,1,27,14
86,87,Dak Prescott,DAL,9,QB10,85,94,,89.5,00-0033077,QB,2021,0.8762886597938144,28,596,410,4449,278.0625,10,37,49,148,9.25,1,6,38,16
91,92,Aaron Rodgers,PIT,9,QB11,89,97,,93,00-0023459,QB,2021,0.9537037037037037,37,528,366,8230,514.375,8,74,66,202,12.625,6,0,80,16
96,97,Trey Lance,LAC,8,QB12,92,104,,98,00-0037012,QB,2021,0.9411764705882353,21,71,41,603,150.75,2,5,39,170,28.333333333333332,1,0,6,4
101,102,Matthew Stafford,LAR,7,QB13,98,108,,103,00-0026498,QB,2021,0.8207547169811321,33,601,404,4886,287.4117647058824,17,41,32,43,2.5294117647058822,0,2,41,17
114,115,Derek Carr,,,QB14,112,126,,119,00-0031280,QB,2021,1.0,30,623,428,4804,282.5882352941176,14,23,40,108,6.352941176470588,0,5,23,17
122,123,Kirk Cousins,ATL,14,QB15,120,132,,126,00-0029604,QB,2021,0.9939393939393939,33,556,372,4221,263.8125,7,33,29,115,7.1875,1,2,34,16
150,151,Tua Tagovailoa,MIA,11,QB16,169,155,,162,00-0036212,QB,2021,0.8787878787878788,23,387,263,2653,204.07692307692307,10,16,42,128,9.846153846153847,3,1,19,13
158,159,Justin Fields,NYJ,10,QB17,170,164,,167,00-0036945,QB,2021,0.7058823529411765,22,268,159,1870,155.83333333333334,10,7,72,420,35,2,5,9,12
165,166,Baker Mayfield,TB,11,QB18,137,209,,173,00-0034855,QB,2021,0.9538461538461539,26,416,253,3010,215,13,17,37,134,9.571428571428571,1,3,18,14
167,168,Trevor Lawrence,JAC,11,QB19,174,172,,173,00-0036971,QB,2021,1.0,21,599,359,3641,214.1764705882353,17,12,73,334,19.647058823529413,2,5,14,17
173,174,Kenny Pickett,CLE,9,QB20,128,232,,180,00-0038102,QB,2021,--,23,0,0,0,0,0,0,0,0,0,0,0,0,0
177,178,Mac Jones,SF,9,QB21,151,215,,183,00-0036972,QB,2021,1.0,22,520,352,3801,223.58823529411765,13,22,44,129,7.588235294117647,0,3,22,17
184,185,Deshaun Watson,CLE,9,QB22,171,202,,186.5,00-0033537,QB,2021,0.8888888888888888,25,0,0,0,0,0,0,0,0,0,0,0,0,0
187,188,Jameis Winston,NYG,9,QB23,188,186,,187,00-0031503,QB,2021,0.8859649122807017,27,161,95,1170,167.14285714285714,3,14,32,166,23.714285714285715,1,1,15,7
189,190,Carson Wentz,,,QB24,139,,,139,00-0032950,QB,2021,0.9587628865979382,28,516,322,3563,209.58823529411765,7,27,58,215,12.647058823529411,1,5,28,17
204,205,Matt Ryan,,,QB26,203,195,,199,00-0026143,QB,2021,0.9953703703703703,36,559,375,3968,233.41176470588235,12,20,41,84,4.9411764705882355,1,4,21,17
214,215,Jared Goff,DET,6,QB27,177,,,177,00-0033106,QB,2021,0.9587628865979382,26,489,332,3245,231.78571428571428,8,19,17,87,6.214285714285714,0,6,19,14
244,245,Daniel Jones,IND,14,QB28,224,240,,232,00-0035710,QB,2021,0.7959183673469388,24,360,232,2428,220.72727272727272,7,10,64,302,27.454545454545453,2,3,12,11
292,293,Jake Heaps,,,QB32,,279,,279,00-0032073,QB,2021,1.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
