player_id,player_name,games_played,total_player_yards,avg_player_yards,avg_def_difficulty,avg_exploitation
00-0031503,Jameis Winston,16,5109.0,319.3125,4.739765,66.82199
00-0034577,Kyle Allen,13,3322.0,255.53847,3.8306215,66.54438
00-0033077,Dak Prescott,16,4902.0,306.375,4.6148148,66.3125
00-0026143,Matt Ryan,15,4466.0,297.73334,4.561243,65.97812
00-0019596,Tom Brady,17,4266.0,250.94118,3.7929244,65.6898
00-0027973,Andy Dalton,13,3494.0,268.76923,4.085312,65.36004
00-0033106,Jared Goff,16,4638.0,289.875,4.402526,64.90191
00-0034796,Lamar Jackson,16,3492.0,218.25,3.4038768,64.708305
00-0032950,Carson Wentz,17,4042.0,237.76471,3.6387682,64.239365
00-0033537,Deshaun Watson,17,4487.0,263.94116,4.176776,63.633823
00-0026498,Matthew Stafford,8,2499.0,312.375,4.911413,63.625
00-0029263,Russell Wilson,18,4712.0,261.77777,4.1195188,63.61111
00-0026158,Joe Flacco,8,1822.0,227.75,3.7104673,62.25
00-0023459,Aaron Rodgers,18,4571.0,253.94444,4.1745706,61.39169
00-0022942,Philip Rivers,16,4615.0,288.4375,4.7466025,61.334286
00-0034855,Baker Mayfield,16,3883.0,242.6875,3.975374,60.893555
00-0031345,Jimmy Garoppolo,19,4405.0,231.8421,3.8626769,60.734966
00-0035228,Kyler Murray,16,3752.0,234.5,3.8993874,60.72933
00-0029604,Kirk Cousins,17,4017.0,236.29411,3.8779154,60.588234
00-0022803,Eli Manning,4,1042.0,260.5,4.2925367,60.57612
00-0031280,Derek Carr,16,4054.0,253.375,4.1952496,60.419136
00-0034869,Sam Darnold,13,3024.0,232.61539,3.8878615,60.23077
00-0035289,Gardner Minshew,14,3271.0,233.64285,3.9751225,59.69706
00-0033869,Mitchell Trubisky,15,3138.0,209.2,3.4637158,59.57394
00-0035710,Daniel Jones,13,3027.0,232.84616,3.9833243,59.11336
00-0033119,Jacoby Brissett,15,2942.0,196.13333,3.3311193,58.94361
00-0033873,Patrick Mahomes,17,4932.0,290.11765,4.872617,58.79092
00-0035040,David Blough,5,984.0,196.8,3.2675934,58.690784
00-0034857,Josh Allen,17,3353.0,197.23529,3.4826214,57.72346
00-0035704,Drew Lock,5,1020.0,204.0,3.621303,56.60606
00-0023682,Ryan Fitzpatrick,15,3529.0,235.26666,4.0410924,56.22401
00-0020531,Drew Brees,12,3187.0,265.58334,4.7069755,55.106354
00-0029701,Ryan Tannehill,15,3111.0,207.4,4.0885324,50.51741
00-0034771,Mason Rudolph,10,1765.0,176.5,3.6372552,48.527977
00-0035232,Dwayne Haskins,9,1365.0,151.66667,3.4560044,45.60821
00-0035577,Devlin Hodges,8,1063.0,132.875,3.1380775,43.695023
00-0029567,Nick Foles,4,736.0,184.0,4.7574234,43.682144
00-0028986,Case Keenum,10,1707.0,170.7,3.8172143,41.70857
00-0031237,Teddy Bridgewater,9,1384.0,153.77777,4.1964226,39.744778
00-0032268,Marcus Mariota,9,1207.0,134.11111,3.484933,36.197777
00-0034343,Josh Rosen,5,567.0,113.4,3.486819,33.29299
00-0026625,Brian Hoyer,4,372.0,93.0,2.720643,29.211452
00-0025708,Matt Moore,6,659.0,109.833336,4.381064,24.925734
00-0022787,Matt Schaub,5,580.0,116.0,4.9574027,19.950985
00-0029665,Robert Griffin,6,225.0,37.5,3.7642734,16.532463
