Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
20,Patrick Mahomes II,KC,12.0,QB1,18.0,,14.0,22.0,,20.0,18.8,00-0033873,QB,2018,1.0,22,2017,0.985,45.730923,0.025,10.0,19.9,--
43,Deshaun Watson,CLE,7.0,QB2,38.0,,43.0,52.0,,48.0,44.3,00-0033537,QB,2018,0.71875,22,2017,0.99875,77.20767,0.021,12.0,18.8,--
51,Aaron Rodgers,PIT,7.0,QB3,43.0,,42.0,55.0,,57.0,50.5,00-0023459,QB,2018,0.9461077844311377,34,2005,0.931875,82.92001,0.18899999999999997,24.0,14.4,--
58,Baker Mayfield,TB,7.0,QB4,53.0,,46.0,68.0,,68.0,59.7,00-0034855,QB,2018,1.0,23,2018,0.9685714285714286,27.016476,0.046,1.0,34.6,--
64,Matt Ryan,,,QB5,49.0,,59.0,76.0,,88.0,67.3,00-0026143,QB,2018,1.0,33,2008,0.989375,74.13379,0.16899999999999998,3.0,27.6,--
76,Drew Brees,,,QB6,66.0,,55.0,99.0,,95.0,78.5,00-0020531,QB,2018,1.0,39,2001,0.9813333333333334,118.659935,0.141,32.0,12.5,--
78,Carson Wentz,,,QB7,72.0,,90.0,84.0,,89.0,81,00-0032950,QB,2018,0.9375,25,2016,1.0,46.676888,0.17,2.0,30.2,--
82,Russell Wilson,NYG,11.0,QB8,92.0,,56.0,95.0,,97.0,84.7,00-0029263,QB,2018,1.0,29,2012,1.0,37.677532,0.18600000000000003,75.0,7.1,--
84,Cam Newton ,,,QB9,71.0,,66.0,98.0,,102.0,86.7,00-0027939,QB,2018,1.0,29,2011,0.99,51.191288,0.145,1.0,34.6,--
87,Jared Goff,DET,5.0,QB10,97.0,,76.0,91.0,,91.0,88.3,00-0033106,QB,2018,1.0,23,2016,0.966875,106.85375,0.17800000000000002,1.0,34.6,--
100,Ben Roethlisberger ,,,QB11,89.0,,110.0,106.0,,122.0,106.7,00-0022924,QB,2018,1.0,36,2004,0.96875,64.87353,0.18100000000000002,11.0,19.3,--
110,Kyler Murray,ARI,12.0,QB12,110.0,,123.0,117.0,,106.0,114.7,00-0035228,QB,2018,--,21,2019,-1.0,--,0.047,1.0,34.6,--
112,Tom Brady,,,QB13,93.0,,97.0,136.0,,143.0,116.3,00-0019596,QB,2018,1.0,41,2000,0.97625,42.888187,0.122,199.0,0.9,--
114,Lamar Jackson,BAL,8.0,QB14,119.0,,129.0,115.0,,132.0,118.2,00-0034796,QB,2018,1.0,21,2018,0.4975,73.79913,0.013000000000000001,32.0,12.5,--
121,Dak Prescott,DAL,8.0,QB15,85.0,,127.0,146.0,,145.0,125.8,00-0033077,QB,2018,1.0,25,2016,0.995,60.95611,0.004,135.0,3.4,--
