Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
22,Aaron Rodgers,PIT,9.0,QB1,20.0,,,,,18.0,22.8,00-0023459,QB,2016,1.0,32,2005,0.978125,59.04336,0.179,24.0,14.4,--
30,Tom Brady,,,QB2,22.0,,,,,31.0,30.8,00-0019596,QB,2016,1.0,39,2000,0.9658333333333332,56.630856,0.132,199.0,0.9,--
43,Drew Brees,,,QB3,34.0,,,,,34.0,42.8,00-0020531,QB,2016,1.0,37,2001,1.0,76.40166,0.156,32.0,12.5,--
55,Matt Ryan,,,QB4,39.0,,,,,50.0,56.0,00-0026143,QB,2016,1.0,31,2008,0.981875,38.94151,0.16899999999999998,3.0,27.6,--
63,Russell Wilson,NYG,8.0,QB5,51.0,,,,,70.0,63.8,00-0029263,QB,2016,1.0,27,2012,0.95375,64.95069,0.153,75.0,7.1,--
78,Jameis Winston,NYG,8.0,QB6,89.0,,,,,66.0,81.4,00-0031503,QB,2016,1.0,22,2015,0.986875,34.81711,0.044000000000000004,1.0,34.6,--
81,Kirk Cousins,ATL,5.0,QB7,74.0,,,,,91.0,84.4,00-0029604,QB,2016,1.0,28,2012,1.0,42.29855,0.14300000000000002,102.0,5.1,--
85,Marcus Mariota,WAS,5.0,QB8,92.0,,,,,93.0,84.8,00-0032268,QB,2016,0.9696969696969697,22,2015,0.964,77.62565,0.042,2.0,30.2,--
86,Derek Carr,,,QB9,76.0,,,,,94.0,85.2,00-0031280,QB,2016,1.0,25,2014,0.9846666666666668,66.65214,0.15,36.0,11.8,--
87,Cam Newton,,,QB10,61.0,,,,,103.0,86.8,00-0027939,QB,2016,1.0,27,2011,0.97,40.81125,0.145,1.0,34.6,--
96,Andrew Luck,,,QB11,110.0,,,,,104.0,99.6,00-0029668,QB,2016,1.0,26,2012,0.9806666666666668,46.76301,0.158,1.0,34.6,--
102,Ben Roethlisberger,,,QB12,102.0,,,,,102.0,104.0,00-0022924,QB,2016,1.0,34,2004,0.9785714285714286,80.04189,0.152,11.0,19.3,--
106,Dak Prescott,DAL,6.0,QB13,73.0,,,,,118.0,109.8,00-0033077,QB,2016,1.0,23,2016,0.949375,49.20784,0.004,135.0,3.4,--
107,Matthew Stafford,LAR,8.0,QB14,98.0,,,,,99.0,113.6,00-0026498,QB,2016,0.7709923664122137,28,2009,1.0,36.753746,0.162,1.0,34.6,--
112,Philip Rivers,,,QB15,123.0,,,,,114.0,120.4,00-0022942,QB,2016,1.0,34,2004,0.995625,23.084171,0.145,4.0,25.8,--
125,Eli Manning,,,QB16,127.0,,,,,131.0,137.2,00-0022803,QB,2016,1.0,35,2004,1.0,30.683998,0.147,1.0,34.6,--
127,Andy Dalton,CAR,11.0,QB17,141.0,,,,,143.0,138.4,00-0027973,QB,2016,1.0,28,2011,0.998125,17.837547,0.12,35.0,12.0,--
136,Carson Palmer,,,QB18,142.0,,,,,142.0,149.2,00-0021429,QB,2016,0.9180327868852459,36,2003,0.9646666666666668,32.68342,0.135,1.0,34.6,--
147,Carson Wentz,,,QB19,135.0,,,,,135.0,146.3,00-0032950,QB,2016,1.0,23,2016,0.993125,19.736092,0.043,2.0,30.2,--
156,Tyrod Taylor,NYJ,11.0,QB20,164.0,,,,,151.0,162.3,00-0028118,QB,2016,1.0,27,2011,0.9706666666666668,44.315,0.091,180.0,1.5,--
175,Joe Flacco,CLE,9.0,QB21,144.0,,,,,187.0,183.8,00-0026158,QB,2016,0.9147286821705426,31,2008,0.980625,32.234745,0.14300000000000002,18.0,16.2,--
194,Jay Cutler,,,QB22,,,,,,211.0,192.7,00-0024226,QB,2016,0.8507462686567164,33,2006,0.946,25.25692,0.06,11.0,19.3,--
204,Sam Bradford,,,QB23,,,,,,202.0,198.0,00-0027854,QB,2016,0.9230769230769231,28,2010,0.9886666666666668,33.355644,0.113,1.0,34.6,--
216,Deshaun Watson,CLE,9.0,QB24,,,,,,174.0,210.7,00-0033537,QB,2016,--,20,2017,-1.0,--,0.021,12.0,18.8,--
245,Alex Smith,,,QB25,,,,,,257.0,234.0,00-0023436,QB,2016,1.0,32,2005,0.954,43.807457,0.128,,0.0,--
252,Jimmy Garoppolo,LAR,8.0,QB26,,,,,,178.0,219.0,00-0031345,QB,2016,1.0,24,2014,0.3216666666666667,92.796715,0.006999999999999999,62.0,8.3,--
257,Blake Bortles,,,QB27,,,,,,300.0,251.7,00-0031407,QB,2016,1.0,24,2014,0.99875,42.3438,0.039,3.0,27.6,--
259,Mitchell Trubisky,BUF,6.0,QB28,,,,,,197.0,230.0,00-0033869,QB,2016,--,22,2017,-1.0,--,0.043,2.0,30.2,--
263,Brian Hoyer,,,QB29,,,,,,310.0,258.7,00-0026625,QB,2016,0.8738738738738738,30,2009,-1.0,83.33339,0.036000000000000004,,0.0,--
