Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
515,Kellen Moore,,,QB70,,,,,,,483.0,00-0029234,QB,2015,1,27,2012,-1.0,115.20839,--,,0.0,--
517,Garrett Grayson,,,QB71,,,,,,,485.0,00-0032148,QB,2015,1,24,2015,-1.0,--,0.001,75.0,7.1,--
519,Trevone Boykin,,,QB72,,,,,,,487.0,00-0032462,QB,2015,--,22,2016,-1.0,--,0.004,,0.0,--
522,Cardale Jones,,,QB73,,,,,,,490.0,00-0033098,QB,2015,--,22,2016,-1.0,--,0.004,139.0,3.2,--
524,Kellen Clemens,,,QB74,,,,,,,492.0,00-0024264,QB,2015,1,32,2006,0.1,21.912199,--,49.0,9.8,--
526,Luke McCown,,,QB75,,,,,,,494.0,00-0022864,QB,2015,0.8854166666666666,34,2004,-1.0,44.179996,0.01,106.0,4.9,--
528,Bryce Petty,,,QB76,,,,,,,496.0,00-0031568,QB,2015,1,24,2015,-1.0,--,0.005,103.0,5.1,--
531,Matt McGloin,,,QB77,,,,,,,499.0,00-0030419,QB,2015,1,25,2013,-1.0,46.851204,0.016,,0.0,--
533,Jacoby Brissett,ARI,9.0,QB78,,,,,,,501.0,00-0033119,QB,2015,--,22,2016,-1.0,--,0.005,91.0,5.9,--
535,Bruce Gradkowski,,,QB79,,,,,,,503.0,00-0024408,QB,2015,0.8762886597938144,32,2006,-1.0,--,0.006,194.0,1.1,--
537,Jeff Driskel,,,QB80,,,,,,,505.0,00-0032436,QB,2015,--,22,2016,-1.0,--,0.004,207.0,0.6,--
539,Kevin Hogan,,,QB81,,,,,,,507.0,00-0032784,QB,2015,--,22,2016,-1.0,--,--,162.0,2.2,--
541,Joe Webb,III,,QB82,,,,,,,509.0,00-0027796,QB,2015,1,28,2010,0.011875,,0.006,199.0,0.9,--
543,Joel Stave,,,QB83,,,,,,,511.0,00-0032614,QB,2015,--,23,2016,-1.0,--,--,,0.0,--
544,Connor Cook,,,QB84,,,,,,,512.0,00-0032893,QB,2015,--,22,2016,-1.0,--,0.005,100.0,5.3,--
545,Nate Sudfeld,,,QB85,,,,,,,513.0,00-0032792,QB,2015,--,21,2016,-1.0,--,0.004,187.0,1.3,--
