"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0034857","Josh Allen",124,7.3,27.2,"QB","BUF",26.8
2,"00-0034796","Lamar Jackson",134,11.2,30.5,"QB","BAL",25.9
3,"00-0036389","Jalen Hurts",139,9.3,32.5,"QB","PHI",25.2
4,"00-0036971","Trevor Lawrence",73,4.3,23.1,"QB","JAX",18.6
5,"00-0035228","Kyler Murray",88,6.3,29.2,"QB","ARI",17.7
6,"00-0033873","Patrick Mahomes",67,4.5,25.4,"QB","KC",15.5
7,"00-0035710","Daniel Jones",64,5.8,24.8,"QB","NYG",15.2
8,"00-0036945","Justin Fields",72,6,27.9,"QB","CHI",15.2
9,"00-0036355","Justin Herbert",63,3.7,25.1,"QB","LAC",14.8
10,"00-0033357","Taysom Hill",70,6.4,30.1,"QB","NO",13.7
11,"00-0031800","Taylor Heinicke",62,4.1,28.3,"QB","WAS",12.9
12,"00-0032950","Carson Wentz",58,3.6,29.4,"QB","IND",11.6
13,"00-0027939","Cam Newton",48,6.9,26.8,"QB","CAR",10.5
14,"00-0034869","Sam Darnold",48,4.4,26.8,"QB","CAR",10.5
15,"00-0026143","Matt Ryan",41,2.7,23.2,"QB","ATL",10.4
16,"00-0029263","Russell Wilson",43,3.3,24.3,"QB","SEA",10.4
17,"00-0033077","Dak Prescott",49,3.8,28.1,"QB","DAL",10.3
18,"00-0029701","Ryan Tannehill",55,3.2,32.5,"QB","TEN",10
19,"00-0031280","Derek Carr",40,2.9,24.4,"QB","LV",9.7
20,"00-0036212","Tua Tagovailoa",42,3.5,26,"QB","MIA",9.5
21,"00-0035993","Tyler Huntley",47,7.8,30.5,"QB","BAL",9.1
22,"00-0036442","Joe Burrow",40,2.7,25.8,"QB","CIN",9.1
23,"00-0036972","Mac Jones",44,3.1,28.9,"QB","NE",9
24,"00-0037012","Trey Lance",39,6.5,29.4,"QB","SF",7.8
25,"00-0037013","Zach Wilson",30,2.5,22.6,"QB","NYJ",7.8
26,"00-0026498","Matthew Stafford",32,2.3,24.7,"QB","LA",7.6
27,"00-0031345","Jimmy Garoppolo",38,2.7,29.4,"QB","SF",7.6
28,"00-0034855","Baker Mayfield",37,3.1,28.6,"QB","CLE",7.6
29,"00-0023459","Aaron Rodgers",33,2.5,26.3,"QB","GB",7.4
30,"00-0019596","Tom Brady",28,2.2,22.8,"QB","TB",7.2
31,"00-0031237","Teddy Bridgewater",30,2.5,26.8,"QB","DEN",6.6
32,"00-0029604","Kirk Cousins",29,2.1,26.6,"QB","MIN",6.4
33,"00-0031503","Jameis Winston",32,5.3,30.1,"QB","NO",6.3
34,"00-0022924","Ben Roethlisberger",20,1.8,24.2,"QB","PIT",4.9
35,"00-0028118","Tyrod Taylor",19,3.2,24.8,"QB","HOU",4.5
36,"00-0036898","Davis Mills",19,1.6,24.8,"QB","HOU",4.5
37,"00-0027688","Colt McCoy",22,3.1,29.2,"QB","ARI",4.4
38,"00-0033119","Jacoby Brissett",19,2.7,26,"QB","MIA",4.3
39,"00-0033106","Jared Goff",17,2.1,25.1,"QB","DET",4
40,"00-0027973","Andy Dalton",16,2.7,27.9,"QB","CHI",3.4
