"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0036389","Jalen Hurts",157,9.2,30.1,"QB","PHI",30.7
2,"00-0034796","Lamar Jackson",148,9.2,31.9,"QB","BAL",27.3
3,"00-0036945","Justin Fields",124,9.5,31.5,"QB","CHI",23.2
4,"00-0034857","Josh Allen",111,6.5,30.1,"QB","BUF",21.7
5,"00-0033873","Patrick Mahomes",75,5,24.6,"QB","KC",17.9
6,"00-0029263","Russell Wilson",80,5.7,26.8,"QB","DEN",17.6
7,"00-0033357","Taysom Hill",81,5.1,28.4,"QB","NO",16.8
8,"00-0036971","Trevor Lawrence",70,4.4,26.8,"QB","JAX",15.4
9,"00-0034855","Baker Mayfield",62,3.6,25.8,"QB","TB",14.1
10,"00-0037077","Sam Howell",49,3.1,21.2,"QB","WAS",13.6
11,"00-0036355","Justin Herbert",52,4.3,25.4,"QB","LAC",12.1
12,"00-0033077","Dak Prescott",56,3.5,27.6,"QB","DAL",11.9
13,"00-0036264","Jordan Love",51,3,26.1,"QB","GB",11.5
14,"00-0033949","Joshua Dobbs",49,6.1,28.1,"QB","ARI",10.3
15,"00-0038122","Desmond Ridder",53,3.8,30.8,"QB","ATL",10.1
16,"00-0030565","Geno Smith",37,2.6,22.5,"QB","SEA",9.7
17,"00-0037013","Zach Wilson",37,3.4,22.9,"QB","NYJ",9.5
18,"00-0035228","Kyler Murray",45,5.6,28.1,"QB","ARI",9.4
19,"00-0039163","C.J. Stroud",41,2.9,26.2,"QB","HOU",9.2
20,"00-0039150","Bryce Young",40,2.7,26.3,"QB","CAR",8.9
21,"00-0035710","Daniel Jones",40,6.7,26.8,"QB","NYG",8.8
22,"00-0038102","Kenny Pickett",42,3.5,28.7,"QB","PIT",8.6
23,"00-0028118","Tyrod Taylor",38,4.8,26.8,"QB","NYG",8.4
24,"00-0036442","Joe Burrow",31,3.1,22.5,"QB","CIN",8.1
25,"00-0038476","Tommy DeVito",36,4.5,26.8,"QB","NYG",7.9
26,"00-0037834","Brock Purdy",39,3,29.4,"QB","SF",7.8
27,"00-0036212","Tua Tagovailoa",35,2.5,26.8,"QB","MIA",7.7
28,"00-0033949","Joshua Dobbs",30,6,23.1,"QB","MIN",7.6
29,"00-0035289","Gardner Minshew",34,2.4,28.2,"QB","IND",7.1
30,"00-0031280","Derek Carr",32,2.1,28.4,"QB","NO",6.6
31,"00-0033106","Jared Goff",32,2.7,29.5,"QB","DET",6.4
