"rank","gsis_id","nombre","carries_totales","carries_por_partido","carries_por_partido_equipo","posicion","equipo","run_share_pct"
1,"00-0027939","Cam Newton",132,8.2,32.9,"QB","CAR",25.1
2,"00-0028118","Tyrod Taylor",105,7.5,32,"QB","BUF",20.5
3,"00-0029263","Russell Wilson",103,6.4,31.4,"QB","SEA",20.5
4,"00-0023436","Alex Smith",84,5.2,27.2,"QB","KC",19.3
5,"00-0031407","Blake Bortles",52,3.5,22.1,"QB","JAX",14.7
6,"00-0023459","Aaron Rodgers",59,3.7,27.3,"QB","GB",13.5
7,"00-0023682","Ryan Fitzpatrick",60,3.8,28,"QB","NYJ",13.4
8,"00-0026498","Matthew Stafford",44,2.9,22.2,"QB","DET",12.4
9,"00-0027973","Andy Dalton",57,4.8,29.2,"QB","CIN",12.2
10,"00-0031503","Jameis Winston",54,3.6,28.4,"QB","TB",11.9
11,"00-0027974","Colin Kaepernick",45,6.4,24.4,"QB","SF",11.5
12,"00-0031409","Johnny Manziel",37,4.1,23.8,"QB","CLE",9.7
13,"00-0031237","Teddy Bridgewater",45,2.8,29.7,"QB","MIN",9.5
14,"00-0029701","Ryan Tannehill",32,2.1,21.6,"QB","MIA",9.3
15,"00-0032268","Marcus Mariota",34,3.8,23.2,"QB","TEN",9.1
16,"00-0019596","Tom Brady",34,2.6,23.9,"QB","NE",8.9
17,"00-0031280","Derek Carr",33,2.2,23.1,"QB","LV",8.9
18,"00-0026143","Matt Ryan",36,2.4,26.3,"QB","ATL",8.6
19,"00-0029668","Andrew Luck",33,4.7,24.8,"QB","IND",8.3
20,"00-0027948","Blaine Gabbert",32,4,24.4,"QB","SF",8.2
21,"00-0024226","Jay Cutler",38,2.5,29.4,"QB","CHI",8.1
22,"00-0029604","Kirk Cousins",26,2.4,26.8,"QB","WAS",6.1
23,"00-0020531","Drew Brees",24,2,24.9,"QB","NO",6
24,"00-0027854","Sam Bradford",26,2,27.6,"QB","PHI",5.9
25,"00-0021429","Carson Palmer",25,2.1,28.2,"QB","ARI",5.5
26,"00-0021206","Josh McCown",20,3.3,23.8,"QB","CLE",5.3
27,"00-0029682","Brock Osweiler",22,3.1,25.8,"QB","DEN",5.3
28,"00-0020245","Michael Vick",20,4,24.2,"QB","PIT",5.2
29,"00-0022803","Eli Manning",20,1.7,25.3,"QB","NYG",4.9
30,"00-0022942","Philip Rivers",17,2.1,24.6,"QB","LAC",4.3
31,"00-0007091","Matt Hasselbeck",16,2.3,24.8,"QB","IND",4
32,"00-0029567","Nick Foles",17,1.7,26.9,"QB","LA",4
33,"00-0022924","Ben Roethlisberger",15,2.1,24.2,"QB","PIT",3.9
34,"00-0023662","Matt Cassel",15,2.1,25.5,"QB","DAL",3.7
35,"00-0023662","Matt Cassel",15,2.1,25.5,"QB","DAL",3.7
36,"00-0030526","E.J. Manuel",17,4.2,32,"QB","BUF",3.3
37,"00-0026625","Brian Hoyer",15,2.1,29.6,"QB","HOU",3.2
