Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
14,Patrick Mahomes II,KC,10,QB1,16.0,13.0,16.0,15.0,00-0033873,QB,2022,0.9693877551020408,26,2017,0.9835294117647058,41.8142,0.22699999999999998,10.0,19.9,--
21,Josh Allen,BUF,13,QB2,22.0,20.0,19.0,20.3,00-0034857,QB,2022,1.0,26,2018,0.97625,43.484108,0.23600000000000002,7.0,22.2,--
22,Jalen Hurts,PHI,10,QB3,21.0,23.0,22.0,22.0,00-0036389,QB,2022,0.9,24,2020,0.9746666666666668,55.742054,0.22699999999999998,53.0,9.3,--
36,Joe Burrow,CIN,7,QB5,41.0,36.0,34.0,37.0,00-0036442,QB,2022,0.86,25,2020,0.98625,53.970272,0.245,1.0,34.6,--
44,Justin Herbert,LAC,5,QB6,50.0,44.0,39.0,44.3,00-0036355,QB,2022,1.0,24,2020,0.9735294117647058,37.565727,0.23399999999999999,6.0,23.2,--
46,Justin Fields,NYJ,7,QB7,48.0,46.0,44.0,46.0,00-0036945,QB,2022,0.7941176470588235,23,2021,0.9906666666666668,112.63742,0.026000000000000002,11.0,19.3,--
54,Trevor Lawrence,JAC,9,QB8,56.0,57.0,53.0,55.3,00-0036971,QB,2022,1.0,22,2021,0.9752941176470588,66.972,0.05,1.0,34.6,--
83,Dak Prescott,DAL,7,QB9,77.0,91.0,88.0,85.3,00-0033077,QB,2022,0.8508771929824561,29,2016,0.9608333333333334,44.371964,0.21899999999999997,135.0,3.4,--
84,Deshaun Watson,CLE,5,QB10,90.0,86.0,87.0,87.7,00-0033537,QB,2022,0.7959183673469388,26,2017,0.985,32.296867,0.221,12.0,18.8,--
93,Tua Tagovailoa,MIA,10,QB11,95.0,94.0,99.0,96.0,00-0036212,QB,2022,0.84,24,2020,0.916923076923077,86.260925,0.038,5.0,24.3,--
100,Aaron Rodgers,PIT,6,QB12,103.0,103.0,111.0,105.7,00-0023459,QB,2022,0.9570815450643777,38,2005,0.9741176470588234,14.865256,0.16699999999999998,24.0,14.4,--
104,Daniel Jones,IND,11,QB13,91.0,141.0,93.0,108.3,00-0035710,QB,2022,0.8484848484848485,25,2019,0.96875,51.313168,0.17800000000000002,6.0,23.2,--
110,Kirk Cousins,ATL,11,QB14,115.0,115.0,108.0,112.7,00-0029604,QB,2022,0.9945054945054945,34,2012,0.9511764705882352,55.122055,0.168,102.0,5.1,--
111,Anthony Richardson Sr.,IND,11,QB15,120.0,110.0,113.0,114.3,00-0039164,QB,2022,--,20,2023,-1.0,--,0.038,4.0,25.8,--
118,Geno Smith,LV,13,QB16,114.0,132.0,118.0,121.3,00-0030565,QB,2022,0.9454545454545454,31,2013,1.0,32.739925,0.111,39.0,11.3,--
139,Jared Goff,DET,9,QB17,165.0,152.0,110.0,142.3,00-0033106,QB,2022,0.9649122807017544,27,2016,0.9923529411764708,71.43648,0.17800000000000002,1.0,34.6,--
147,Kenny Pickett,CLE,5,QB18,138.0,184.0,140.0,154.0,00-0038102,QB,2022,0.9411764705882353,24,2022,0.8623076923076923,18.049034,0.017,20.0,15.5,--
154,Brock Purdy,SF,9,QB19,158.0,161.0,160.0,159.7,00-0037834,QB,2022,0.8823529411764706,22,2022,0.6455555555555557,78.9549,0.004,262.0,0.0,--
157,Bryce Young,CAR,7,QB20,135.0,176.0,178.0,163.0,00-0039150,QB,2022,--,21,2023,-1.0,--,0.042,1.0,34.6,--
162,Russell Wilson,NYG,13,QB21,200.0,171.0,141.0,170.7,00-0029263,QB,2022,0.9725274725274725,33,2012,0.974,45.60902,0.235,75.0,7.1,--
163,Jordan Love,GB,6,QB22,167.0,188.0,158.0,171.0,00-0036264,QB,2022,0.68,23,2020,0.11,15.099302,0.06,26.0,13.9,--
167,Derek Carr,,,QB23,186.0,194.0,145.0,175.0,00-0031280,QB,2022,0.9864864864864865,31,2014,0.982,40.060253,0.16699999999999998,36.0,11.8,--
168,C.J. Stroud,HOU,7,QB24,133.0,217.0,177.0,175.7,00-0039163,QB,2022,--,20,2023,-1.0,--,0.04,2.0,30.2,--
169,Jimmy Garoppolo,LAR,10,QB25,123.0,230.0,175.0,176.0,00-0031345,QB,2022,0.7972972972972973,30,2014,0.8754545454545455,34.41632,0.10800000000000001,62.0,8.3,--
188,Mac Jones,SF,9,QB26,122.0,275.0,179.0,192.0,00-0036972,QB,2022,0.9117647058823529,23,2021,0.9535714285714284,30.440475,0.021,15.0,17.4,--
189,Matthew Stafford,LAR,10,QB27,193.0,216.0,167.0,192.0,00-0026498,QB,2022,0.7991266375545851,34,2009,0.9522222222222224,17.183542,0.192,1.0,34.6,--
194,Sam Howell,MIN,13,QB28,210.0,228.0,164.0,200.7,00-0037077,QB,2022,0.47058823529411764,21,2022,1.0,,0.005,144.0,3.0,--
203,Kyler Murray,ARI,14,QB29,223.0,195.0,200.0,206.0,00-0035228,QB,2022,0.8636363636363636,25,2019,0.9018181818181816,52.558826,0.221,1.0,34.6,--
233,Ryan Tannehill,,,QB30,,261.0,174.0,217.5,00-0029701,QB,2022,0.8852459016393442,34,2012,0.9433333333333334,38.004036,0.149,8.0,21.4,--
238,Baker Mayfield,TB,5,QB31,,266.0,180.0,223.0,00-0034855,QB,2022,0.9390243902439024,27,2018,0.9491666666666666,25.985125,0.018000000000000002,1.0,34.6,--
244,Desmond Ridder,CIN,7,QB32,,268.0,195.0,231.5,00-0038122,QB,2022,1.0,23,2022,0.985,19.459465,0.006,74.0,7.2,--
267,Aidan O'Connell,LV,13,QB33,,,215.0,215.0,00-0038579,QB,2022,--,24,2023,-1.0,--,0.005,135.0,3.4,--
268,Joshua Dobbs,NE,11,QB34,,,216.0,216.0,00-0033949,QB,2022,0.5876288659793815,27,2017,0.995,0.0071999864,0.009000000000000001,135.0,3.4,--
270,Kyle Trask,TB,5,QB35,,,220.0,220.0,00-0036928,QB,2022,0.058823529411764705,24,2021,0.18,,0.008,64.0,8.1,--
273,Clayton Tune,ARI,14,QB36,,,229.0,229.0,00-0038582,QB,2022,--,23,2023,-1.0,--,0.005,139.0,3.2,--
293,Sam Darnold,SEA,5,QB38,,,257.0,257.0,00-0034869,QB,2022,0.7560975609756098,25,2018,1.0,60.925705,0.02,3.0,27.6,--
317,Trey Lance,LAC,5,QB41,,279.0,,279.0,00-0037012,QB,2022,0.5294117647058824,22,2021,0.605,27.8258,0.047,3.0,27.6,--
320,Brian Lewerke,,,QB42,,281.0,,281.0,00-0036092,QB,2022,1.0,25,2021,-1.0,--,0.003,,0.0,--
321,Logan Woodside,PIT,6,QB43,,282.0,,282.0,00-0034438,QB,2022,0.975,27,2018,0.06,--,0.005,249.0,0.0,--
350,Bryce Perkins,,,QB45,,308.0,,308.0,00-0035939,QB,2022,0.2857142857142857,25,2020,-1.0,16.24532,0.004,,0.0,--
351,Chris Streveler,,,QB46,,310.0,,310.0,00-0035752,QB,2022,0.7,27,2020,-1.0,,0.004,,0.0,--
