Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
21,Josh Allen,BUF,7,QB1,22.0,22.0,,22.0,00-0034857,QB,2021,1.0,25,2018,0.9682352941176472,70.59118,0.23600000000000002,7.0,22.2,--
34,Patrick Mahomes II,KC,8,QB2,34.0,32.0,,33.0,00-0033873,QB,2021,0.9629629629629629,25,2017,0.9741176470588234,75.65484,0.22699999999999998,10.0,19.9,--
35,Justin Herbert,LAC,8,QB3,36.0,36.0,,36.0,00-0036355,QB,2021,1.0,23,2020,0.9958823529411764,77.198524,0.034,6.0,23.2,--
44,Lamar Jackson,BAL,10,QB4,39.0,46.0,,42.5,00-0034796,QB,2021,0.8923076923076924,24,2018,0.91,119.757416,0.013000000000000001,32.0,12.5,--
55,Kyler Murray,ARI,13,QB5,56.0,55.0,,55.5,00-0035228,QB,2021,0.9387755102040817,24,2019,0.9757142857142858,56.06348,0.221,1.0,34.6,--
56,Joe Burrow,CIN,10,QB6,51.0,62.0,,56.5,00-0036442,QB,2021,0.7878787878787878,24,2020,0.965625,71.31392,0.046,1.0,34.6,--
59,Jalen Hurts,PHI,7,QB7,57.0,63.0,,60.0,00-0036389,QB,2021,0.9090909090909091,23,2020,0.978,48.66799,0.008,53.0,9.3,--
69,Tom Brady,,,QB8,60.0,81.0,,70.5,00-0019596,QB,2021,1.0,44,2000,0.9629411764705884,76.69932,0.13699999999999998,199.0,0.9,--
71,Russell Wilson,NYG,9,QB9,70.0,73.0,,71.5,00-0029263,QB,2021,0.9818181818181818,32,2012,0.972857142857143,60.66032,0.235,75.0,7.1,--
87,Dak Prescott,DAL,9,QB10,85.0,94.0,,89.5,00-0033077,QB,2021,0.8762886597938144,28,2016,0.96375,81.4596,0.21899999999999997,135.0,3.4,--
92,Aaron Rodgers,PIT,9,QB11,89.0,97.0,,93.0,00-0023459,QB,2021,0.9537037037037037,37,2005,0.93375,60.64491,0.24100000000000002,24.0,14.4,--
97,Trey Lance,LAC,8,QB12,92.0,104.0,,98.0,00-0037012,QB,2021,0.9411764705882353,21,2021,0.4483333333333334,69.1,0.047,3.0,27.6,--
102,Matthew Stafford,LAR,7,QB13,98.0,108.0,,103.0,00-0026498,QB,2021,0.8207547169811321,33,2009,0.9794117647058824,40.066513,0.192,1.0,34.6,--
115,Derek Carr,,,QB14,112.0,126.0,,119.0,00-0031280,QB,2021,1.0,30,2014,0.99,34.27548,0.19399999999999998,36.0,11.8,--
123,Kirk Cousins,ATL,14,QB15,120.0,132.0,,126.0,00-0029604,QB,2021,0.9939393939393939,33,2012,1.0,32.96032,0.168,102.0,5.1,--
151,Tua Tagovailoa,MIA,11,QB16,169.0,155.0,,162.0,00-0036212,QB,2021,0.8787878787878788,23,2020,0.8776923076923077,45.28086,0.038,5.0,24.3,--
159,Justin Fields,NYJ,10,QB17,170.0,164.0,,167.0,00-0036945,QB,2021,0.7058823529411765,22,2021,0.8483333333333333,58.59093,0.026000000000000002,11.0,19.3,--
166,Baker Mayfield,TB,11,QB18,137.0,209.0,,173.0,00-0034855,QB,2021,0.9538461538461539,26,2018,0.9564285714285716,21.750208,0.07400000000000001,1.0,34.6,--
168,Trevor Lawrence,JAC,11,QB19,174.0,172.0,,173.0,00-0036971,QB,2021,1.0,21,2021,0.9929411764705884,33.993702,0.05,1.0,34.6,--
174,Kenny Pickett,CLE,9,QB20,128.0,232.0,,180.0,00-0038102,QB,2021,--,23,2022,-1.0,--,0.017,20.0,15.5,--
178,Mac Jones,SF,9,QB21,151.0,215.0,,183.0,00-0036972,QB,2021,1.0,22,2021,0.9652941176470587,40.484104,0.021,15.0,17.4,--
185,Deshaun Watson,CLE,9,QB22,171.0,202.0,,186.5,00-0033537,QB,2021,0.8888888888888888,25,2017,-1.0,--,0.221,12.0,18.8,--
188,Jameis Winston,NYG,9,QB23,188.0,186.0,,187.0,00-0031503,QB,2021,0.8859649122807017,27,2015,0.8585714285714285,64.02265,0.067,1.0,34.6,--
190,Carson Wentz,,,QB24,139.0,,,139.0,00-0032950,QB,2021,0.9587628865979382,28,2016,0.9817647058823528,32.052044,0.17,2.0,30.2,--
205,Matt Ryan,,,QB26,203.0,195.0,,199.0,00-0026143,QB,2021,0.9953703703703703,36,2008,0.9705882352941176,63.336647,0.16899999999999998,3.0,27.6,--
215,Jared Goff,DET,6,QB27,177.0,,,177.0,00-0033106,QB,2021,0.9587628865979382,26,2016,0.9928571428571428,45.617516,0.17800000000000002,1.0,34.6,--
245,Daniel Jones,IND,14,QB28,224.0,240.0,,232.0,00-0035710,QB,2021,0.7959183673469388,24,2019,0.948181818181818,72.195305,0.034,6.0,23.2,--
293,Jake Heaps,,,QB32,,279.0,,279.0,00-0032073,QB,2021,1.0,30,2016,-1.0,--,--,,0.0,--
