Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apy_cap_pct,draft_pick,pick_value,time_to_throw
17,Patrick Mahomes II,KC,10,QB1,10.0,,,18.7,00-0033873,QB,2019,0.9583333333333334,23,2017,0.9276923076923076,53.174576,0.22699999999999998,10.0,19.9,--
23,Lamar Jackson,BAL,7,QB2,15.0,,,20.3,00-0034796,QB,2019,0.96875,22,2018,0.9369230769230767,50.35313,0.013000000000000001,32.0,12.5,--
48,Dak Prescott,DAL,10,QB3,42.0,,,50.7,00-0033077,QB,2019,1.0,26,2016,0.9942857142857144,61.462345,0.158,135.0,3.4,--
55,Russell Wilson,NYG,11,QB4,41.0,,,55.7,00-0029263,QB,2019,1.0,30,2012,1.0,94.15386,0.18600000000000003,75.0,7.1,--
57,Kyler Murray,ARI,8,QB5,50.0,,,58.3,00-0035228,QB,2019,1.0,22,2019,0.9606666666666668,46.163345,0.047,1.0,34.6,--
62,Deshaun Watson,CLE,9,QB6,51.0,,,60.7,00-0033537,QB,2019,0.8125,23,2017,0.9946153846153846,100.997635,0.19699999999999998,12.0,18.8,--
71,Matt Ryan,,,QB7,65.0,,,76.7,00-0026143,QB,2019,0.994535519125683,34,2008,0.9757142857142858,55.52525,0.16899999999999998,3.0,27.6,--
73,Drew Brees,,,QB8,72.0,,,79.3,00-0020531,QB,2019,0.9781420765027322,40,2001,0.8374999999999999,108.162506,0.126,32.0,12.5,--
78,Josh Allen,BUF,11,QB9,70.0,,,81.0,00-0034857,QB,2019,1.0,23,2018,0.922,55.798744,0.03,7.0,22.2,--
86,Aaron Rodgers,PIT,4,QB10,96.0,,,90.0,00-0023459,QB,2019,0.9508196721311475,35,2005,0.9892857142857142,89.78541,0.18899999999999997,24.0,14.4,--
87,Tom Brady,,,QB11,81.0,,,92.0,00-0019596,QB,2019,1.0,42,2000,0.9846153846153848,43.1128,0.126,199.0,0.9,--
95,Carson Wentz,,,QB12,88.0,,,99.0,00-0032950,QB,2019,0.953125,26,2016,0.9842857142857142,27.902212,0.17,2.0,30.2,--
103,Matthew Stafford,LAR,9,QB13,103.0,,,107.7,00-0026498,QB,2019,0.7877094972067039,31,2009,1.0,47.1968,0.162,1.0,34.6,--
119,Ben Roethlisberger,,,QB14,117.0,,,126.0,00-0022924,QB,2019,0.9213483146067416,37,2004,0.75,22.713799,0.18100000000000002,11.0,19.3,--
126,Daniel Jones,IND,7,QB15,144.0,,,132.3,00-0035710,QB,2019,0.875,22,2019,0.9284615384615384,133.8495,0.034,6.0,23.2,--
130,Joe Burrow,CIN,9,QB16,122.0,,,137.0,00-0036442,QB,2019,--,22,2020,-1.0,--,0.046,1.0,34.6,--
132,Baker Mayfield,TB,13,QB17,148.0,,,140.3,00-0034855,QB,2019,1.0,24,2018,0.992,44.638702,0.046,1.0,34.6,--
139,Jared Goff,DET,5,QB18,147.0,,,146.0,00-0033106,QB,2019,1.0,24,2016,0.9884615384615384,67.538025,0.17800000000000002,1.0,34.6,--
140,Cam Newton,,,QB19,114.0,,,174.7,00-0027939,QB,2019,0.912751677852349,30,2011,1.0,17.760796,0.009000000000000001,1.0,34.6,--
156,Ryan Tannehill,,,QB20,175.0,,,158.0,00-0029701,QB,2019,0.8787878787878788,31,2012,0.843,84.24106,0.149,8.0,21.4,--
159,Jimmy Garoppolo,LAR,9,QB21,132.0,,,140.5,00-0031345,QB,2019,0.8673469387755102,27,2014,0.9907692307692308,59.004467,0.155,62.0,8.3,--
161,Drew Lock,SEA,6,QB22,154.0,,,163.7,00-0035704,QB,2019,0.3125,22,2019,1.0,39.501602,0.009000000000000001,42.0,10.8,--
162,Philip Rivers,,,QB23,156.0,,,164.3,00-0022942,QB,2019,1.0,37,2004,0.9713333333333334,34.7636,0.126,4.0,25.8,--
166,Gardner Minshew II,KC,10,QB24,155.0,,,167.0,00-0035289,QB,2019,1.0,23,2019,0.9578571428571429,33.278793,0.004,178.0,1.6,--
179,Kirk Cousins,ATL,10,QB25,176.0,,,161.0,00-0029604,QB,2019,1.0,31,2012,0.9921428571428572,48.343056,0.166,102.0,5.1,--
180,Teddy Bridgewater,TB,13,QB26,149.0,,,161.0,00-0031237,QB,2019,0.7551020408163265,26,2014,0.6644444444444445,96.825516,0.106,32.0,12.5,--
185,Derek Carr,,,QB27,131.0,,,165.5,00-0031280,QB,2019,1.0,28,2014,0.974,29.788208,0.15,36.0,11.8,--
194,Tua Tagovailoa,MIA,7,QB28,145.0,,,225.5,00-0036212,QB,2019,--,21,2020,-1.0,--,0.038,5.0,24.3,--
205,Sam Darnold,SEA,6,QB29,,,,170.0,00-0034869,QB,2019,0.96875,22,2018,0.9945454545454544,76.132774,0.043,3.0,27.6,--
252,Jalen Hurts,PHI,9,QB30,,,,228.0,00-0036389,QB,2019,--,21,2020,-1.0,--,0.008,53.0,9.3,--
255,Ryan Fitzpatrick,,,QB31,,,,233.0,00-0023682,QB,2019,0.9171270718232044,36,2005,0.8485714285714286,88.204506,0.028999999999999998,250.0,0.0,--
264,Tyrod Taylor,NYJ,10,QB32,,,,242.0,00-0028118,QB,2019,1.0,30,2011,0.0685714285714285,9.164633,0.028999999999999998,180.0,1.5,--
288,Dwayne Haskins,,,QB33,,,,282.0,00-0035232,QB,2019,0.9375,22,2019,0.7466666666666667,46.559948,--,15.0,17.4,--
300,Jarrett Stidham,DEN,5,QB34,,,,297.0,00-0035264,QB,2019,1.0,23,2019,0.0633333333333333,0.6085334,0.004,133.0,3.5,--
303,Justin Herbert,LAC,6,QB35,,,,300.0,00-0036355,QB,2019,--,21,2020,-1.0,--,0.034,6.0,23.2,--
312,Nick Foles,,,QB36,,,,311.0,00-0029567,QB,2019,0.816793893129771,30,2012,0.5299999999999999,78.84117,0.04,88.0,6.1,--
321,Mitchell Trubisky,BUF,11,QB37,,,,323.0,00-0033869,QB,2019,0.9791666666666666,25,2017,0.935,74.97329,0.043,2.0,30.2,--
330,Marcus Mariota,WAS,8,QB38,,,,332.0,00-0032268,QB,2019,0.9876543209876543,25,2015,0.7942857142857143,99.631294,0.044000000000000004,2.0,30.2,--
333,Mason Rudolph,PIT,4,QB39,,,,335.0,00-0034771,QB,2019,0.9375,24,2018,0.806,21.315113,0.006,76.0,7.0,--
343,Jameis Winston,NYG,11,QB40,,,,345.0,00-0031503,QB,2019,0.9629629629629629,25,2015,0.9946666666666668,67.36046,0.006,1.0,34.6,--
363,Jordan Love,GB,5,QB41,,,,366.0,00-0036264,QB,2019,--,20,2020,-1.0,--,0.016,26.0,13.9,--
366,Kyle Allen,DET,5,QB42,,,,369.0,00-0034577,QB,2019,1.0,23,2018,0.9754545454545454,58.438034,0.003,,0.0,--
389,Tim Tebow,,,TE54,,,,393.0,00-0027876,QB,2019,1.0,32,2010,-1.0,--,--,25.0,14.1,--
