...1,Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,Fantrax,AVG,gsis_id,position,season,availability,age,rookie_season,snap_share,fan_pts_var,apt_cap_pct,draft_pick,pick_value,pass_attempts,completions,pass_yards,pass_ypg,int,pass_td,rush_attempts,rush_yards,rush_ypg,rush_td,fumbles_perdidos,total_touchdowns,partidos
19,20,Patrick Mahomes II,KC,12,QB1,18,,14,22,,20,18.8,00-0033873,QB,2018,1.0,22,2017,0.985,45.730923,0.025,10,19.9,579,383,5097,318.5625,12,50,61,274,17.125,2,2,52,16
42,43,Deshaun Watson,CLE,7,QB2,38,,43,52,,48,44.3,00-0033537,QB,2018,0.71875,22,2017,0.99875,77.20767,0.021,12,18.8,499,345,4165,260.3125,9,26,99,551,34.4375,5,3,31,16
50,51,Aaron Rodgers,PIT,7,QB3,43,,42,55,,57,50.5,00-0023459,QB,2018,0.9461077844311377,34,2005,0.931875,82.92001,0.18899999999999997,24,14.4,595,372,4442,277.625,2,25,44,271,16.9375,2,3,27,16
57,58,Baker Mayfield,TB,7,QB4,53,,46,68,,68,59.7,00-0034855,QB,2018,1.0,23,2018,0.9685714285714286,27.016476,0.046,1,34.6,483,310,3725,266.07142857142856,14,27,39,131,9.357142857142858,0,3,27,14
63,64,Matt Ryan,,,QB5,49,,59,76,,88,67.3,00-0026143,QB,2018,1.0,33,2008,0.989375,74.13379,0.16899999999999998,3,27.6,607,422,4924,307.75,7,35,33,125,7.8125,3,5,39,16
75,76,Drew Brees,,,QB6,66,,55,99,,95,78.5,00-0020531,QB,2018,1.0,39,2001,0.9813333333333334,118.659935,0.141,32,12.5,489,364,3992,266.1333333333333,5,32,31,22,1.4666666666666666,4,1,36,15
77,78,Carson Wentz,,,QB7,72,,90,84,,89,81,00-0032950,QB,2018,0.9375,25,2016,1,46.676888,0.17,2,30.2,399,279,3074,279.45454545454544,7,21,34,93,8.454545454545455,0,6,21,11
81,82,Russell Wilson,NYG,11,QB8,92,,56,95,,97,84.7,00-0029263,QB,2018,1.0,29,2012,1,37.677532,0.18600000000000003,75,7.1,419,280,3448,215.5,7,35,67,383,23.9375,0,2,35,16
83,84,Cam Newton,,,QB9,71,,66,98,,102,86.7,00-0027939,QB,2018,1.0,29,2011,0.99,51.191288,0.145,1,34.6,468,320,3395,242.5,13,24,101,488,34.857142857142854,4,0,28,14
86,87,Jared Goff,DET,5,QB10,97,,76,91,,91,88.3,00-0033106,QB,2018,1.0,23,2016,0.966875,106.85375,0.17800000000000002,1,34.6,559,364,4688,293,12,32,43,108,6.75,2,5,34,16
